VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
AJAGABI,3742,1961,1781,19,10,9,7,4,3,3,2,1,0,0,0,10,7,3,4,3,1,0,0,0,0,0,0
AKOLAWA,7148,3564,3584,22,15,7,5,3,2,3,3,0,1,0,1,4,3,1,2,1,1,1,1,0,0,0,0
AURAIYA,10671,5520,5151,57,44,13,36,22,14,22,12,10,8,6,2,21,13,8,10,8,2,3,2,1,4,3,1
BADHARWA,4861,2562,2299,37,22,15,16,9,7,8,6,2,0,0,0,19,12,7,3,2,1,3,1,2,2,2,0
BAGAHI,5740,2949,2791,42,28,14,17,7,10,5,0,5,0,0,0,21,12,9,8,4,4,1,0,1,3,3,0
BALUWA MADANPUR,2405,1241,1164,7,4,3,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
BAIRIYA,5067,2544,2523,15,8,7,9,4,5,3,1,2,0,0,0,3,2,1,0,0,0,0,0,0,1,1,0
BANJARAHA,2982,1541,1441,6,5,1,2,2,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,4,1,3
BARIYARPUR,8295,4240,4055,4,3,1,3,2,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
BASANTAPATTI,7686,4003,3683,17,14,3,13,5,8,0,0,0,2,2,0,4,0,4,3,0,3,0,0,0,8,3,5
