VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
AJAGABI,3291,1730,1561,1504,978,526,75,37,38,1712,715,997,0,0,0,45.70039501671225,56.53179190751445,33.696348494554776
AKOLAWA,6156,3109,3047,1377,859,518,246,123,123,4533,2127,2406,0,0,0,22.36842105263158,27.629462849790933,17.000328191663932
AURAIYA,9539,4977,4562,4458,2864,1594,224,114,110,4855,1998,2857,2,1,1,46.73445853863088,57.544705645971476,34.94081543182815
BADHARWA,4262,2253,2009,1918,1281,637,135,67,68,2207,904,1303,2,1,1,45.002346316283436,56.857523302263644,31.70731707317073
BAGAHI,5089,2597,2492,2209,1461,748,101,69,32,2777,1066,1711,2,1,1,43.40734918451562,56.25721986907971,30.01605136436597
BALUWA MADANPUR,2128,1112,1016,935,625,310,67,29,38,1126,458,668,0,0,0,43.93796992481203,56.20503597122302,30.511811023622048
BAIRIYA,4382,2218,2164,1104,669,435,178,96,82,3095,1448,1647,5,5,0,25.19397535371976,30.162308385933272,20.10166358595194
BANJARAHA,2650,1382,1268,1073,697,376,105,54,51,1470,630,840,2,1,1,40.490566037735846,50.43415340086831,29.652996845425868
BARIYARPUR,7186,3697,3489,2703,1644,1059,249,108,141,4230,1944,2286,4,1,3,37.6148065683273,44.46848796321341,30.352536543422183
BASANTAPATTI,6727,3519,3208,2359,1507,852,203,92,111,4155,1912,2243,10,8,2,35.06763787721124,42.82466609832339,26.55860349127182
BASATPUR,4842,2553,2289,2511,1540,971,76,41,35,2255,972,1283,0,0,0,51.85873605947955,60.32119075597336,42.420270860637835
BASBITI JINGADIYA,5616,2903,2713,1706,1125,581,144,72,72,3764,1705,2059,2,1,1,30.37749287749288,38.7530141233207,21.41540729819388
BHALOHIYA(PIPRA),4241,2223,2018,1796,1104,692,94,54,40,2351,1065,1286,0,0,0,42.34850271162462,49.662618083670715,34.29137760158573
BHEDIYAHI,3008,1547,1461,852,617,235,35,12,23,2119,918,1201,2,0,2,28.324468085106385,39.88364576599871,16.084873374401095
BIRTIPRASTOKA,3685,1907,1778,1380,874,506,154,75,79,2147,957,1190,4,1,3,37.44911804613297,45.83114840062926,28.45894263217098
BISHRAMPUR,10532,5408,5124,4218,2708,1510,481,235,246,5825,2464,3361,8,1,7,40.04937333839727,50.07396449704142,29.469164715066356
BISUNPURWA MANPUR,3592,1913,1679,1036,730,306,228,115,113,2319,1063,1256,9,5,4,28.84187082405345,38.15995818086775,18.225134008338298
BRAHMAPURI,3680,1906,1774,2143,1254,889,150,69,81,1380,581,799,7,2,5,58.233695652173914,65.79223504721931,50.11273957158963
CHANDRANIGAHAPUR,23974,11867,12107,15339,8538,6801,694,344,350,7926,2982,4944,15,3,12,63.98181363143406,71.94741720738182,56.174114148839514
DEBAHI,5968,3099,2869,1983,1331,652,529,309,220,3438,1448,1990,18,11,7,33.22721179624665,42.94933849628912,22.72568839316835
DHARAMPUR,8112,4295,3817,1787,1201,586,693,364,329,5557,2705,2852,75,25,50,22.029092702169624,27.9627473806752,15.352370971967513
DHARHARI,2457,1278,1179,1283,826,457,13,5,8,1161,447,714,0,0,0,52.21815221815221,64.63223787167449,38.761662425784564
DIPAHI,3447,1785,1662,1758,1120,638,66,29,37,1623,636,987,0,0,0,51.00087032201914,62.745098039215684,38.387484957882066
DUMARIYA(MATIAUNA),13888,6863,7025,7492,4384,3108,459,227,232,5913,2244,3669,24,8,16,53.94585253456221,63.878770217106215,44.24199288256227
DUMRIYA(PAROHA),3760,1870,1890,1490,943,547,261,135,126,2003,789,1214,6,3,3,39.62765957446808,50.42780748663102,28.94179894179894
FATUHA MAHESHPUR,4011,1782,2229,1138,630,508,73,37,36,2787,1110,1677,13,5,8,28.371977063076542,35.35353535353536,22.790489008524002
FATUWA HARSAHA,3764,1880,1884,1934,1168,766,50,23,27,1780,689,1091,0,0,0,51.381509032943676,62.12765957446808,40.65817409766454
GADHI BHANAWANPUR,767,384,383,233,167,66,36,16,20,498,201,297,0,0,0,30.378096479791395,43.48958333333333,17.232375979112273
GAMHARIYA BIRTA,6837,3441,3396,1997,1307,690,236,120,116,4595,2011,2584,9,3,6,29.208717273658035,37.983144434757335,20.318021201413426
GAMHARIYA PARSA,5596,2791,2805,1483,956,527,199,95,104,3883,1727,2156,31,13,18,26.50107219442459,34.252955929774274,18.787878787878785
