VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
AJAGABI,85,7,348,96,10,0,0,2
AKOLAWA,132,18,645,94,2,0,1,37
AURAIYA,119,2,1102,383,3,0,16,23
BADHARWA,245,3,515,20,0,0,2,17
BAGAHI,73,1,830,60,2,0,1,6
BALUWA MADANPUR,14,2,338,10,3,0,2,6
BAIRIYA,73,2,412,107,28,0,1,1
BANJARAHA,75,3,248,76,2,0,0,6
BARIYARPUR,153,14,881,107,7,0,0,28
BASANTAPATTI,145,4,778,140,20,0,0,9
BASATPUR,255,7,409,53,6,0,123,37
BASBITI JINGADIYA,48,10,667,96,43,0,4,10
BHALOHIYA(PIPRA),233,8,487,66,0,0,2,9
BHEDIYAHI,66,1,347,48,4,0,0,0
BIRTIPRASTOKA,40,0,543,43,11,0,1,7
BISHRAMPUR,245,8,1507,68,20,0,2,19
BISUNPURWA MANPUR,139,0,413,20,4,0,0,10
BRAHMAPURI,348,4,235,16,16,0,2,77
CHANDRANIGAHAPUR,321,97,3521,844,177,0,5,50
DEBAHI,218,9,680,38,15,0,1,37
DHARAMPUR,286,14,979,39,2,0,0,70
DHARHARI,44,5,330,51,0,0,0,10
DIPAHI,101,0,415,82,5,0,2,14
DUMARIYA(MATIAUNA),327,28,2219,113,5,0,2,65
DUMRIYA(PAROHA),82,1,422,130,0,0,1,22
FATUHA MAHESHPUR,122,5,534,59,2,0,3,21
FATUWA HARSAHA,60,11,597,31,1,0,0,8
GADHI BHANAWANPUR,53,0,82,0,0,0,3,7
GAMHARIYA BIRTA,168,4,776,81,11,0,1,18
GAMHARIYA PARSA,124,1,713,23,10,0,21,17
GANGAPIPARA,136,5,364,58,0,0,0,1
GARUDA BAIRIYA,32,4,422,250,5,0,5,23
GAUR MUNICIPALITY,675,41,2544,2137,44,0,50,144
GEDAHIGUTHI,94,4,566,34,3,0,2,6
HADIRYA PALTUWA,23,2,619,8,6,0,0,13
HAJMINIYA,248,2,392,111,2,0,0,1
HATHIYAHI,38,2,666,27,2,0,3,21
IHARBARI JYUTAHI,73,3,731,98,13,0,0,8
INARUWA,129,3,561,13,6,0,0,5
JATAHARA,200,6,741,116,3,0,1,105
JAYANAGAR,57,9,631,47,10,0,5,37
JETHRAHIYA,179,2,461,20,0,0,0,2
JHUNKHUNWA,210,6,751,117,8,0,1,13
JINGADAWA BELBICHWA,168,2,622,107,4,0,8,8
JOWAHA(JOKAHA),114,19,636,354,0,0,1,25
JUDIBELA,123,22,960,15,7,0,26,11
KAKANPUR,106,49,1264,62,27,0,8,103
KARKACH KARMAIYA,152,4,868,78,5,0,3,11
KARUNIYA,404,7,579,45,5,0,0,30
KATAHARIYA,198,5,1171,169,1,0,5,15
KHESARHIYA,80,3,401,47,2,0,0,1
LAXMINIYA DO.,244,33,1486,70,8,0,3,49
LAXMIPUR (DO.),85,2,846,41,3,0,2,7
LAXMIPUR BELBICHAWA,213,3,288,99,1,0,0,30
LOKAHA,85,2,473,52,6,0,1,11
MADHOPUR,101,4,910,89,7,0,0,24
MAHAMADPUR,120,3,953,159,3,0,3,36
MALAHI,225,2,168,8,2,0,1,2
MARYADPUR,68,2,664,39,0,0,0,39
MASEDAWA,73,17,882,18,1,0,0,30
MATHIYA,157,16,423,183,4,0,0,14
MATSARI,148,20,393,128,1,0,0,8
MITHUAWA,138,9,408,65,14,0,0,12
MUDWALAWA,252,4,523,200,20,0,2,8
NARKATIYA GUTHI,208,3,633,180,5,0,3,57
PACHARUKHI,227,1,558,139,3,0,2,13
PATAURA,177,11,833,86,4,0,4,58
PATHARA BUDHARAM,207,10,668,96,3,0,0,23
PAURAI,171,212,1318,51,23,0,0,46
PIPARA POKHARIYA,144,6,736,29,8,0,2,32
PIPARIYA(DOSTIYA),77,3,593,48,6,0,0,4
PIPARIYA(PAROHA),73,13,675,165,230,0,1,20
PIPRA BHAGWANPUR,151,8,628,72,8,0,0,13
PIPRA RAJBARA,204,6,607,39,9,0,0,190
POTHIYAHI,149,9,682,129,6,0,0,14
PRATAPPUR PALTUWA,107,13,1127,41,9,0,1,52
PREMPUR GUNAHI,91,4,787,56,11,0,2,111
RAGHUNATHPUR,149,1,634,84,44,0,0,3
RAJDEVI,511,0,226,12,1,0,0,4
RAJPUR FARHADAWA,407,17,1729,365,18,0,20,33
RAJPUR TULSI,80,21,673,51,44,0,2,6
RAMOLI BAIRIYA,147,0,704,43,3,0,0,21
RAMPUR KHAP,70,0,522,137,1,0,2,44
RANGAPUR,87,11,1781,24,14,0,9,19
SAKHUAWA,174,1,483,90,0,0,0,11
SAKHUWA DHAMAURA,357,15,1302,113,4,0,8,58
SAMANPUR,119,2,1107,42,6,0,0,14
SANGRAMPUR,52,12,784,57,2,0,1,7
SANTAPUR(DOSTIYA),182,31,779,42,29,0,0,26
SANTPUR(MATIAUN),114,561,1755,163,46,0,3,44
SARMUJAWA,170,22,948,259,16,0,0,24
SARUATHA,251,10,871,132,2,0,0,21
SAUNARANIYA,156,5,557,76,3,0,4,37
SHITALPUR BAIRGANIA,198,3,793,44,3,0,0,25
SIMARA BHAWANIPUR,65,7,1299,29,8,0,12,71
TEJAPAKAR,166,2,513,62,61,0,32,34
TENGRAHA,196,5,606,48,3,0,10,9
TOTAL,15379,1611,74251,11062,1265,0,444,2640
