VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
ARESH,697,3,5,0,1,0,2,8
BHABANG,789,0,0,4,0,0,0,6
MIRUL,492,0,0,0,0,0,0,2
BUDAGAUN,1234,2,1,6,3,0,0,4
DHAWANG,887,0,0,1,0,0,1,5
DUBRING,917,0,11,1,0,0,0,2
DUBIDANDA,870,8,2,2,0,0,0,1
ERIWANG,1000,0,1,0,0,0,0,2
FAGAAM,556,0,0,0,3,0,0,3
GAAM,782,2,0,1,0,0,2,0
GAIRIGAUN,936,0,0,0,0,0,0,2
GAJUL,1039,2,2,1,0,0,0,0
GHARTI GAUN,913,0,5,1,0,0,0,2
GHODAGAUN,683,0,0,0,0,0,0,2
GUMCHAL,648,0,0,0,0,0,0,2
HARJANG,419,0,1,0,0,0,0,4
JAILWANG,507,0,0,0,1,0,0,2
JAIMAKASALA,569,1,0,5,3,0,0,2
JANGKOT,595,0,1,0,0,1,0,2
JAULIPOKHARI,926,1,3,1,0,0,0,2
JEDWANG,735,0,0,0,0,0,0,2
JHENAM,1054,1,1,1,2,0,0,3
JINABANG,966,0,1,7,3,0,0,2
JUNGAR,995,0,11,4,2,0,5,2
KARETI,448,0,0,0,0,0,0,5
KHUMEL,646,0,1,0,0,0,0,1
KHUNGRI,893,0,14,0,0,0,0,3
KORCHABANG,742,0,1,1,0,0,0,3
KOTGAUN,891,0,3,1,0,0,0,0
KURELI,574,0,0,10,1,1,1,0
LIWANG,1953,3,606,0,0,2,11,32
MASINA,973,1,10,1,1,0,0,5
MIJHING,1286,3,256,1,1,3,6,5
NUWAGAUN,869,0,3,0,1,2,0,5
PACHHABANG,815,0,0,0,0,0,0,8
PAKHAPANI,1003,1,0,4,1,0,0,3
PANG,850,13,0,0,0,0,0,4
RANGKOT,644,0,0,6,3,0,0,0
RANGSI,946,0,0,3,0,0,1,2
RANK,1002,0,0,3,1,0,0,7
SAKHI,609,0,4,0,1,0,0,1
SERAM,373,0,0,0,0,0,0,1
SIRPA,1382,2,1,0,3,2,0,3
SIURI,316,0,0,0,0,0,0,3
TALABANG,1042,0,0,0,0,0,0,6
TEWANG,616,0,3,0,0,0,3,3
THABANG,935,0,0,0,0,0,0,2
UWA,726,0,1,0,0,0,8,6
BADACHAUR,1060,0,5,0,0,0,0,3
HWAMA,773,1,1,2,0,0,0,7
WOT,830,0,0,2,0,0,0,0
TOTAL,42406,44,954,69,31,11,40,180
