VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AATHBISDANDAGAUN,675,29,733,3
AATHBISKOT,1317,76,296,10
ARMA,481,129,108,2
BANFIKOT,455,208,404,8
BHALAKCHA,417,125,205,1
BIJAYASWORI,1137,578,199,8
CHHIWANG,746,2,388,2
CHAUKHAWANG,55,356,222,0
CHUNWANG,492,7,109,1
DULI,689,33,124,5
GARAYALA,891,49,175,1
GOTAMKOT,993,8,351,9
GHETMA,622,43,192,5
HUKAM,465,4,3,3
JANG,332,13,231,2
JHULA,479,8,198,1
KANDA,332,48,160,3
KANKRI,986,3,14,5
KHARA,646,7,460,0
KHOLAGAUN,951,131,97,7
KOL,683,3,19,2
KOTJAHARI,814,99,143,2
MAGMA,680,9,402,3
MAHAT,839,64,32,2
MORAWANG,458,2,48,4
MURU,577,83,128,0
KHALANGA,605,1675,999,0
NUWAKOT,720,66,268,5
PIPAL,716,84,45,1
POKHARA,678,147,90,1
PURTIMKANDA,547,286,96,3
PWANG,41,146,171,1
PEUGHA,699,47,72,1
RANGSI,403,6,16,0
RANMAMAIKOT,745,7,21,1
RUGHA,586,67,148,4
SANKHA,641,170,279,2
SIMLI,887,54,98,5
SISNE,296,17,59,0
RUKUMKOT,626,361,354,1
SYALAKHADI,579,23,247,3
SYALAPAKHA,531,96,532,1
TAKSERA,837,52,13,0
TOTAL,27349,5421,8949,118
