VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AAMA,264,1326,5,5,0,0,4,11
AANANDABAN,2056,720,0,0,3,0,16,19
PASCHIM AMUWA,248,1921,3,2,3,0,0,15
ASURAINA,1,1031,0,1,0,0,0,18
BAGAHA,78,617,1,1,0,0,5,5
BAGAULI,287,1114,3,1,0,0,4,20
BAIRGHAT,7,713,0,0,0,0,8,14
BASANTAPUR,231,962,5,0,0,0,0,7
BETAKUIYA,2,698,0,0,0,0,11,2
BHAGAWANPUR,15,1500,1,16,3,0,28,21
BISHNUPURA,391,1774,1,10,3,0,32,20
BODAWAR,139,1124,8,1,0,0,0,5
BOGADI,191,1263,4,0,0,0,8,7
BUTWAL MUNICIPALITY,28051,564,43,14,297,15,299,379
CHHIPAGADH,226,622,2,2,0,0,0,6
CHHOTAKI RAMNAGAR,3,868,0,1,0,0,0,1
CHILHIYA,134,729,0,0,2,0,91,4
DAYANAGAR,64,1692,4,0,2,0,6,1
DEVDAHA,3665,2598,12,19,37,1,63,40
DHAKADHAI,393,693,0,1,0,1,12,4
DHAMAULI,379,454,0,1,0,0,0,6
DUDHARAKSHA,757,3520,12,36,2,5,2,8
EKALA,627,744,0,5,2,0,0,16
PHARENA,4,627,1,1,0,0,0,2
GAJEDI,18,2489,2,0,1,0,0,7
GANGOLIYA,110,980,1,1,0,0,68,12
GONAHA,465,1430,1,1,1,0,29,17
HARNAIYA,218,511,0,1,1,0,10,5
HATI BANGAI,62,1172,1,1,0,0,3,8
HATI PHARSATIKAR,251,540,2,6,1,1,3,1
JOGADA,20,848,0,0,1,0,0,23
KAMAHARIYA,66,2670,0,3,3,0,23,14
KARAHIYA,705,3515,16,0,2,0,15,14
KARAUTA,97,1352,0,5,0,0,2,31
KERWANI,112,2986,4,2,2,0,4,22
KHADAWA BANGAI,426,1112,1,2,3,0,5,6
KHUDABAGAR,35,642,1,1,0,0,0,8
LUMBINI AADARSHA,167,1106,1,2,1,0,65,29
MADHAWALIYA,103,2136,4,1,0,0,22,12
MADHUWANI,6,1046,2,0,0,0,18,1
MAINAHIYA,415,680,0,1,0,0,26,3
MAJHAGAWA,3,834,0,0,0,0,4,10
MAKRAHAR,25,3426,3,0,1,0,17,7
MANMATERIYA,293,1119,0,0,17,0,9,12
MANPAKADI,11,1130,0,1,1,0,1,4
MARYADAPUR,6,762,2,3,1,0,42,3
MASINA,3,763,1,0,0,0,14,6
MOTIPUR,970,1282,0,0,0,0,2,5
PADSARI,289,1661,0,0,32,1,0,5
PAJARKATTI,3,736,0,5,0,1,14,17
SAKRAUN PAKADI,95,627,1,2,0,0,0,6
PARROHA,3078,2501,71,1,1,3,72,4
PATAKHAULI,236,636,12,5,5,2,13,7
POKHARVINDI,210,679,0,2,0,0,43,1
RAYAPUR,116,1425,1,2,1,0,15,8
ROINIHAWA,11,616,1,1,0,0,0,13
RUDRAPUR,255,4215,5,0,1,7,76,8
SADI,40,894,0,1,1,0,2,12
SALJHANDI,1273,1012,3,4,1,2,14,10
SEMARA MARCHAWAR,224,718,1,2,0,0,4,23
SEMLAR,677,1388,11,0,52,0,43,5
SHANKAR NAGAR,5286,18,4,1,2,1,15,28
SIDDHARTHANAGAR MUNICIPALITY,5428,6752,30,5,53,1,115,113
SIKTAHAN,267,1521,3,5,0,0,24,23
SILAUTIYA,616,644,1,4,0,0,4,25
SIPAWA,380,590,1,0,0,0,1,5
SAURAHA PHARSATIKAR,65,1920,2,0,2,0,3,0
SURYAPURA,112,3079,7,2,1,0,1,10
TENUHAWA,869,361,0,0,1,0,186,18
THUMHAWA PIPARHAWA,0,573,0,5,0,0,12,2
TIKULIGADH,574,1866,6,4,3,0,136,3
TOTAL,62904,96837,307,199,546,41,1764,1237
