VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
AAMA,9986,5090,4896,4728,3012,1716,385,211,174,4868,1864,3004,5,3,2,47.34628479871821,59.17485265225933,35.049019607843135
AANANDABAN,11486,5379,6107,9337,4706,4631,250,125,125,1896,547,1349,3,1,2,81.2902664112833,87.48838073991449,75.83101359096119
PASCHIM AMUWA,10244,4789,5455,7664,4032,3632,110,43,67,2465,712,1753,5,2,3,74.8145255759469,84.19294215911464,66.58111824014665
ASURAINA,6389,3329,3060,3339,2174,1165,168,95,73,2881,1060,1821,1,0,1,52.26169979652527,65.30489636527486,38.0718954248366
BAGAHA,4675,2375,2300,2612,1584,1028,281,120,161,1693,638,1055,89,33,56,55.8716577540107,66.69473684210526,44.69565217391304
BAGAULI,8672,4416,4256,3912,2538,1374,264,127,137,4485,1744,2741,11,7,4,45.11070110701107,57.472826086956516,32.28383458646616
BAIRGHAT,5455,2854,2601,2929,1949,980,320,178,142,2188,721,1467,18,6,12,53.693858845096244,68.29011913104415,37.677816224529025
BASANTAPUR,7368,3655,3713,4448,2677,1771,94,50,44,2798,920,1878,28,8,20,60.36916395222585,73.2421340629275,47.69727982763264
BETAKUIYA,4404,2150,2254,2089,1341,748,73,32,41,2242,777,1465,0,0,0,47.43415077202543,62.372093023255815,33.18544809228039
BHAGAWANPUR,10179,5165,5014,5583,3515,2068,115,57,58,4475,1590,2885,6,3,3,54.848216917182434,68.054211035818,41.2445153570004
BISHNUPURA,12803,6376,6427,7368,4600,2768,255,134,121,5174,1641,3533,6,1,5,57.54901195032415,72.14554579673776,43.06830558580986
BODAWAR,7590,3834,3756,3956,2541,1415,243,131,112,3389,1161,2228,2,1,1,52.121212121212125,66.2754303599374,37.67305644302449
BOGADI,9489,4930,4559,4743,3067,1676,594,308,286,4135,1549,2586,17,6,11,49.984192222573505,62.21095334685598,36.76244790524238
BUTWAL MUNICIPALITY,109919,54132,55787,97805,50677,47128,1218,513,705,10799,2920,7879,97,22,75,88.97915737952492,93.61745363186286,84.47846272429061
CHHIPAGADH,4727,2319,2408,2787,1642,1145,240,131,109,1698,545,1153,2,1,1,58.95917072138778,70.80638206123328,47.54983388704319
CHHOTAKI RAMNAGAR,4795,2342,2453,2768,1661,1107,62,29,33,1964,652,1312,1,0,1,57.72679874869656,70.92228864218617,45.12841418671015
CHILHIYA,5070,2444,2626,3961,2153,1808,44,21,23,1065,270,795,0,0,0,78.12623274161736,88.09328968903436,68.84996191926885
DAYANAGAR,8343,3905,4438,5640,3075,2565,85,36,49,2615,792,1823,3,2,1,67.60158216468895,78.74519846350833,57.796304641730515
DEVDAHA,25885,11635,14250,20502,10081,10421,570,233,337,4807,1320,3487,6,1,5,79.20417230056017,86.64374731413838,73.12982456140351
DHAKADHAI,6300,3127,3173,3863,2342,1521,230,112,118,2193,666,1527,14,7,7,61.317460317460316,74.89606651742885,47.93570753230381
DHAMAULI,5575,2798,2777,2962,1947,1015,178,79,99,2435,772,1663,0,0,0,53.130044843049326,69.58541815582558,36.55023406553835
DUDHARAKSHA,17975,8196,9779,13833,6950,6883,425,220,205,3709,1021,2688,8,5,3,76.95688456189151,84.79746217667154,70.3855199918192
EKALA,9247,4613,4634,5149,3150,1999,834,379,455,3251,1076,2175,13,8,5,55.68292419162971,68.28528072837634,43.137678031937845
PHARENA,3828,1947,1881,2197,1390,807,36,19,17,1586,534,1052,9,4,5,57.39289446185998,71.39188495120699,42.90271132376395
GAJEDI,11290,5226,6064,7731,3990,3741,128,62,66,3411,1162,2249,20,12,8,68.47652790079717,76.34902411021814,61.6919525065963
GANGOLIYA,6422,3135,3287,4657,2611,2046,142,75,67,1618,448,1170,5,1,4,72.51635004671442,83.28548644338119,62.245208396714325
GONAHA,12232,6184,6048,6815,4194,2621,315,132,183,5064,1838,3226,38,20,18,55.71451929365598,67.82018111254851,43.33664021164021
HARNAIYA,4334,2136,2198,2645,1581,1064,82,37,45,1600,516,1084,7,2,5,61.02907245039225,74.01685393258427,48.40764331210191
HATI BANGAI,7186,3600,3586,4665,2828,1837,75,47,28,2446,725,1721,0,0,0,64.91789590871139,78.55555555555556,51.22699386503068
HATI PHARSATIKAR,4477,2205,2272,2893,1685,1208,152,76,76,1430,442,988,2,2,0,64.61916461916462,76.41723356009071,53.16901408450704
JOGADA,5375,2641,2734,2782,1743,1039,105,45,60,2486,853,1633,2,0,2,51.75813953488372,65.99772813328285,38.002926115581566
KAMAHARIYA,17015,8501,8514,9187,5871,3316,304,163,141,7523,2467,5056,1,0,1,53.99353511607406,69.06246323961886,38.947615691801744
KARAHIYA,16998,7849,9149,14152,7044,7108,216,91,125,2626,713,1913,4,1,3,83.2568537474997,89.7439164224742,77.69155098917915
KARAUTA,10221,5193,5028,5028,3168,1860,277,138,139,4903,1881,3022,13,6,7,49.19283827414148,61.005199306759096,36.9928400954654
KERWANI,13609,6254,7355,9550,4928,4622,393,172,221,3661,1152,2509,5,2,3,70.17414945991624,78.79756955548449,62.84160435078178
KHADAWA BANGAI,8009,3805,4204,5577,3026,2551,123,55,68,2305,722,1583,4,2,2,69.63416156823573,79.52693823915901,60.68030447193149
KHUDABAGAR,4739,2295,2444,2190,1420,770,149,77,72,2394,796,1598,6,2,4,46.212281071956106,61.87363834422658,31.50572831423895
LUMBINI AADARSHA,9048,4444,4604,4848,2873,1975,270,133,137,3912,1431,2481,18,7,11,53.58090185676393,64.64896489648964,42.897480451781064
MADHAWALIYA,9626,4484,5142,7832,4035,3797,209,71,138,1509,359,1150,76,19,57,81.36297527529607,89.98661909009813,73.84286269933878
MADHUWANI,6267,3209,3058,3871,2424,1447,248,123,125,2147,662,1485,1,0,1,61.76799106430509,75.5375506388283,47.3185088293002
MAINAHIYA,6914,3432,3482,4258,2576,1682,224,110,114,2419,742,1677,13,4,9,61.58518947063928,75.05827505827506,48.30557151062608
MAJHAGAWA,4949,2465,2484,2711,1686,1025,109,56,53,2122,722,1400,7,1,6,54.77874318044049,68.39756592292089,41.26409017713365
MAKRAHAR,15244,6967,8277,11443,5741,5702,304,149,155,3489,1073,2416,8,4,4,75.06559958016268,82.40275584900245,68.88969433369579
MANMATERIYA,8531,4254,4277,4868,2910,1958,154,69,85,3483,1259,2224,26,16,10,57.06247802133396,68.4062059238364,45.77975216273089
MANPAKADI,6151,2954,3197,4354,2448,1906,84,36,48,1703,464,1239,10,6,4,70.78523817265486,82.87068381855111,59.61839224272756
MARYADAPUR,5061,2498,2563,2760,1747,1013,43,18,25,2258,733,1525,0,0,0,54.534676941315944,69.9359487590072,39.52399531798673
MASINA,4934,2382,2552,2523,1546,977,269,130,139,2128,698,1430,14,8,6,51.13498175922173,64.90344248530646,38.28369905956113
MOTIPUR,9389,4404,4985,6912,3622,3290,327,142,185,2138,638,1500,12,2,10,73.61806369155394,82.24341507720254,65.99799398194584
PADSARI,9274,4484,4790,7201,3845,3356,206,70,136,1864,568,1296,3,1,2,77.64718568039682,85.74933095450491,70.06263048016702
PAJARKATTI,4516,2248,2268,2601,1638,963,185,87,98,1728,523,1205,2,0,2,57.59521700620017,72.86476868327402,42.46031746031746
SAKRAUN PAKADI,4979,2633,2346,2318,1564,754,50,25,25,2561,1026,1535,50,18,32,46.55553323960635,59.39992404101785,32.13981244671782
PARROHA,23566,10547,13019,18413,9052,9361,897,385,512,4239,1107,3132,17,3,14,78.13375201561573,85.82535318099933,71.90260388662723
PATAKHAULI,5139,2564,2575,2773,1721,1052,114,57,57,2250,786,1464,2,0,2,53.95991438022961,67.12168486739469,40.85436893203884
POKHARVINDI,5514,2735,2779,3206,1991,1215,108,51,57,2199,693,1506,1,0,1,58.14290895901342,72.79707495429616,43.72076286433969
RAYAPUR,10514,5506,5008,5569,3674,1895,151,60,91,4789,1771,3018,5,1,4,52.96747194217234,66.72720668361787,37.83945686900959
ROINIHAWA,4758,2500,2258,2570,1644,926,29,7,22,2138,837,1301,21,12,9,54.01429171920975,65.75999999999999,41.00974313551816
RUDRAPUR,18996,8182,10814,14582,6971,7611,438,221,217,3967,987,2980,9,3,6,76.76352916403454,85.19921779516011,70.38098760865545
SADI,5564,2746,2818,3015,1868,1147,110,58,52,2433,818,1615,6,2,4,54.18763479511143,68.02621995630007,40.70262597586941
SALJHANDI,9823,4415,5408,7689,3755,3934,242,100,142,1888,560,1328,4,0,4,78.27547592385218,85.05096262740656,72.74408284023669
SEMARA MARCHAWAR,7171,3755,3416,3773,2456,1317,335,176,159,3061,1122,1939,2,1,1,52.614698089527266,65.40612516644474,38.55386416861827
SEMLAR,9422,4299,5123,7770,3843,3927,77,31,46,1571,423,1148,4,2,2,82.46656760772659,89.39288206559665,76.65430411868046
SHANKAR NAGAR,20876,9786,11090,18225,9107,9118,215,97,118,2419,579,1840,17,3,14,87.30120712780226,93.06151645207439,82.21821460775473
SIDDHARTHANAGAR MUNICIPALITY,58601,29171,29430,47033,25651,21382,866,376,490,10654,3134,7520,48,10,38,80.25972253033224,87.93322134997086,72.6537546721033
SIKTAHAN,9507,4621,4886,5511,3171,2340,426,210,216,3566,1240,2326,4,0,4,57.96781319028085,68.62151049556373,47.89193614408514
SILAUTIYA,8340,4308,4032,4419,2859,1560,98,51,47,3817,1395,2422,6,3,3,52.985611510791365,66.36490250696379,38.69047619047619
SIPAWA,6615,3438,3177,3100,2079,1021,635,370,265,2859,984,1875,21,5,16,46.86318972033258,60.47120418848168,32.13723638652817
SAURAHA PHARSATIKAR,8949,4080,4869,7026,3520,3506,113,57,56,1810,503,1307,0,0,0,78.51156553804894,86.27450980392157,72.00657219141507
SURYAPURA,18497,9245,9252,10820,6555,4265,444,236,208,7222,2450,4772,11,4,7,58.49597231983565,70.90319091400758,46.09814094249892
TENUHAWA,9254,4404,4850,5262,2889,2373,564,274,290,3420,1240,2180,8,1,7,56.86189755781284,65.59945504087193,48.927835051546396
THUMHAWA PIPARHAWA,4237,2151,2086,2398,1522,876,45,18,27,1784,607,1177,10,4,6,56.5966485721029,70.75778707577871,41.99424736337488
TIKULIGADH,12294,5696,6598,9409,4905,4504,152,60,92,2725,727,1998,8,4,4,76.5332682609403,86.1130617977528,68.26311003334344
