VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
BADAGAUN,281,443,384,42,0,0,0,1,173,0,0,0,0,0,4
BAFUKHOLA,77,558,537,11,0,1,1,14,231,1,1,0,0,0,4
BAJH KANDA,82,493,449,82,6,8,2,6,258,0,1,4,0,0,10
BAME,281,619,566,4,0,2,0,0,225,0,0,1,0,0,59
BHALCHAUR,438,814,737,45,0,1,0,4,359,0,2,2,1,1,33
CHANDE,278,568,532,1,0,0,0,0,272,0,0,0,0,0,30
CHHAYACHHETRA,178,1092,909,185,93,11,6,37,713,0,8,14,1,9,32
DAMACHAUR,178,988,909,28,0,1,0,3,632,0,1,0,0,0,6
DANDAGAUN,84,868,783,109,15,1,0,6,518,0,1,1,0,0,33
DARMAKOT,436,533,447,36,0,0,0,2,252,0,0,1,0,0,20
DEVSTHAL,234,753,668,59,1,9,1,66,564,0,25,16,19,1,15
DHAJARI PIPAL,297,795,605,5,0,2,0,9,516,0,1,1,0,0,25
DHAKADAM,428,741,688,5,0,1,0,2,262,0,1,0,0,0,17
DHANWANG,99,1087,852,127,94,29,10,6,903,0,26,24,1,11,29
HIWALCHA,187,698,560,43,1,1,0,7,274,0,0,0,0,0,7
JIMALI,116,472,421,16,2,0,0,3,275,0,2,0,0,0,23
KABHRECHAUR,310,699,626,20,0,0,0,2,280,0,0,2,0,0,31
KAJERI,175,865,703,59,26,9,2,19,677,1,6,0,1,0,25
KALAGAUN,332,990,793,22,2,1,0,51,552,0,2,1,1,0,56
KALIMATI KALCHE,290,866,819,7,1,1,0,4,311,0,0,3,0,0,32
KALIMATI RAMPUR,124,1084,970,25,2,8,0,50,639,1,14,14,1,1,116
KARAGITHI,12,485,406,0,0,0,0,5,113,0,0,0,0,0,45
KAVRA,158,551,497,46,22,3,1,5,182,2,5,3,0,1,24
KHALANGA,167,1729,1296,449,608,176,96,233,1416,11,86,23,5,66,47
KORBANG JHIMPE,150,1017,872,15,85,1,0,9,545,0,4,4,0,1,60
KOTBARA,215,833,713,6,0,1,0,0,567,0,2,0,0,0,28
KOTMALA,156,800,723,11,0,0,0,3,521,0,4,0,0,0,11
KUPINDE DAHA,343,878,812,11,0,1,0,2,375,0,0,1,0,0,15
LAXMIPUR,86,690,660,2,0,0,1,6,271,0,0,2,0,0,15
LEKHPOKHARA,110,590,512,2,0,0,0,6,398,0,0,0,0,0,7
MAJH KANDA,365,536,493,20,3,0,0,3,183,0,7,1,0,0,35
MARKE,148,667,590,29,39,10,0,0,355,0,8,0,0,0,17
MARMAPARIKANDA,234,629,529,30,2,3,0,3,370,1,1,0,0,0,2
MULKHOLA,351,717,654,14,1,0,0,2,443,0,1,0,0,0,8
NIGALCHULA,63,346,311,3,0,0,0,0,187,0,0,0,0,0,28
PHALAWANG,130,943,805,36,35,3,0,5,609,0,1,2,0,0,55
PIPAL NETA,57,370,340,37,1,24,9,0,277,0,1,0,0,0,0
RIM,98,728,715,52,0,3,0,3,491,0,4,4,0,1,9
SAIJUWAL TAKURA,90,650,549,61,146,14,7,16,496,0,13,2,0,3,36
SARPANI GARPA,114,753,662,21,1,1,0,0,363,1,1,1,0,0,21
SIBARATHA,195,936,883,7,2,5,2,16,301,0,7,0,0,1,6
SIDDHESWAR,47,851,786,32,9,6,2,16,602,0,5,0,0,3,45
SINWANG,61,582,516,6,0,0,0,0,332,1,2,2,0,0,76
SUIKOT,411,710,517,29,11,0,0,19,488,0,0,1,0,0,42
SYANIKHAL,66,821,703,120,7,13,0,2,579,0,3,4,1,0,11
THARMARE,326,1316,1106,166,101,2,1,50,887,1,6,1,0,4,18
TRIBENI,87,952,877,80,116,13,1,10,697,1,10,31,1,7,5
