VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
BADAGAUN,118,63,55,1107,584,523,541,303,238,232,138,94,200,141,59,67,44,23,4,4,0,0,0,0,4,2,2,66,21,45,3,2,1
BAFUKHOLA,54,32,22,1180,601,579,580,312,268,234,151,83,99,63,36,135,81,54,23,18,5,3,3,0,2,2,0,9,4,5,3,0,3
BAJH KANDA,179,91,88,952,550,402,452,240,212,207,97,110,87,52,35,91,47,44,13,10,3,2,2,0,0,0,0,4,3,1,0,0,0
BAME,28,14,14,1506,790,716,478,289,189,185,110,75,58,50,8,81,57,24,4,4,0,1,1,0,2,1,1,255,137,118,5,3,2
BHALCHAUR,403,209,194,2099,1172,927,818,457,361,399,257,142,148,101,47,133,90,43,10,8,2,4,4,0,2,2,0,101,42,59,9,8,1
CHANDE,229,117,112,1166,643,523,409,224,185,177,115,62,44,29,15,40,22,18,11,7,4,0,0,0,0,0,0,65,12,53,3,1,2
CHHAYACHHETRA,187,106,81,1650,855,795,938,467,471,341,165,176,263,141,122,122,64,58,26,17,9,9,9,0,7,3,4,145,46,99,5,2,3
DAMACHAUR,166,79,87,1634,833,801,940,517,423,398,221,177,408,238,170,225,133,92,44,36,8,7,7,0,4,2,2,50,26,24,22,9,13
DANDAGAUN,206,119,87,1382,646,736,765,375,390,346,178,168,194,125,69,142,76,66,15,9,6,5,3,2,6,4,2,120,32,88,45,28,17
DARMAKOT,176,90,86,1499,791,708,647,370,277,257,147,110,172,97,75,124,80,44,12,10,2,3,3,0,1,0,1,16,9,7,4,1,3
DEVSTHAL,84,33,51,1362,719,643,566,319,247,365,212,153,95,59,36,133,88,45,19,16,3,1,1,0,1,1,0,195,80,115,4,2,2
DHAJARI PIPAL,94,56,38,1666,893,773,701,400,301,379,254,125,83,53,30,74,52,22,24,20,4,1,1,0,3,2,1,33,22,11,99,64,35
DHAKADAM,226,124,102,2322,1238,1084,962,529,433,354,206,148,187,123,64,150,99,51,14,13,1,2,2,0,4,2,2,1,0,1,2,1,1
