VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ANKHIBHUI,247,78,1226,0
BAHRABISE,304,24,284,10
BALA,44,117,403,3
BANA,255,128,794,6
BANESWOR,167,69,628,0
CHAINPUR,76,277,949,10
CHEPUWA,181,10,212,1
DHUPU,140,82,722,2
DIDING,66,30,545,1
HATIYA,496,14,150,1
JALJALA,521,181,473,0
KEEMATHNKA,55,0,17,0
KHANDBARI MUNICIPALITY,717,1905,3610,58
KHARANG,300,88,843,8
MADI MULKHARKA,80,326,891,2
MADI RAMBENI,221,243,729,3
MAKALU,573,22,248,6
MAMLING,68,194,565,0
MANGTEWA,63,12,335,1
MATSYA POKHARI,192,139,544,1
MAWADIN,84,44,593,0
NUM,329,76,363,4
NUNDHAKI,54,200,299,0
PATHIBHARA,411,37,270,0
PAWAKHOLA,443,3,119,1
SABHA POKHARI,265,23,334,2
SIDDHAKALI,192,113,852,4
SIDDHAPOKHARI,71,55,682,1
SISUWAKHOLA,126,133,340,5
SITALPATI,182,93,879,2
SYABUN,286,247,741,2
TAMAFOK,78,400,1100,2
TAMKU,103,4,461,2
YAFU,144,11,363,1
TOTAL,7534,5378,21564,139
