VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
ARNAHA,33,18,2,875,0,4,1,14
AURAHI,10,25,13,1097,3,0,0,5
BADGAMA,157,16,35,639,8,1,40,4
BAIRAWA,352,8,9,390,1,0,0,2
BAKDHAUWA,1147,27,42,294,44,0,2,84
BAMANGAMAKATTI,534,26,6,759,1,0,0,5
BANAINIYA,14,14,9,655,0,0,0,8
BANARJHULA,194,9,1,643,1,0,0,11
BANAULA,32,5,1,566,3,0,0,9
BANAULI,29,13,2,991,1,0,0,11
BARAMJHIYA,261,14,7,552,5,0,0,66
BARSAIN (KO.),136,20,3,827,1,0,0,4
BASBALPUR,198,15,0,395,0,0,0,7
BASBITI,502,3,5,173,0,0,0,0
BATHANAHA,11,17,26,1121,3,0,0,2
BELHI,37,27,2,632,4,0,2,20
BELHICHAPENA,44,21,0,1014,1,0,0,25
BHAGAWATPUR,10,77,10,860,4,0,1,6
BHANGAHA,667,15,8,432,1,1,2,8
BHARDAHA,379,40,35,779,2,1,0,9
BHUTAHI,54,34,2,680,1,0,3,11
BIRPUR BARAHI,15,11,2,1158,2,0,0,5
BISHAHARIYA,246,34,1,1099,4,1,0,25
BODEBARSAIEN,259,31,17,625,3,0,0,16
BORIYA,533,14,13,343,1,0,0,2
BRAHMAPUR,34,13,0,824,1,0,0,14
CHHINNAMASTA,876,18,29,979,1,0,1,12
DADHA,119,19,3,898,3,0,0,7
DAULATPUR,718,50,5,217,0,1,0,8
DEURI,1,4,0,929,0,0,0,2
DEURIMARUWA,144,4,3,382,0,0,0,9
DHANAGADI,326,11,1,604,0,0,0,12
DHARAMPUR,1028,4,23,59,10,0,0,8
DHODHANPUR,971,7,7,70,8,0,0,14
DIDHAWA,24,4,0,718,0,0,16,9
DIMAN,181,16,2,575,1,0,0,35
FAKIRA,0,12,2,850,0,0,1,9
FARSETH,213,8,11,401,0,1,0,4
FATEPUR,2228,13,201,16,42,0,2,22
FULKAHI,167,29,1,648,3,0,1,30
GAMHARIYA PARWAHA,219,15,4,820,3,0,0,9
GOBAR GADA,68,28,0,193,0,0,0,0
GOITHI,45,12,6,656,1,0,0,4
HANUMANNAGAR,805,22,40,48,0,0,0,42
HARDIYA,1055,9,4,55,6,0,0,10
HARIHARPUR,562,15,4,322,0,0,0,31
HARIPUR,110,7,1,857,1,0,1,2
INARWA,132,29,2,475,0,0,6,3
INARWA FULBARIYA,423,10,2,575,4,1,0,12
ITAHARI BISHNUPUR,633,24,84,517,0,0,0,11
JAGATPUR,558,21,11,287,0,1,0,2
JAMUNIMADHEPURA,262,6,4,1057,0,0,4,9
JANDAUL,766,4,1,92,1,0,0,6
JHUTAKI,3,15,1,617,0,0,0,33
JOGINIYA-1,89,8,9,625,1,0,1,5
JOGINIYA-2,15,19,5,792,0,0,4,18
KABILASH,48,26,7,643,1,0,0,17
KACHAN,148,22,0,615,3,0,0,5
KALYANPUR,1470,26,101,85,2,0,0,21
KAMALPUR,303,11,3,695,3,0,0,23
KANCHANPUR,998,17,155,253,7,0,3,19
KATAIYA,546,24,0,391,0,0,0,4
KHADGAPUR,357,12,1,516,3,0,1,10
KHOJPUR,575,9,22,367,2,0,1,2
KHOKSARPARBAHA,649,9,18,215,0,0,0,6
KO. MADHEPURA,78,17,7,777,6,0,0,1
KOCHABAKHARI,36,56,5,1008,87,0,3,139
KOILADI,350,22,3,489,2,0,8,0
KUSHAHA,471,24,13,729,3,2,0,11
LALAPATI,18,18,2,903,1,0,1,53
LAUNIYA,4,11,4,686,1,0,0,1
LOHAJARA,173,20,2,848,5,0,3,20
MADHAWAPUR,79,7,6,1141,2,0,1,16
MADHUPATI,184,14,5,677,1,0,2,9
MAHADEVA,253,44,0,746,2,0,0,21
MAINAKADERI,259,45,11,231,3,0,0,5
MAINASAHASRABAHU,81,9,3,678,0,0,1,7
