VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ARNAHA,129,127,16,651,7,17
AURAHI,212,296,9,623,0,13
BADGAMA,21,170,20,682,1,6
BAIRAWA,22,130,43,428,136,3
BAKDHAUWA,216,349,18,1011,6,40
BAMANGAMAKATTI,220,170,4,931,2,4
BANAINIYA,88,106,12,483,0,11
BANARJHULA,9,206,84,547,1,12
BANAULA,21,166,27,393,2,7
BANAULI,31,138,19,847,0,12
BARAMJHIYA,60,131,32,573,1,108
BARSAIN (KO.),7,118,80,653,124,9
BASBALPUR,10,86,16,446,51,6
BASBITI,54,103,10,474,42,0
BATHANAHA,21,361,19,776,0,3
BELHI,60,122,3,517,4,18
BELHICHAPENA,43,196,23,814,3,26
BHAGAWATPUR,7,101,11,737,106,6
BHANGAHA,17,189,25,899,0,4
BHARDAHA,123,261,24,746,82,9
BHUTAHI,67,116,24,570,1,7
BIRPUR BARAHI,49,341,35,701,61,6
BISHAHARIYA,243,135,7,996,0,29
BODEBARSAIEN,55,204,90,579,2,21
BORIYA,35,98,23,433,314,3
BRAHMAPUR,88,114,26,467,177,14
CHHINNAMASTA,328,217,78,1114,163,16
DADHA,4,119,15,907,0,4
DAULATPUR,11,55,18,906,0,9
DEURI,39,141,11,721,0,24
DEURIMARUWA,187,114,18,210,0,13
DHANAGADI,49,168,54,663,7,13
DHARAMPUR,23,172,77,837,5,18
DHODHANPUR,5,317,22,719,2,12
DIDHAWA,12,47,17,598,89,8
DIMAN,4,68,51,643,10,34
FAKIRA,184,97,8,575,0,10
FARSETH,7,120,52,454,3,2
FATEPUR,42,499,137,1792,32,22
FULKAHI,163,145,14,512,1,44
GAMHARIYA PARWAHA,36,125,3,891,4,11
GOBAR GADA,12,0,2,274,0,1
GOITHI,55,45,18,602,0,4
HANUMANNAGAR,40,268,13,584,12,40
HARDIYA,6,40,41,1037,3,12
HARIHARPUR,148,140,15,602,0,29
HARIPUR,13,97,13,854,1,1
INARWA,24,61,12,510,30,10
INARWA FULBARIYA,82,195,76,559,104,11
ITAHARI BISHNUPUR,161,318,30,740,6,14
JAGATPUR,40,150,0,685,1,4
JAMUNIMADHEPURA,30,161,50,563,530,8
JANDAUL,4,145,13,701,0,7
JHUTAKI,106,37,6,466,23,31
JOGINIYA-1,307,127,8,281,3,12
JOGINIYA-2,106,73,25,486,1,162
KABILASH,27,149,28,511,9,18
KACHAN,11,91,8,667,12,4
KALYANPUR,339,729,79,530,4,24
KAMALPUR,1,71,21,920,0,25
KANCHANPUR,233,517,72,602,9,19
KATAIYA,4,161,29,752,13,6
KHADGAPUR,228,99,18,539,0,16
KHOJPUR,48,236,30,655,2,7
KHOKSARPARBAHA,9,177,61,642,0,8
KO. MADHEPURA,138,158,36,552,1,1
KOCHABAKHARI,49,90,55,795,186,159
KOILADI,3,174,12,685,0,0
KUSHAHA,34,328,23,854,3,11
LALAPATI,11,191,22,706,13,53
LAUNIYA,35,43,40,583,2,4
LOHAJARA,10,71,10,921,2,57
MADHAWAPUR,60,106,13,1041,5,27
MADHUPATI,4,101,12,765,1,9
MAHADEVA,107,119,4,816,1,19
MAINAKADERI,47,42,19,393,1,52
MAINASAHASRABAHU,67,161,53,483,8,7
MALEKPUR,98,184,30,787,157,2
MALETH,149,326,5,608,10,44
MALHANAMA,23,80,15,637,12,15
MALHANIYA,125,173,27,1227,0,6
MANRAJA,40,312,0,549,0,1
MAUWAHA,26,185,13,642,0,18
MOHANPUR,63,261,139,663,2,10
NARDHO,32,144,2,771,356,6
NEGADA,42,172,29,587,53,6
ODRAHA,1,28,8,894,40,6
PAKARI,15,81,26,888,30,92
PANSERA,14,222,5,690,0,22
PATERWA,29,73,26,618,1,11
PATO,83,238,18,558,179,2
PATTHARGADA,43,131,38,617,131,15
PIPRA PURBA,194,44,0,575,1,5
PIPRA PASCHIM,85,92,16,669,0,10
PORTAHA,112,133,76,651,5,9
PRASABANI,24,127,5,1052,12,6
RAJBIRAJ MUNICIPALITY,691,4365,1153,1270,82,182
RAMNAGAR,11,40,3,381,28,7
RAMPURAMALHANIYA,20,93,60,795,214,3
RAMPURJAMUWA,22,84,3,620,25,1
RAUTAHAT,4,44,32,454,104,22
RAYAPUR,21,481,8,1349,29,8
RUPNAGAR,90,227,55,680,1,10
SAMBHUNATH,40,261,23,913,14,27
SANKARPURA,23,50,0,689,16,7
SARASWOR,68,183,43,612,6,32
SIMRAHA SIGIYOUN,44,132,20,624,244,18
SISWA BEIHI,192,110,52,613,160,14
SITAPUR,39,164,19,614,1,6
TARAHI,216,111,15,312,151,39
TERAHAUTA,36,204,7,780,0,28
THELIYA,7,166,21,1004,1,3
TIKULIYA,6,47,36,549,8,10
TILATHI,16,212,1,411,0,5
TRIKAULA,239,93,2,537,0,48
TOTAL,8584,22682,4273,78765,4498,2262
