VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
ACHALGADH,185,10,3,429,0,0,1,14
ARNAHA,127,7,1,502,0,0,0,2
ATROULI,1223,6,9,7,27,0,0,4
AURAHI,517,41,3,575,0,0,13,8
BABARGANJ,1464,29,6,639,1,0,3,21
BAGDAHA,513,19,0,463,1,0,64,42
BAHADURPUR,163,17,0,169,1,0,0,12
BALARA,516,36,8,826,2,7,1,48
BARA UDHORAN,125,15,8,754,1,0,0,11
BARAHATHAWA,1978,38,364,586,26,0,8,43
BASANTAPUR,797,11,1,1113,4,0,54,15
BATRAUL,583,11,4,170,0,1,0,9
BELA,719,3,2,30,1,0,12,6
BELHI,288,17,1,276,0,0,0,0
BELWA JABDI,587,28,0,188,1,0,60,7
BHADSAR,319,10,23,271,1,0,0,17
BHAGAWATIPUR,177,12,0,553,5,0,0,1
BHAKTIPUR,2800,18,46,15,102,0,0,3
BHAWANIPUR,282,6,0,232,0,0,39,5
BRAHMAPURI,1069,43,23,243,5,0,59,10
CHANDRA NAGAR,1102,14,3,296,1,0,37,5
CHHATAUL,739,19,1,229,0,0,0,6
CHHATONA,272,11,9,250,6,0,0,0
DHANAKAUL PACHHAWARI,475,16,4,122,0,0,0,35
DHANAKAUL PURBA,1121,7,2,181,0,0,0,5
DHANGADHA,741,10,1,367,2,0,14,5
DHUNGREKHOLA,2320,25,117,13,217,3,0,16
DHURKAULI,1639,6,53,6,102,0,1,6
DUMARIYA,790,12,8,1,0,0,0,2
FARAHADAWA,607,30,2,239,1,1,128,8
FULPARASI,558,3,0,22,0,0,0,4
GADAHIYABAIRI,453,31,10,593,0,0,0,8
GAMHARIYA,632,3,8,589,0,0,1,6
GODETA,756,22,12,219,23,0,0,41
GOURISHANKAR,2295,27,1,82,2,2,0,48
HAJARIYA,2244,43,11,442,24,0,3,47
HARAKTHAWA,804,14,0,85,1,0,0,11
HARIPUR,1910,18,100,136,46,0,1,20
HARIPURWA,1965,40,9,551,0,1,2,25
HARIYON,2767,24,735,16,395,49,1,47
HATHIYOL,221,44,10,1181,1,0,1,10
HEMPUR,896,15,4,309,1,0,9,6
ISHWORPUR,3275,34,262,57,151,0,14,75
JABDI,1512,6,97,50,143,0,0,0
JAMUNIYA,704,14,4,539,2,0,6,15
JANAKI NAGAR,1431,18,2,3,58,0,0,16
JINGADAWA,226,9,4,378,1,1,0,3
KABILASI,1424,25,22,361,3,0,16,31
KALINJOR,928,6,16,1,34,0,0,6
KARMAIYA,1455,12,124,3,177,2,0,21
KHIRWA,344,38,2,1439,4,0,34,15
KHORIYA,190,7,0,506,2,0,5,23
KHUTAUNA,296,7,3,445,0,0,14,1
KISANPUR,502,11,2,339,2,0,16,14
KAUDENA,593,28,23,546,5,10,1,6
LALBANDI,1953,28,977,9,300,0,6,22
LAUKATH,656,20,2,428,13,0,0,10
LAXMIPUR KODRAHA,1214,20,6,157,0,0,46,17
LAXMIPUR SU.,427,14,5,417,0,0,16,9
MADHUBANGOTH,423,50,5,466,6,0,1,0
MADHUBANI,213,2,1,505,1,0,27,2
MAHINATHPUR,104,13,1,485,1,0,0,6
BHELHI,242,20,3,474,6,0,0,9
MALANGAWA MUNICIPALITY,2618,48,1460,231,1,1,30,44
MANPUR,260,7,1,1050,2,0,23,9
MIRJAPUR,108,19,2,599,1,0,8,2
MOHANPUR,651,28,1,335,1,0,8,9
MOTIPUR,368,6,1,256,5,0,0,1
MURTIYA,1098,20,19,335,64,0,0,26
MUSAULI,457,12,7,340,2,0,10,5
NARAYAN KHOLA,699,0,1,3,0,0,0,8
NARAYANPUR,377,6,0,140,2,0,38,2
NETRAGANJ,1643,8,275,65,75,0,0,25
NOUKAILAWA,484,46,7,1357,7,0,3,47
PARSA,354,8,3,576,1,0,27,23
PARWANIPUR,1615,19,10,1,33,0,0,18
PATTHARKOT,1435,5,5,21,41,0,0,9
PIDARI,796,4,22,84,0,0,0,11
PIDARIYA,437,19,1,320,2,0,70,2
PIPARIYA,861,17,6,318,4,0,1,11
RAJGHAT,1544,37,54,23,118,0,239,25
RAMBAN,762,17,11,4,0,0,31,16
RAMNAGAR BAHUARWA,487,27,0,463,0,0,1,2
RANIGANJ,987,11,36,21,64,0,0,2
ROHUWA,447,26,0,45,0,0,0,2
SAKRAUL,238,17,0,478,0,0,1,15
SALEMPUR,624,16,10,571,1,0,20,5
SANGRAMPUR,642,24,2,486,4,0,0,5
SANKARPUR,1413,18,47,120,41,0,27,5
SASAPUR,1092,6,43,47,22,0,0,36
SHREEPUR,269,12,7,458,0,0,1,11
SIKHAUNA,255,12,4,345,1,0,171,5
SIMARA,219,26,2,987,5,0,51,75
SISOTIYA,824,13,10,757,0,0,7,23
SISOUT,853,58,6,347,0,0,0,19
SAHODAWA,490,11,3,130,0,0,0,9
SUDAMA,262,10,1,376,1,0,0,1
SUNDARPUR,688,21,1,339,0,0,28,9
SUNDARPUR CHOHARWA,987,19,19,816,48,0,17,6
TRIBHUWAN NAGAR,455,51,32,39,0,0,0,1
TOTAL,85650,1897,5272,34461,2455,78,1526,1464
