VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
ACHALGADH,222,415,155,92,2,5,0,2,281,2,47,352,0,0,5
ARNAHA,224,411,97,97,13,9,0,0,250,5,32,351,2,1,4
ATROULI,184,1035,546,338,9,7,0,0,458,1,61,708,1,2,57
AURAHI,452,693,245,199,3,4,2,1,452,2,56,597,0,1,12
BABARGANJ,568,1571,468,615,40,20,1,26,1014,66,135,1388,27,5,24
BAGDAHA,188,833,355,178,12,7,2,10,391,5,83,765,3,0,81
BAHADURPUR,202,160,42,4,0,0,0,1,22,0,15,152,0,0,0
BALARA,563,848,527,175,13,10,2,6,250,4,85,644,6,6,33
BARA UDHORAN,172,723,435,29,1,1,1,4,388,4,43,599,2,0,19
BARAHATHAWA,469,2516,1278,1548,677,100,27,229,1892,128,525,1856,28,63,58
BASANTAPUR,568,1376,520,372,1,8,5,14,1009,3,97,1088,2,0,51
BATRAUL,189,581,322,55,0,1,0,5,331,3,44,528,1,1,8
BELA,151,608,197,237,21,9,0,5,442,2,57,506,16,3,14
BELHI,246,334,193,175,15,15,3,13,148,7,58,232,21,0,2
BELWA JABDI,198,659,399,56,3,1,0,3,471,4,63,583,15,0,14
BHADSAR,131,495,238,142,84,10,0,9,271,9,65,390,1,22,15
BHAGAWATIPUR,158,588,333,31,1,10,0,1,320,3,40,549,1,0,2
BHAKTIPUR,411,2536,1257,1327,253,24,5,40,1543,18,154,2076,16,20,37
BHAWANIPUR,223,339,219,22,0,1,0,3,247,0,27,296,0,1,2
BRAHMAPURI,481,923,433,272,40,9,2,6,416,7,66,677,29,8,48
CHANDRA NAGAR,408,933,305,373,18,5,0,7,708,6,44,742,3,1,117
CHHATAUL,158,824,458,23,2,1,19,2,550,4,44,673,71,0,12
CHHATONA,118,422,291,103,18,3,0,7,188,11,47,348,4,2,8
DHANAKAUL PACHHAWARI,183,440,335,43,1,10,0,2,220,4,44,365,2,0,29
DHANAKAUL PURBA,334,980,403,396,3,7,0,5,646,3,60,841,6,1,2
DHANGADHA,397,728,263,272,7,13,3,17,254,10,111,582,18,5,15
DHUNGREKHOLA,524,2141,1089,888,279,40,6,29,1312,9,169,1402,10,42,46
DHURKAULI,138,1649,832,997,86,33,1,18,1331,8,140,1486,4,9,26
DUMARIYA,141,660,428,223,52,9,2,3,439,20,101,534,3,4,12
FARAHADAWA,296,711,227,376,10,11,1,6,513,3,85,581,2,0,9
FULPARASI,120,467,202,149,12,10,2,12,323,11,32,426,0,1,0
GADAHIYABAIRI,400,674,337,153,8,8,4,8,514,8,71,514,6,5,21
GAMHARIYA,234,992,312,355,177,12,0,3,715,3,81,748,6,2,13
GODETA,196,845,601,295,23,12,1,5,471,26,65,637,9,0,32
GOURISHANKAR,461,1951,1065,640,47,11,1,18,1239,46,169,1597,83,3,45
HAJARIYA,513,2251,1560,449,6,5,0,16,1579,36,125,1578,44,2,50
HARAKTHAWA,208,660,419,54,2,2,1,1,458,0,53,501,31,0,47
HARIPUR,333,1860,812,888,155,38,13,19,1146,6,170,1497,6,16,38
HARIPURWA,801,1773,1061,601,60,25,0,24,707,10,153,1422,40,9,19
HARIYON,334,3631,2042,2186,1453,211,88,291,2503,33,449,2302,27,302,69
HATHIYOL,254,1180,645,115,3,3,0,19,891,8,99,856,5,0,34
HEMPUR,358,842,252,369,31,12,0,9,534,5,111,622,5,1,40
ISHWORPUR,673,3090,1347,1667,519,79,9,103,2290,44,344,2467,17,82,105
JABDI,145,1656,887,786,352,54,12,63,1294,5,126,1353,10,32,7
JAMUNIYA,230,999,374,388,13,12,0,14,333,22,111,836,15,5,55
JANAKI NAGAR,284,1226,721,535,23,11,0,10,742,5,61,1037,16,0,18
JINGADAWA,146,472,175,236,6,9,0,7,412,7,84,331,10,0,4
KABILASI,432,1341,517,556,68,15,3,15,1023,37,161,899,12,4,109
