VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ACHALGADH,473,56,99,14
ARNAHA,542,37,58,2
ATROULI,966,80,226,4
AURAHI,1051,39,59,8
BABARGANJ,1863,139,141,20
BAGDAHA,879,66,115,42
BAHADURPUR,335,15,0,12
BALARA,885,92,419,48
BARA UDHORAN,742,75,87,10
BARAHATHAWA,1671,1214,115,43
BASANTAPUR,1738,183,59,15
BATRAUL,720,31,18,9
BELA,704,62,1,6
BELHI,489,43,50,0
BELWA JABDI,774,83,7,7
BHADSAR,473,131,20,17
BHAGAWATIPUR,682,50,15,1
BHAKTIPUR,2311,532,138,3
BHAWANIPUR,506,44,10,4
BRAHMAPURI,930,444,68,10
CHANDRA NAGAR,1339,64,50,5
CHHATAUL,931,35,22,6
CHHATONA,423,86,39,0
DHANAKAUL PACHHAWARI,501,74,42,35
DHANAKAUL PURBA,1243,50,18,5
DHANGADHA,898,122,115,5
DHUNGREKHOLA,1870,495,330,16
DHURKAULI,1139,403,265,6
DUMARIYA,493,150,168,2
FARAHADAWA,890,106,12,8
FULPARASI,507,77,0,3
GADAHIYABAIRI,958,71,58,8
GAMHARIYA,950,189,94,6
GODETA,775,156,101,41
GOURISHANKAR,2134,155,120,48
HAJARIYA,2361,340,66,47
HARAKTHAWA,787,94,24,10
HARIPUR,1409,644,158,20
HARIPURWA,2132,298,140,23
HARIYON,1121,1975,892,46
HATHIYOL,1167,103,188,10
HEMPUR,1073,145,16,6
ISHWORPUR,2673,974,145,76
JABDI,980,646,182,0
JAMUNIYA,1122,139,6,17
JANAKI NAGAR,1238,207,67,16
JINGADAWA,533,55,31,3
KABILASI,1545,236,70,31
KALINJOR,724,207,54,6
KARMAIYA,1061,417,295,21
KHIRWA,1671,73,117,15
KHORIYA,600,94,16,23
KHUTAUNA,575,87,103,1
KISANPUR,810,48,14,14
KAUDENA,884,272,50,6
LALBANDI,862,1910,501,22
LAUKATH,904,109,106,10
LAXMIPUR KODRAHA,1314,93,36,17
LAXMIPUR SU.,718,75,86,9
MADHUBANGOTH,739,85,127,0
MADHUBANI,628,50,71,2
MAHINATHPUR,520,46,39,5
BHELHI,533,93,119,9
MALANGAWA MUNICIPALITY,1453,2373,563,44
MANPUR,1227,77,39,9
MIRJAPUR,658,43,36,2
MOHANPUR,906,90,28,9
MOTIPUR,544,91,1,1
MURTIYA,1063,375,99,25
MUSAULI,632,182,14,5
NARAYAN KHOLA,697,6,0,8
NARAYANPUR,410,50,103,2
NETRAGANJ,1019,668,379,25
NOUKAILAWA,1736,117,51,47
PARSA,845,63,60,24
PARWANIPUR,1032,398,250,16
PATTHARKOT,1218,212,77,9
PIDARI,764,94,48,11
PIDARIYA,707,95,47,2
PIPARIYA,969,136,102,11
RAJGHAT,1345,487,183,25
RAMBAN,592,149,84,16
RAMNAGAR BAHUARWA,875,36,67,2
RANIGANJ,657,280,182,2
ROHUWA,394,36,88,2
SAKRAUL,656,44,34,15
SALEMPUR,1009,164,69,5
SANGRAMPUR,974,72,112,5
SANKARPUR,1217,373,76,5
SASAPUR,895,198,117,36
SHREEPUR,666,60,21,11
SIKHAUNA,724,50,14,5
SIMARA,1027,204,59,75
SISOTIYA,1316,251,44,23
SISOUT,1055,59,150,19
SAHODAWA,577,49,8,9
SUDAMA,415,38,197,1
SUNDARPUR,922,144,11,9
SUNDARPUR CHOHARWA,1687,151,68,6
TRIBHUWAN NAGAR,368,104,105,1
TOTAL,97720,23183,10444,1456
