VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AMALE,237,0,0,173,1,4
ARUNTHAKUR,139,1,1,856,2,11
BAHUNTILPUNG,364,2,0,188,3,2
BALAJOR,427,2,2,300,1,2
BASESHWOR,605,2,1,11,0,1
BASTIPUR,440,0,0,102,0,3
BELGHARI,216,3,0,528,1,1
BHADRAKALI,224,10,1,613,0,0
BHIMESHWOR,444,5,1,3,1,5
BHIMSTHAN,77,1,3,1075,0,4
BHUWANESHORI GWALTAR,347,0,0,23,0,1
BITIJOR BAGAIYA,346,1,0,1,0,1
DADIGURANSHE,123,7,0,839,0,4
DUDBHANJYANG,524,0,1,2,1,1
DUDHOULI,8,36,24,1656,3,31
HARIHARPUR GADHI,509,0,0,198,0,1
HARSAHI,223,21,3,707,0,19
HATPATE,377,24,7,1211,2,2
JALKANYA,388,2,0,1,0,4
JARAYOTAR,343,28,0,1040,8,6
JHANGAJHOLI RATMATA,1175,1,0,11,1,6
JINAKHU,316,3,1,619,2,8
KAKUR THAKUR,136,5,5,841,0,8
KALPABRISHYKHA,291,8,0,1291,0,4
KAMALAMAI MUNICIPALITY,692,1464,1148,5925,23,52
KAPILAKOT,812,15,10,1126,0,4
KHANG SANG,500,0,0,7,0,3
KHOLAGAUN,510,0,0,13,0,5
KUSESWOR DUMJA,989,1,1,12,0,7
KYANESHWOR,144,1,0,1452,0,20
LADABHIR,335,22,1,1223,0,4
LAMPANTAR,212,6,0,926,0,7
MAHADEVDADA,645,1,0,9,1,1
MAHADEVSTHAN,183,11,1,1104,0,10
MAHENDRA JHYADI,192,4,3,756,0,7
MAJHUWA,526,0,0,0,0,0
NETRAKALI,407,0,0,197,0,2
NIPANE,3,3,0,695,0,1
PIPALMADI,168,1,0,1118,0,12
PURANO JHANGAJHOLI,1003,2,1,8,0,1
RANIBAS,4,25,1,1071,3,6
RANICHURI,212,7,1,1453,2,10
RATANCHURA,529,10,0,7,1,1
RATNAWATI,476,0,1,8,0,8
SANTESWORI (RAMPUR),391,0,0,51,0,4
SIRTHOULI,48,18,0,1594,0,13
SITALPATI,798,0,0,4,2,8
SOLPATHANA,388,0,0,3,0,4
SUNAM POKHARI,433,0,0,19,0,0
TAMAJOR,437,0,0,7,0,1
TANDI,30,47,4,1805,0,10
TINKANYA,797,0,0,2,0,6
TOSRAMKHOLA,329,0,0,0,0,1
AMBOTE,326,4,0,426,9,6
TOTAL,20798,1804,1222,33310,67,343
