VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
AMALE,2184,1011,1173,34,18,16,14,6,8,10,4,6,1,0,1,6,2,4,4,3,1,3,1,2,5,2,3
ARUNTHAKUR,5674,2695,2979,23,13,10,6,2,4,20,11,9,3,1,2,22,16,6,5,0,5,5,3,2,8,1,7
BAHUNTILPUNG,3091,1516,1575,11,8,3,2,1,1,2,1,1,0,0,0,2,2,0,4,2,2,2,2,0,2,1,1
BALAJOR,4325,2041,2284,13,7,6,3,2,1,4,3,1,0,0,0,10,8,2,1,1,0,0,0,0,2,0,2
BASESHWOR,3078,1489,1589,57,33,24,15,8,7,21,10,11,2,1,1,14,8,6,1,1,0,1,1,0,11,6,5
BASTIPUR,2969,1337,1632,28,15,13,7,0,7,12,6,6,3,1,2,4,2,2,3,3,0,0,0,0,3,2,1
BELGHARI,3785,1860,1925,21,14,7,7,3,4,7,5,2,1,1,0,15,9,6,4,1,3,1,1,0,5,4,1
BHADRAKALI,4327,2025,2302,34,20,14,10,4,6,16,14,2,1,1,0,14,5,9,6,4,2,3,0,3,4,1,3
BHIMESHWOR,2252,1125,1127,10,4,6,7,5,2,5,2,3,1,0,1,12,9,3,5,2,3,0,0,0,6,2,4
BHIMSTHAN,5683,2658,3025,34,22,12,10,5,5,17,7,10,1,1,0,20,8,12,6,4,2,0,0,0,9,5,4
