VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
AMALE,2004,920,1084,1219,651,568,159,70,89,626,199,427,0,0,0,60.82834331337325,70.76086956521739,52.398523985239855
ARUNTHAKUR,5108,2401,2707,2951,1590,1361,103,45,58,2054,766,1288,0,0,0,57.772122161315586,66.22240733027905,50.27705947543406
BAHUNTILPUNG,2747,1335,1412,1739,956,783,122,62,60,883,316,567,3,1,2,63.3054240990171,71.61048689138578,55.45325779036827
BALAJOR,3930,1855,2075,2349,1245,1104,155,76,79,1424,533,891,2,1,1,59.770992366412216,67.11590296495957,53.20481927710843
BASESHWOR,2837,1370,1467,1849,1024,825,29,11,18,959,335,624,0,0,0,65.17448008459641,74.74452554744525,56.23721881390593
BASTIPUR,2699,1195,1504,1532,811,721,58,29,29,1109,355,754,0,0,0,56.76176361615413,67.86610878661088,47.93882978723404
BELGHARI,3505,1718,1787,2492,1337,1155,61,38,23,952,343,609,0,0,0,71.09843081312411,77.82305005820722,64.63346390598768
BHADRAKALI,4048,1876,2172,2651,1430,1221,20,10,10,1377,436,941,0,0,0,65.48913043478261,76.22601279317696,56.21546961325967
BHIMESHWOR,2109,1046,1063,1459,852,607,26,12,14,624,182,442,0,0,0,69.17970602181128,81.45315487571702,57.10253998118533
BHIMSTHAN,5312,2470,2842,3478,1835,1643,172,78,94,1661,557,1104,1,0,1,65.47439759036145,74.2914979757085,57.81140042223786
