VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ATARPUR,444,15,0,0,3,2
BADEGAU,1091,52,0,1,0,16
BANSBARI,1058,40,0,1,0,3
BANSKHARKA,534,50,0,4,0,0
BARAMCHI,641,59,0,2,0,3
BARHABISE,1521,151,0,1,4,6
BARUWA,457,21,0,9,0,0
BATASE,1091,58,0,0,0,3
BHIMTAR,797,93,1,0,0,1
BHOTASIPA,944,45,0,1,0,4
BHOTE NAMLANG,637,137,0,11,1,6
BHOTECHAUR,1050,9,0,0,0,15
CHOKATI,553,71,0,1,2,0
CHAUTARA,1544,35,0,2,1,36
DHUMTHANG,647,202,0,0,0,2
DUBACHOUR,1273,85,0,4,2,11
FATAKSHILA,865,22,0,0,0,7
FULPINGDANDA,1034,14,0,1,0,5
FULPINGKATTI,717,59,0,3,0,4
FULPINGKOT,862,35,0,0,1,6
GATI,725,147,0,0,0,2
GHORTHALI,359,56,0,0,50,0
DHUSKUN,698,60,0,0,1,0
GLOCHE,22,641,0,66,0,2
GUMBA,227,223,0,223,0,1
GUNSAKOT,442,2,0,0,0,5
HAGAM,705,91,0,8,1,13
HAIBUNG,497,68,0,7,0,4
HELAMBU,619,35,0,1,0,1
ICHOK,829,117,0,63,252,9
IRKHU,713,28,0,1,2,7
JALBIRE,589,21,0,0,0,1
JETHAL,609,9,0,0,0,2
JYAMIRE,1000,195,0,1,1,2
KADAMBAS,814,14,0,0,0,6
KALIKA,519,24,0,0,1,1
KARTHALI,705,120,1,2,0,8
KIWOOL,603,148,0,9,0,4
KUBHINDE,682,5,0,0,2,4
KUNCHOK,901,24,0,0,0,2
LANGARCHE,273,306,0,13,0,0
LISANKHU,747,186,0,1,0,4
LISTIKOT,884,60,0,0,0,5
MAHANKAL,543,120,0,255,101,5
MANESWNARA,771,12,0,0,1,5
MANKHA,1757,88,1,1,1,12
MARMING,543,172,0,1,0,2
MELAMCHI,1083,88,0,1,1,6
BHOTANG,551,67,0,0,6,0
NAWALPUR,760,37,0,0,0,0
PAGRETAR,717,36,0,0,6,3
PALCHOK,358,129,0,0,0,2
PANGTANG,360,107,0,16,1,3
PETAKU,381,9,0,0,0,1
PIPALDANDA,778,3,0,0,6,0
PISKAR,452,86,0,0,0,0
RAMCHE,953,39,0,1,0,6
SANGACHOK,2066,41,0,0,0,21
SANUSIRUWARI,744,19,0,0,0,16
SELANG,359,160,0,4,0,3
SIKHARPUR,561,14,0,0,4,4
SINDHUKOT,521,155,0,1,0,4
SIPA POKHARE,792,34,0,0,0,7
SIPAL KAVRE,418,184,0,2,0,4
SUNKHANI,617,9,0,0,0,0
SYAULE BAZAR,794,33,0,1,1,4
TALAMARANG,665,46,0,3,0,2
TATOPANI,1671,48,0,4,2,8
TAUTHALI,742,31,0,0,0,3
TEKANPUR,405,16,0,0,1,0
THAKANI,357,261,0,100,0,0
THAMPAL CHHAP,783,16,0,2,0,21
THANGPALKOT,621,25,0,6,1,0
THOKARPA,963,62,0,1,2,8
THULO DHADING,498,9,0,0,2,0
THULO PAKHAR,745,10,0,2,0,1
THULO SIRUBARI,1255,67,0,0,0,9
THUM PAKHAR,968,18,0,0,0,11
YAMUNADANDA,353,40,0,0,0,0
TOTAL,58827,6124,3,837,460,384
