VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ATARPUR,454,9,0,1
BADEGAU,1140,10,0,10
BANSBARI,1041,57,1,3
BANSKHARKA,574,3,1,10
BARAMCHI,637,51,4,13
BARHABISE,1523,149,3,8
BARUWA,475,3,0,9
BATASE,1143,6,3,0
BHIMTAR,887,4,0,1
BHOTASIPA,987,6,0,1
BHOTE NAMLANG,761,25,2,4
BHOTECHAUR,1050,15,2,7
CHOKATI,616,3,0,8
CHAUTARA,1039,518,59,2
DHUMTHANG,835,13,0,3
DUBACHOUR,1349,26,0,0
FATAKSHILA,891,2,0,1
FULPINGDANDA,1035,15,0,4
FULPINGKATTI,718,56,0,9
FULPINGKOT,893,7,0,4
GATI,850,16,0,8
GHORTHALI,465,0,0,0
DHUSKUN,735,13,7,4
GLOCHE,716,6,1,8
GUMBA,670,3,1,0
GUNSAKOT,447,1,0,1
HAGAM,811,5,0,2
HAIBUNG,569,6,0,1
HELAMBU,616,25,7,8
ICHOK,1249,20,1,0
IRKHU,738,9,0,4
JALBIRE,526,83,1,1
JETHAL,579,36,1,4
JYAMIRE,1193,6,0,0
KADAMBAS,811,18,4,1
KALIKA,539,5,1,0
KARTHALI,816,19,1,0
KIWOOL,718,26,6,14
KUBHINDE,683,8,0,2
KUNCHOK,918,6,0,3
LANGARCHE,576,13,1,2
LISANKHU,909,27,1,1
LISTIKOT,694,29,7,219
MAHANKAL,987,31,4,2
MANESWNARA,786,3,0,0
MANKHA,1677,170,11,2
MARMING,672,36,0,10
MELAMCHI,940,211,9,19
BHOTANG,611,8,2,3
NAWALPUR,760,32,1,4
PAGRETAR,652,46,47,17
PALCHOK,478,11,0,0
PANGTANG,473,14,0,0
PETAKU,390,1,0,0
PIPALDANDA,783,3,0,1
PISKAR,528,6,0,4
RAMCHE,752,230,9,8
SANGACHOK,2041,79,1,7
SANUSIRUWARI,763,8,0,8
SELANG,522,4,0,0
SIKHARPUR,567,12,0,4
SINDHUKOT,664,13,0,4
SIPA POKHARE,813,17,0,3
SIPAL KAVRE,604,2,0,2
SUNKHANI,620,2,3,1
SYAULE BAZAR,827,3,0,3
TALAMARANG,685,27,1,3
TATOPANI,872,776,45,40
TAUTHALI,766,10,0,0
TEKANPUR,406,14,0,2
THAKANI,688,28,1,1
THAMPAL CHHAP,807,13,1,1
THANGPALKOT,636,13,2,2
THOKARPA,1013,14,2,7
THULO DHADING,502,6,0,1
THULO PAKHAR,747,9,1,1
THULO SIRUBARI,1308,11,2,10
THUM PAKHAR,972,19,1,5
YAMUNADANDA,375,12,1,5
TOTAL,62563,3252,259,561
