VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
ARNAMALALPUR,325,15,5,1362,0,0,10,14
ARNAMARAMPUR,60,1,8,626,2,0,0,16
ASANPUR,1654,17,369,460,1,0,1,8
ASHOKPUR BALKAWA,620,4,9,285,2,1,2,7
AURAHI,27,13,12,940,7,0,1,10
AYODHYANAGAR,643,9,0,187,0,1,0,2
BADHARAMAL,3006,30,68,205,18,0,1,18
BARCHHAWA,167,8,3,554,0,0,0,5
BARIYARPATTI,58,10,20,731,7,2,77,1
BASTIPUR,528,5,4,610,5,0,0,6
BELAHA,396,5,22,595,0,0,10,8
BELHI,95,5,3,718,0,0,2,1
BETAUNA,28,2,2,950,2,0,0,8
BHADAIYA,497,24,3,491,0,0,1,1
BHAGWANPUR,25,4,0,698,1,0,1,6
BHAGAWATIPUR,81,2,1,771,0,0,10,0
BHAWANIPUR,297,12,6,774,1,0,0,2
BHAWANPUR KALABANZAR,41,5,2,677,2,0,4,9
BHOKRAHA,65,0,1,272,0,0,1,2
BISHNUPUR PRA.MA.,142,17,29,761,0,0,1,1
BISHNUPUR PRA.RA,304,1,4,703,4,1,3,0
BISHNUPURKATTI,1867,23,7,230,19,3,0,36
BRAHMAGAUGHADI,163,6,2,499,1,0,1,4
CHANDRA AYODHYAPUR,825,13,11,445,4,0,0,9
CHANDRALALPUR,690,28,23,333,3,0,0,16
CHANDRODAYAPUR,896,25,6,157,8,27,1,3
CHATARI,266,1,0,215,1,0,0,2
CHIKANA,9,19,0,675,1,0,2,17
DEVIPUR,148,5,4,575,1,0,6,22
DHANGADI,1484,12,112,426,3,0,1,30
DHODHANA,869,16,1,89,2,0,1,1
DUMARI,442,14,3,266,0,0,0,14
DURGAPUR,87,1,0,748,2,0,35,6
FULBARIYA,1886,18,21,7,1,0,4,5
FULKAHA KATI,305,4,2,1444,11,1,1,27
GADHA,68,0,0,804,4,0,0,2
GAURIPUR,48,3,0,458,0,0,0,11
GAUTARI,487,24,0,205,1,0,0,5
GOVINDAPUR MALAHANAMA,975,6,1,332,0,1,0,5
GOVINDPUR TAREGANA,934,14,4,66,10,0,0,22
HAKPARA,22,2,5,778,0,0,9,1
HANUMANNAGAR,298,30,6,913,1,0,0,6
HANUMANNAGAR (PRA.DHA.),136,11,4,606,1,0,1,16
HARAKATTI,44,1,0,521,1,0,2,1
INARWA,147,21,8,1737,4,0,2,32
ITARHAWA,9,19,0,722,1,0,3,5
ITARI PARSAHI,212,3,11,576,1,1,69,0
ITATAR,24,28,3,759,4,0,3,13
JAMADAHA,1052,19,4,36,0,0,0,7
JANAKINAGAR,22,6,0,695,2,0,2,5
JIGHAUL,15,11,0,818,1,2,1,12
KABILASI,114,6,1,468,1,0,0,4
KACHANARI,19,4,4,934,0,0,51,4
KALYANPUR JABADI,1034,17,36,655,2,0,6,31
KALYANPURKALABANZAR,182,5,7,421,1,0,0,1
KARJANHA,1157,14,16,196,0,0,0,20
KHARUKYANHI,6,4,0,818,0,0,0,1
KHIRAUNA,48,6,6,566,2,0,1,14
KRISHNAPUR BIRTA,52,4,1,675,1,0,1,2
KUSHAHALAXININIYA,13,9,6,636,0,0,5,0
LAGADI GADIYANI,48,4,6,914,3,0,0,15
LAGADIGOTH,2,3,1,597,0,0,0,11
LAHAN MUNICIPALITY,3901,86,1852,566,9,3,4,58
LALPUR,710,3,7,35,0,1,0,6
LAXMINIYA,17,1,0,777,1,0,0,1
LAXMIPUR (PRA.MA.),35,13,11,667,0,0,0,2
LAXMIPUR PATARI,6,2,0,786,5,1,33,0
MADAR,835,18,103,743,3,0,12,11
MAHADEWA PORTAHA,37,2,1,679,3,0,1,7
MAHANAUR,270,22,15,736,2,0,0,15
MAHESHPUR GAMHARIA,302,18,2,509,1,0,3,3
MAHESHPUR PATARI,107,21,2,613,3,1,0,6
MAJHAULIYA,405,9,3,432,2,0,0,7
MAJHAURA,19,10,0,906,0,0,2,9
MALHANIYA GAMHARIA,1,5,7,441,1,1,0,0
MALHANIYAKHORI,693,1,14,96,0,0,0,6
MAUWAHI,13,1,0,583,0,0,0,0
BHEDIA,214,5,2,582,0,0,2,17
MOHANPUR KAMALPUR,164,8,2,806,1,0,0,5
MUKSAR,694,3,0,1,0,0,0,5
NAHARA RIGOUL,6,1,1,960,2,0,2,3
NARAHA BALKAWA,239,10,24,581,3,0,1,10
NAVARAJPUR,91,9,1,1352,9,1,0,6
PADARIYA THARUTOL,446,3,6,680,3,0,3,6
PIPRA PRA.DHA,283,3,1,369,3,0,8,8
PIPRA PRA.PI,6,9,1,1082,3,0,10,31
POKHARBHINDA,320,2,5,306,6,0,1,5
RAGHOPUR,243,15,5,460,0,0,0,15
RAJPUR,29,9,0,924,1,0,2,4
RAMNAGAR MIRCHAIYA,1944,63,317,228,0,1,3,24
RAMPUR BIRTA,799,14,5,139,3,0,0,4
SAKHUWANANKARKATTI,60,5,0,519,0,0,0,0
SANHAITHA,61,6,4,958,2,0,5,0
SARSWAR,504,6,9,663,1,0,34,4
SIKRON,331,4,1,247,0,0,0,7
SILORBA PACHHAWARI,1,4,1,902,0,0,0,2
SIRAHA MUNICIPALITY,2008,69,727,2530,2,1,8,55
SISAWANI,41,7,2,923,7,0,1,12
SITAPUR PRA.DA.,6,4,7,1057,4,0,12,5
SITAPUR PRA.RA.,404,10,1,448,1,0,0,7
SONMATI MAJHAURA,35,2,1,698,3,0,0,6
SOTHIYAN,133,9,1,570,1,0,1,3
SUKHACHINA,28,6,8,474,0,0,0,8
SUKHIPUR,384,18,102,1399,6,2,34,13
TENUWAPATTI,1,1,4,738,0,0,0,6
THALAHA KATAHA,8,17,1,787,6,0,0,2
TULSIPUR,138,9,10,522,0,0,0,10
