VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ARNAMALALPUR,1010,699,0,8,0,14
ARNAMARAMPUR,652,40,3,2,0,16
ASANPUR,1839,524,71,7,61,8
ASHOKPUR BALKAWA,442,478,1,2,0,7
AURAHI,7,957,2,34,0,10
AYODHYANAGAR,712,117,1,10,0,2
BADHARAMAL,2353,952,4,18,1,18
BARCHHAWA,471,261,1,0,0,4
BARIYARPATTI,528,364,0,13,0,1
BASTIPUR,856,294,2,0,0,6
BELAHA,794,232,0,2,0,8
BELHI,602,213,1,7,0,1
BETAUNA,793,180,2,6,3,8
BHADAIYA,720,274,1,21,0,1
BHAGWANPUR,618,106,1,3,1,6
BHAGAWATIPUR,637,222,2,4,0,0
BHAWANIPUR,959,127,2,2,0,2
BHAWANPUR KALABANZAR,475,251,1,4,0,9
BHOKRAHA,319,20,0,0,0,2
BISHNUPUR PRA.MA.,718,201,1,30,0,1
BISHNUPUR PRA.RA,653,363,1,3,0,0
BISHNUPURKATTI,1036,776,12,323,3,35
BRAHMAGAUGHADI,479,187,1,5,0,4
CHANDRA AYODHYAPUR,704,591,1,2,0,9
CHANDRALALPUR,833,217,4,23,0,16
CHANDRODAYAPUR,440,665,1,13,1,3
CHATARI,302,180,0,1,0,2
CHIKANA,208,490,3,4,1,17
DEVIPUR,515,202,0,8,14,22
DHANGADI,1553,470,1,13,1,30
DHODHANA,472,469,5,31,0,2
DUMARI,394,324,0,7,0,14
DURGAPUR,704,166,0,2,1,6
FULBARIYA,1074,845,0,18,0,5
FULKAHA KATI,1636,122,5,4,1,27
GADHA,725,138,9,2,1,3
GAURIPUR,384,122,0,3,0,11
GAUTARI,447,261,0,9,0,5
GOVINDAPUR MALAHANAMA,911,396,0,8,0,5
GOVINDPUR TAREGANA,314,336,2,182,192,24
HAKPARA,783,30,0,3,0,1
HANUMANNAGAR,768,475,2,1,2,6
HANUMANNAGAR (PRA.DHA.),486,268,2,1,0,18
HARAKATTI,266,279,0,24,0,1
INARWA,1313,591,0,15,0,32
ITARHAWA,308,441,1,4,0,5
ITARI PARSAHI,497,374,1,1,0,0
ITATAR,0,778,3,39,0,14
JAMADAHA,641,454,1,15,0,7
JANAKINAGAR,477,248,1,1,0,5
JIGHAUL,674,158,1,15,0,12
KABILASI,1,563,2,24,0,4
KACHANARI,406,596,0,8,2,4
KALYANPUR JABADI,1307,411,1,7,24,31
KALYANPURKALABANZAR,251,363,0,2,0,1
KARJANHA,879,496,1,7,0,20
KHARUKYANHI,608,212,0,8,0,1
KHIRAUNA,426,195,1,5,2,14
KRISHNAPUR BIRTA,137,573,0,24,0,2
KUSHAHALAXININIYA,298,364,0,7,0,0
LAGADI GADIYANI,824,143,2,1,5,15
LAGADIGOTH,483,118,1,1,0,11
LAHAN MUNICIPALITY,5867,499,18,26,11,58
LALPUR,647,107,1,2,0,5
LAXMINIYA,652,139,1,4,0,1
LAXMIPUR (PRA.MA.),457,259,6,3,1,2
LAXMIPUR PATARI,439,393,1,0,0,0
MADAR,1326,373,4,10,1,11
MAHADEWA PORTAHA,479,244,0,0,0,7
MAHANAUR,425,611,1,2,6,15
MAHESHPUR GAMHARIA,560,269,4,2,0,3
MAHESHPUR PATARI,323,422,0,1,0,7
MAJHAULIYA,295,554,1,1,0,7
MAJHAURA,800,119,0,17,1,9
MALHANIYA GAMHARIA,339,115,2,0,0,0
MALHANIYAKHORI,680,121,0,3,0,6
MAUWAHI,558,37,1,1,0,0
BHEDIA,557,246,2,0,0,17
MOHANPUR KAMALPUR,931,46,1,3,0,5
MUKSAR,290,398,0,8,2,5
NAHARA RIGOUL,810,159,3,0,0,3
NARAHA BALKAWA,541,313,2,2,0,10
NAVARAJPUR,1306,145,1,11,0,6
PADARIYA THARUTOL,971,147,3,5,15,6
PIPRA PRA.DHA,588,53,1,17,8,8
PIPRA PRA.PI,0,1043,1,67,0,31
POKHARBHINDA,588,41,3,8,0,5
RAGHOPUR,445,272,1,4,1,15
RAJPUR,376,583,0,6,0,4
RAMNAGAR MIRCHAIYA,2156,391,6,4,0,23
RAMPUR BIRTA,813,120,8,19,0,4
SAKHUWANANKARKATTI,409,173,1,1,0,0
SANHAITHA,816,211,2,6,1,0
SARSWAR,992,224,0,1,0,4
SIKRON,412,165,1,5,0,7
SILORBA PACHHAWARI,2,898,0,8,0,2
SIRAHA MUNICIPALITY,4770,543,8,15,8,56
SISAWANI,700,273,6,1,1,12
SITAPUR PRA.DA.,956,130,2,2,0,5
SITAPUR PRA.RA.,601,254,2,7,0,7
SONMATI MAJHAURA,674,59,1,3,2,6
SOTHIYAN,531,181,0,3,0,3
SUKHACHINA,354,162,0,0,0,8
SUKHIPUR,945,987,2,9,2,13
TENUWAPATTI,616,123,0,5,0,6
THALAHA KATAHA,571,232,3,13,0,2
TULSIPUR,103,572,1,2,0,11
VIDHYANAGAR,542,236,1,11,0,3
TOTAL,79335,35604,263,1365,376,986
