VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
ARNAMALALPUR,8106,3858,4248,3763,2232,1531,153,78,75,4169,1540,2629,21,8,13,46.42240315815445,57.8538102643857,36.04048964218456
ARNAMARAMPUR,3111,1356,1755,1461,802,659,52,26,26,1590,526,1064,8,2,6,46.962391513982645,59.14454277286135,37.54985754985755
ASANPUR,11727,5845,5882,7345,4165,3180,138,83,55,4238,1594,2644,6,3,3,62.63323953270231,71.25748502994011,54.06324379462768
ASHOKPUR BALKAWA,4493,2130,2363,2111,1189,922,232,109,123,2150,832,1318,0,0,0,46.98419764077454,55.821596244131456,39.01819720694033
AURAHI,5039,2460,2579,2430,1520,910,137,63,74,2470,876,1594,2,1,1,48.22385393927367,61.78861788617886,35.284994183792165
AYODHYANAGAR,3979,2008,1971,2103,1257,846,104,55,49,1771,696,1075,1,0,1,52.852475496355865,62.5996015936255,42.922374429223744
BADHARAMAL,14682,7013,7669,7669,4351,3318,528,276,252,6483,2386,4097,2,0,2,52.23402806157199,62.041922144588625,43.26509323249446
BARCHHAWA,3298,1508,1790,1249,722,527,178,92,86,1842,682,1160,29,12,17,37.87143723468769,47.87798408488064,29.441340782122904
BARIYARPATTI,4497,2220,2277,2039,1304,735,137,74,63,2321,842,1479,0,0,0,45.341338670224594,58.73873873873874,32.27931488801054
BASTIPUR,5707,2772,2935,2958,1768,1190,145,58,87,2597,944,1653,7,2,5,51.83108463290695,63.78066378066378,40.54514480408859
BELAHA,5397,2427,2970,2759,1590,1169,121,61,60,2517,776,1741,0,0,0,51.120993144339444,65.51297898640297,39.36026936026936
BELHI,3587,1673,1914,1743,1037,706,89,38,51,1751,597,1154,4,1,3,48.59213827711179,61.98445905558876,36.886102403343784
BETAUNA,4548,2107,2441,1941,1193,748,111,54,57,2492,858,1634,4,2,2,42.678100263852244,56.62078785002373,30.64317902498976
BHADAIYA,5093,2399,2694,1995,1201,794,116,66,50,2981,1132,1849,1,0,1,39.17141174160613,50.06252605252188,29.47290274684484
BHAGWANPUR,3697,1810,1887,1914,1200,714,65,24,41,1717,586,1131,1,0,1,51.77170678928861,66.29834254143645,37.83783783783784
BHAGAWATIPUR,3971,1791,2180,1880,1115,765,135,65,70,1956,611,1345,0,0,0,47.34323847897255,62.25572305974316,35.091743119266056
BHAWANIPUR,4973,2355,2618,2430,1391,1039,138,87,51,2019,756,1263,386,121,265,48.863864870299615,59.06581740976645,39.68678380443087
BHAWANPUR KALABANZAR,3431,1664,1767,1714,1048,666,89,48,41,1622,567,1055,6,1,5,49.95628096764791,62.980769230769226,37.69100169779287
BHOKRAHA,1508,676,832,723,427,296,18,5,13,767,244,523,0,0,0,47.94429708222812,63.165680473372774,35.57692307692308
BISHNUPUR PRA.MA.,4585,2195,2390,2591,1523,1068,40,18,22,1954,654,1300,0,0,0,56.51035986913849,69.38496583143507,44.68619246861925
