VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
ARNAMALALPUR,845,142,632,89,5,0,0,18
ARNAMARAMPUR,230,8,340,130,2,0,0,3
ASANPUR,354,124,1300,699,15,0,5,13
ASHOKPUR BALKAWA,91,34,681,101,6,0,2,15
AURAHI,685,57,131,109,10,0,3,15
AYODHYANAGAR,140,37,611,47,2,0,2,3
BADHARAMAL,621,72,2383,228,11,0,3,28
BARCHHAWA,345,19,295,52,12,0,1,13
BARIYARPATTI,570,68,166,94,2,0,4,2
BASTIPUR,393,41,633,50,30,0,2,9
BELAHA,269,49,281,421,5,0,4,7
BELHI,197,45,503,76,2,0,0,1
BETAUNA,277,163,469,67,2,0,4,10
BHADAIYA,403,84,466,25,36,0,1,2
BHAGWANPUR,445,91,125,51,14,0,1,8
BHAGAWATIPUR,353,196,170,110,1,0,30,5
BHAWANIPUR,470,39,465,110,6,0,0,2
BHAWANPUR KALABANZAR,396,59,219,63,1,0,0,2
BHOKRAHA,46,3,226,56,7,0,0,3
BISHNUPUR PRA.MA.,246,38,515,136,1,0,8,7
BISHNUPUR PRA.RA,275,17,627,95,1,0,5,0
BISHNUPURKATTI,593,79,1379,27,38,0,0,69
BRAHMAGAUGHADI,270,55,287,53,1,0,3,7
CHANDRA AYODHYAPUR,290,28,919,56,1,0,1,12
CHANDRALALPUR,248,56,659,102,4,0,1,23
CHANDRODAYAPUR,120,48,881,53,15,0,1,5
CHATARI,170,12,120,162,1,0,18,2
CHIKANA,282,12,361,28,3,0,1,36
DEVIPUR,335,52,306,50,0,0,7,11
DHANGADI,438,111,1235,227,12,0,6,39
DHODHANA,480,53,432,10,1,0,0,3
DUMARI,255,6,386,64,5,0,0,23
DURGAPUR,117,115,577,44,0,0,15,11
FULBARIYA,324,41,1366,170,31,0,0,10
FULKAHA KATI,442,61,1228,37,3,0,1,23
GADHA,467,49,302,30,5,0,22,3
GAURIPUR,318,47,110,31,1,0,0,13
GAUTARI,257,49,314,95,2,0,0,5
GOVINDAPUR MALAHANAMA,464,82,737,24,3,0,3,7
GOVINDPUR TAREGANA,403,55,524,7,12,0,0,49
HAKPARA,253,83,359,109,2,0,0,11
HANUMANNAGAR,549,38,529,112,11,0,0,15
HANUMANNAGAR (PRA.DHA.),355,13,326,40,2,0,0,39
HARAKATTI,447,46,36,39,0,0,0,2
INARWA,1296,188,173,205,39,0,21,29
ITARHAWA,517,58,94,84,3,0,0,3
ITARI PARSAHI,243,37,396,176,18,0,1,2
ITATAR,576,53,99,70,1,0,1,34
JAMADAHA,284,52,731,22,15,0,4,10
JANAKINAGAR,388,161,112,62,0,0,1,8
JIGHAUL,566,109,103,57,6,0,0,19
KABILASI,298,30,214,38,8,0,1,5
KACHANARI,538,172,196,84,2,0,20,4
KALYANPUR JABADI,382,61,921,384,12,0,3,18
KALYANPURKALABANZAR,271,7,297,40,0,0,0,2
KARJANHA,306,14,918,123,4,0,1,37
KHARUKYANHI,621,78,86,41,1,0,0,2
KHIRAUNA,264,64,79,153,64,0,4,15
KRISHNAPUR BIRTA,315,114,230,74,0,0,0,3
KUSHAHALAXININIYA,227,19,362,56,3,0,2,0
LAGADI GADIYANI,488,278,38,167,1,0,1,17
LAGADIGOTH,392,78,65,65,1,0,0,13
LAHAN MUNICIPALITY,597,600,2378,2709,73,0,25,97
LALPUR,198,19,439,24,73,0,0,9
LAXMINIYA,266,141,261,108,3,0,10,8
LAXMIPUR (PRA.MA.),174,11,459,67,12,0,0,5
LAXMIPUR PATARI,542,58,157,75,0,0,0,1
MADAR,631,352,214,498,11,0,3,16
MAHADEWA PORTAHA,554,41,84,44,0,0,0,7
MAHANAUR,721,46,154,98,9,0,3,29
MAHESHPUR GAMHARIA,110,37,580,108,0,0,1,2
MAHESHPUR PATARI,569,49,76,48,2,0,1,8
MAJHAULIYA,264,37,420,123,2,0,1,11
MAJHAURA,696,51,132,53,1,0,1,12
MALHANIYA GAMHARIA,160,40,135,119,0,0,0,2
MALHANIYAKHORI,50,11,512,180,29,0,1,27
MAUWAHI,417,50,99,23,7,0,1,0
BHEDIA,254,29,476,31,11,0,0,21
MOHANPUR KAMALPUR,535,44,320,81,0,0,0,6
MUKSAR,181,19,497,0,0,0,0,6
NAHARA RIGOUL,504,198,193,72,1,0,1,6
NARAHA BALKAWA,234,35,486,88,10,0,0,15
NAVARAJPUR,951,92,357,60,3,0,0,6
PADARIYA THARUTOL,405,59,523,147,2,0,0,11
PIPRA PRA.DHA,394,27,174,69,1,0,3,7
PIPRA PRA.PI,621,115,266,94,13,0,0,33
POKHARBHINDA,425,14,140,56,6,0,1,3
RAGHOPUR,139,37,487,44,7,0,0,24
RAJPUR,440,90,374,47,3,0,10,5
RAMNAGAR MIRCHAIYA,389,81,1056,960,53,0,2,39
RAMPUR BIRTA,207,25,527,185,8,0,0,12
SAKHUWANANKARKATTI,450,43,40,48,1,0,1,1
SANHAITHA,265,122,354,160,104,0,21,10
SARSWAR,293,195,232,490,7,0,0,4
SIKRON,195,21,306,44,17,0,0,7
SILORBA PACHHAWARI,643,3,229,27,5,0,0,3
SIRAHA MUNICIPALITY,1516,318,1359,2052,37,0,5,113
SISAWANI,606,79,230,59,4,0,0,15
SITAPUR PRA.DA.,811,77,127,70,5,0,0,5
SITAPUR PRA.RA.,155,37,580,91,1,0,1,6
SONMATI MAJHAURA,316,19,302,98,1,0,1,8
SOTHIYAN,489,69,117,38,2,0,0,3
SUKHACHINA,225,105,65,120,1,0,0,8
SUKHIPUR,594,28,1076,236,2,0,3,19
TENUWAPATTI,288,20,332,94,0,0,10,6
THALAHA KATAHA,303,27,385,83,18,0,2,3
TULSIPUR,297,14,265,102,4,0,0,7
VIDHYANAGAR,318,22,331,111,0,0,6,5
TOTAL,42892,7757,48031,16414,1051,0,328,1456
