VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,23785,105886,51200,54686,4.45179735127181,93.62542515451852
BAKU,963,4844,2380,2464,5.030114226375908,96.5909090909091
BASA,676,3256,1574,1682,4.816568047337278,93.57907253269917
BENI,395,1575,754,821,3.9873417721518987,91.83922046285018
BHAKANJE,285,1294,632,662,4.540350877192982,95.46827794561933
BUNG,982,4520,2247,2273,4.60285132382892,98.85613726352838
CHAULAKHARKA,430,2012,974,1038,4.67906976744186,93.83429672447014
CHAURIKHARKA,968,3709,1872,1837,3.831611570247934,101.90528034839413
CHHESKAM,809,3767,1810,1957,4.65636588380717,92.48850281042412
DEUSA,875,4130,2002,2128,4.72,94.07894736842105
GARMA,472,2047,984,1063,4.336864406779661,92.56820319849483
GOLI,453,2228,1052,1176,4.91832229580574,89.45578231292517
GORAKHANI,328,1347,643,704,4.1067073170731705,91.33522727272727
GUDEL,869,4244,2091,2153,4.8837744533947065,97.12029725963771
JUBING,769,3352,1642,1710,4.35890767230169,96.0233918128655
JUBU,826,3791,1819,1972,4.589588377723971,92.24137931034483
KAKU,829,3790,1834,1956,4.571773220747889,93.76278118609407
KANGEL,439,2052,939,1113,4.674259681093394,84.36657681940702
KHUMJUNG,551,1912,913,999,3.47005444646098,91.3913913913914
KERUNG,873,3602,1600,2002,4.126002290950745,79.92007992007993
TAMAKHANI,240,1035,467,568,4.3125,82.21830985915493
LOKHIM,748,3552,1756,1796,4.748663101604278,97.7728285077951
PAWAI,550,2617,1294,1323,4.758181818181818,97.80801209372638
MUKALI,535,2442,1143,1299,4.564485981308411,87.99076212471132
NAMCHE,480,1540,807,733,3.2083333333333335,110.09549795361528
NECHA BATASE,767,3409,1617,1792,4.444589308996089,90.234375
NECHA BEDGHARI,838,3731,1753,1978,4.452267303102626,88.62487360970678
NELE,484,2197,1054,1143,4.539256198347108,92.21347331583553
PANCHAN,333,1508,718,790,4.528528528528528,90.88607594936708
SALLERI,1682,6590,3183,3407,3.9179548156956003,93.42530085118874
SALYAN,1137,5065,2388,2677,4.454705364995602,89.20433320881584
SOTANG,1288,5834,2877,2957,4.529503105590062,97.29455529252621
TAKASINDU,510,2177,1065,1112,4.268627450980392,95.77338129496404
TAPTING,480,2026,931,1095,4.220833333333333,85.0228310502283
TINGLA,894,3924,1756,2168,4.389261744966443,80.99630996309963
