VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
EKAMBA,298,1408,10,249,2,0,2,14
AMADUWA,697,1082,12,24,2,0,2,18
AMAHIBELAHA,348,1006,6,45,2,0,0,24
AURABANI,630,1009,3,73,2,0,0,2
BABIYA,249,1177,14,92,8,0,1,4
BAKALAURI,684,2254,37,83,5,0,4,25
BARAHACHHETRA,352,2446,17,107,4,0,16,71
BASANTAPUR,169,694,0,25,1,0,2,4
BHADGAUN SINAWARI,184,2342,14,1255,5,0,13,24
BHALUWA,448,415,9,30,0,0,0,10
BHARAUL,1100,3157,24,102,14,0,24,10
BHOKRAHA,979,2229,7,121,24,0,19,20
BISHNUPADUKA,117,951,1,2,4,0,2,3
CHANDWELA,584,748,19,22,1,0,0,5
CHHITAHA,675,1155,9,33,1,0,0,9
CHIMADI,547,800,12,16,3,0,5,7
DEWANGANJ,102,1098,3,101,4,0,1,2
DHARAN MUNICIPALITY,188,13267,71,13638,119,0,30,437
GHUSKEE,141,1523,2,75,9,0,24,12
DUHABI,593,2504,32,1208,14,0,2,62
DUMRAHA,983,2326,28,51,5,0,77,22
GAUTAMPUR,72,596,10,35,0,0,4,6
HANSAPOSA,180,3495,11,2166,25,0,3,35
HARINAGARA,252,1053,14,92,4,0,2,1
HARIPUR,1109,1055,3,125,18,0,2,4
INARUWA MUNICIPALITY,415,3503,63,2110,26,0,21,57
ITAHARI MUNICIPALITY,643,7434,81,9773,61,0,33,245
JALPAPUR,61,946,2,47,7,0,1,2
KAPTANGANJ,187,1355,4,24,3,0,0,5
KHANAR,710,3149,27,1066,12,0,2,164
LAUKAHI,237,494,2,118,7,0,1,2
MADHELEE,339,1086,2,24,3,0,71,24
MADHESA,278,940,22,141,12,0,1,1
MADHUWAN,677,741,3,27,10,0,0,13
MADHYAHARSHAHI,100,915,1,22,3,0,1,5
MAHENDRANAGAR,1842,3352,17,169,9,0,7,35
NARSINGHATAPPU,942,2315,17,96,16,0,1,12
PAKALI,327,1458,35,641,7,0,14,14
PANCHAKANYA,236,3445,9,115,16,0,6,36
PASHCHIM KUSHAHA,1006,989,1,81,11,0,0,18
PRAKASHPUR,1189,1881,14,95,3,0,1,23
PURBAKUSHAHA,621,828,14,43,0,0,0,23
RAMGANJ BELGACHHI,782,738,34,28,1,0,1,11
RAJGANJ SINUWARI,292,1309,2,22,8,0,3,5
RAMNAGAR BHUTAHA,197,1616,12,159,5,0,11,20
SAHEBGANJ,82,672,1,17,2,0,8,2
SATTERJHORA,926,943,2,11,0,0,0,7
SIMARIYA,529,584,9,31,1,0,1,23
SINGIYA,577,1782,18,116,1,0,2,14
SONAPUR,592,1628,9,354,1,0,0,20
SRIPURJABDI,1340,1684,13,75,12,0,116,20
TANAMUNA,677,550,2,18,4,0,0,4
TOTAL,27485,96127,784,35193,517,0,537,1636
