VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
EKAMBA,437,848,693,5
AMADUWA,1671,100,55,11
AMAHIBELAHA,1058,326,41,6
AURABANI,1335,156,227,1
BABIYA,1073,355,113,4
BAKALAURI,1538,728,815,11
BARAHACHHETRA,1177,1008,792,36
BASANTAPUR,736,131,23,5
BHADGAUN SINAWARI,815,2315,691,16
BHALUWA,77,269,561,5
BHARAUL,802,2833,789,7
BHOKRAHA,2786,414,188,11
BISHNUPADUKA,311,283,482,4
CHANDWELA,767,260,348,4
CHHITAHA,1627,89,156,10
CHIMADI,1184,157,47,2
DEWANGANJ,819,195,295,2
DHARAN MUNICIPALITY,485,21698,5357,210
GHUSKEE,1510,140,130,6
DUHABI,1777,1741,877,20
DUMRAHA,2715,489,278,10
GAUTAMPUR,493,196,32,2
HANSAPOSA,821,2999,2072,23
HARINAGARA,755,333,329,1
HARIPUR,1295,703,314,4
INARUWA MUNICIPALITY,1236,4045,886,28
ITAHARI MUNICIPALITY,868,10412,6830,160
JALPAPUR,900,57,108,1
KAPTANGANJ,1188,147,239,4
KHANAR,1155,3064,872,39
LAUKAHI,532,218,110,1
MADHELEE,538,759,227,25
MADHESA,34,953,407,1
MADHUWAN,1017,287,160,7
MADHYAHARSHAHI,785,114,147,1
MAHENDRANAGAR,1407,2420,1582,22
NARSINGHATAPPU,2916,356,119,8
PAKALI,521,1262,699,14
PANCHAKANYA,159,1783,1897,24
PASHCHIM KUSHAHA,1507,195,389,15
PRAKASHPUR,1342,1198,659,7
PURBAKUSHAHA,1266,157,90,16
RAMGANJ BELGACHHI,1318,177,99,1
RAJGANJ SINUWARI,1408,207,21,5
RAMNAGAR BHUTAHA,1288,395,325,12
SAHEBGANJ,716,52,15,1
SATTERJHORA,1639,158,86,6
SIMARIYA,847,185,125,21
SINGIYA,1339,859,302,10
SONAPUR,1241,778,574,11
SRIPURJABDI,2642,194,413,11
TANAMUNA,657,54,542,2
TOTAL,58530,69252,33628,869
