VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,72863,350804,169421,181383,4.814569809093778,93.405115143095
AGRAGAUN,509,2707,1218,1489,5.318271119842829,81.79986568166555
AWALCHING,386,2338,1111,1227,6.05699481865285,90.54604726976365
BABIYACHAUR,1632,8214,3897,4317,5.033088235294118,90.27102154273801
BAJEDICHAUR,865,4132,1835,2297,4.776878612716763,79.88680888114934
BETAN,513,3087,1541,1546,6.017543859649122,99.67658473479948
BIDYAPUR,1310,6414,3081,3333,4.89618320610687,92.43924392439244
BIJAURA,1036,5438,2644,2794,5.249034749034749,94.63135289906943
BIRENDRANAGAR MUNICIPALITY,12029,47914,23396,24518,3.9832072491478927,95.42377029121461
CHAPRE,617,3506,1747,1759,5.682333873581848,99.3177942012507
CHHINCHU,2956,14036,6609,7427,4.7483085250338295,88.98613168170189
DAHACHAUR,682,2976,1327,1649,4.363636363636363,80.47301394784718
DANDAKHALI,541,2493,1104,1389,4.608133086876156,79.48164146868251
DASARATHPUR,1221,5347,2422,2925,4.379197379197379,82.80341880341881
DHARAPANI,552,3073,1456,1617,5.567028985507246,90.04329004329004
GADI BAYALKADA,685,3050,1475,1575,4.452554744525547,93.65079365079364
GARPAN,415,2011,943,1068,4.84578313253012,88.29588014981273
GHAT GAUN,952,5004,2303,2701,5.256302521008403,85.26471677156609
GHORETA,530,3162,1472,1690,5.966037735849056,87.10059171597632
GHUMKHAHARE,1010,4513,1970,2543,4.468316831683168,77.46755800235941
GUMI,1585,7035,3148,3887,4.438485804416404,80.98790841265757
GUTHU,1422,7640,3692,3948,5.372714486638538,93.51570415400202
HARIHARPUR,954,4581,2181,2400,4.80188679245283,90.875
JARBUTA,1837,8580,4137,4443,4.6706586826347305,93.11276164753545
KAFALKOT,584,3599,1700,1899,6.162671232876712,89.52080042127436
KALYAN,1271,6307,2892,3415,4.962234461054288,84.68521229868229
KAPRICHAUR,598,2875,1334,1541,4.8076923076923075,86.56716417910447
KHANIKHOLLA,667,3237,1533,1704,4.853073463268366,89.96478873239437
KUNATHARI,1640,7539,3590,3949,4.596951219512195,90.9090909090909
LAGAAM,685,4071,2034,2037,5.943065693430657,99.85272459499264
LATIKOILI,4330,19963,9646,10317,4.610392609699769,93.49617136764563
LEKHFARSA,1301,5823,2673,3150,4.475787855495772,84.85714285714285
LEKHGAUN,989,4719,2263,2456,4.771486349848332,92.14169381107492
LEKHPARAJUL,1649,8896,4437,4459,5.394784718010916,99.50661583314645
MAINTADA,2622,11187,4864,6323,4.266590389016018,76.92551004270125
MALARANI,1092,5277,2519,2758,4.832417582417582,91.33430021754894
MATELA,1021,6062,2904,3158,5.9373163565132225,91.95693476884104
MEHELKUNA,2308,9815,4280,5535,4.25259965337955,77.32610659439928
NETA,647,3567,1780,1787,5.513137557959815,99.6082820369334
PAMKA,389,2170,1060,1110,5.57840616966581,95.4954954954955
POKHARIKANDA,860,4741,2367,2374,5.5127906976744185,99.70513900589722
RAJENA,556,3062,1524,1538,5.5071942446043165,99.08972691807543
RAKAM,800,3640,1647,1993,4.55,82.6392373306573
RAMGHAT,1598,7288,3235,4053,4.560700876095119,79.81741919565754
RANIBAS,571,3643,1688,1955,6.380035026269702,86.34271099744245
RATU,333,1679,840,839,5.042042042042042,100.11918951132301
SAHARE,2343,11076,5182,5894,4.7272727272727275,87.91991856124872
SALKOT,1636,8510,4091,4419,5.201711491442543,92.5775062231274
SATAKHANI,1906,9251,4355,4896,4.853620146904512,88.95016339869281
TARANGA,1005,5222,2585,2637,5.196019900497513,98.02806219188471
TATOPANI,1109,5587,2606,2981,5.037871956717764,87.42032874874204
UTTARGANGA,4081,17261,8334,8927,4.229600588091154,93.35723087263358
