VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AGRAGAUN,493,0,16,0,0,0,0
AWALCHING,70,2,307,0,0,0,7
BABIYACHAUR,365,45,1203,5,0,0,14
BAJEDICHAUR,843,4,13,0,0,0,5
BETAN,225,3,270,6,1,0,8
BIDYAPUR,246,32,1001,9,0,0,22
BIJAURA,424,11,595,3,0,0,3
BIRENDRANAGAR MUNICIPALITY,4508,6274,85,693,197,84,188
CHAPRE,545,0,55,5,0,0,12
CHHINCHU,1935,577,174,20,214,5,31
DAHACHAUR,617,35,22,2,1,0,5
DANDAKHALI,467,5,65,2,0,0,2
DASARATHPUR,448,70,677,7,0,1,18
DHARAPANI,537,9,0,1,0,0,5
GADI BAYALKADA,662,12,6,2,0,0,3
GARPAN,406,1,1,5,0,0,2
GHAT GAUN,49,4,881,2,1,2,13
GHORETA,487,11,15,7,1,0,9
GHUMKHAHARE,921,49,35,0,0,1,4
GUMI,1291,246,27,4,0,2,15
GUTHU,509,13,844,35,0,2,19
HARIHARPUR,473,16,450,8,0,0,7
JARBUTA,1287,461,17,65,2,2,3
KAFALKOT,323,0,250,2,0,1,8
KALYAN,470,155,638,3,0,2,3
KAPRICHAUR,387,15,80,105,0,1,10
KHANIKHOLLA,650,2,12,1,0,0,2
KUNATHARI,962,179,460,35,1,1,2
LAGAAM,211,5,451,10,0,1,7
LATIKOILI,1926,1568,89,298,330,79,40
LEKHFARSA,1002,101,161,14,13,2,8
LEKHGAUN,930,16,27,5,0,0,11
LEKHPARAJUL,633,16,975,8,0,2,15
MAINTADA,2219,221,151,13,1,6,11
MALARANI,1041,6,26,6,1,3,9
MATELA,809,19,187,1,0,1,4
MEHELKUNA,1967,210,92,6,15,7,11
NETA,612,15,14,0,0,0,6
PAMKA,110,1,277,0,0,0,1
POKHARIKANDA,515,2,311,25,0,0,7
RAJENA,304,0,84,162,0,0,6
RAKAM,739,47,8,2,0,0,4
RAMGHAT,503,122,911,4,0,49,9
RANIBAS,322,0,247,0,0,0,2
RATU,330,0,1,0,0,0,2
SAHARE,2044,202,67,1,13,2,14
SALKOT,718,25,836,28,1,5,23
SATAKHANI,1662,72,147,5,0,0,20
TARANGA,618,1,380,5,0,0,1
TATOPANI,168,12,917,5,1,1,5
UTTARGANGA,1976,1759,75,161,40,28,42
TOTAL,41959,12651,14633,1786,833,290,678
