VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AGRAGAUN,543,677,472,488,69,181,2,8
AWALCHING,495,578,416,422,77,151,2,5
BABIYACHAUR,1890,2093,1426,1416,429,606,35,71
BAJEDICHAUR,793,1018,670,731,107,255,16,32
BETAN,735,784,489,443,194,301,52,40
BIDYAPUR,1483,1552,1084,1032,310,398,89,122
BIJAURA,1276,1326,1012,953,247,348,17,25
BIRENDRANAGAR MUNICIPALITY,8873,9123,6981,6394,1737,2500,155,229
CHAPRE,815,873,588,592,189,214,38,67
CHHINCHU,3109,3457,2342,2330,727,1072,40,55
DAHACHAUR,575,700,459,459,112,234,4,7
DANDAKHALI,480,619,386,451,86,162,8,6
DASARATHPUR,1042,1325,837,882,194,424,11,19
DHARAPANI,690,816,521,502,164,304,5,10
GADI BAYALKADA,646,734,430,441,195,275,21,18
GARPAN,395,490,339,350,55,140,1,0
GHAT GAUN,1181,1345,923,934,225,377,33,34
GHORETA,652,834,483,534,131,258,38,42
GHUMKHAHARE,894,1139,677,741,164,317,53,81
GUMI,1391,1681,1104,1069,279,602,8,10
GUTHU,1818,1869,1418,1317,370,521,30,31
HARIHARPUR,970,1155,679,743,254,369,37,43
JARBUTA,1674,1850,1229,1228,419,590,26,32
KAFALKOT,751,904,594,648,147,245,10,11
KALYAN,1329,1526,948,984,362,508,19,34
KAPRICHAUR,588,707,459,460,127,242,2,5
KHANIKHOLLA,694,789,564,527,130,261,0,1
KUNATHARI,1618,1732,1236,1203,373,517,9,12
LAGAAM,978,988,685,617,293,368,0,3
LATIKOILI,3982,4258,3160,2982,739,1179,83,97
LEKHFARSA,1139,1342,889,894,247,445,3,3
LEKHGAUN,1041,1110,760,711,272,394,9,5
LEKHPARAJUL,2189,2299,1512,1488,622,742,55,69
MAINTADA,2426,3007,2000,2109,389,852,37,46
MALARANI,1091,1196,818,846,273,348,0,2
MATELA,1392,1589,1000,955,250,440,142,194
MEHELKUNA,2038,2577,1572,1682,372,745,94,150
NETA,837,825,569,554,257,263,11,8
PAMKA,482,507,320,301,159,205,3,1
POKHARIKANDA,1160,1221,702,725,447,485,11,11
RAJENA,736,719,562,473,161,212,13,34
RAKAM,748,880,581,581,158,277,9,22
RAMGHAT,1543,1898,1195,1247,272,552,76,99
RANIBAS,773,1012,616,715,150,277,7,20
RATU,363,368,281,238,72,124,10,6
SAHARE,2414,2710,1814,1830,578,834,22,46
SALKOT,1943,2191,1399,1418,500,694,44,79
SATAKHANI,1988,2258,1463,1508,503,719,22,31
TARANGA,1220,1346,835,811,275,374,110,161
TATOPANI,1281,1424,978,943,293,461,10,20
UTTARGANGA,3556,3732,2809,2552,696,1130,51,50
INSTITUTIONAL,2250,422,459,183,1790,238,1,1
