VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
ANBUKHAIRENI,15021,6864,8157,12067,5971,6096,212,85,127,2717,801,1916,25,7,18,80.33419878836295,86.99009324009323,74.73335785215153
ARUNODAYA,4527,1877,2650,3281,1518,1763,92,39,53,1154,320,834,0,0,0,72.47625358957367,80.8737346830048,66.52830188679245
BAIDI,4100,1877,2223,2951,1496,1455,53,18,35,1096,363,733,0,0,0,71.97560975609755,79.7016515716569,65.45209176788124
BANDIPUR,11470,5216,6254,8547,4292,4255,311,157,154,2606,765,1841,6,2,4,74.51612903225806,82.28527607361963,68.03645666773265
BARBHANJYANG,4659,1957,2702,3282,1601,1681,123,53,70,1230,296,934,24,7,17,70.4443013522215,81.80889115993868,62.21317542561066
BASANTAPUR,3096,1286,1810,2138,1042,1096,53,23,30,902,219,683,3,2,1,69.05684754521964,81.02643856920683,60.552486187845304
BHANU,12072,5220,6852,8959,4343,4616,89,40,49,3022,837,2185,2,0,2,74.21305500331346,83.19923371647509,67.3671920607122
BHANUMATI,4256,1789,2467,3298,1540,1758,55,21,34,902,228,674,1,0,1,77.4906015037594,86.08160983789827,71.2606404539927
BHIMAD,7688,3312,4376,6313,2972,3341,146,62,84,1224,275,949,5,3,2,82.1149843912591,89.73429951690821,76.34826325411335
BHIRKOT,4527,1923,2604,2863,1414,1449,184,69,115,1478,440,1038,2,0,2,63.242765628451515,73.5309412376495,55.64516129032258
BYAS MUNICIPALITY,39366,17539,21827,32778,15696,17082,735,318,417,5828,1518,4310,25,7,18,83.26474622770918,89.49198928103085,78.26086956521739
CHHANG,5486,2374,3112,4099,2002,2097,99,40,59,1251,321,930,37,11,26,74.71746263215458,84.33024431339511,67.38431876606684
CHHIMKESHWORI,1662,724,938,919,481,438,41,15,26,701,228,473,1,0,1,55.29482551143201,66.4364640883978,46.695095948827294
CHHIPCHHIPE,2005,905,1100,1590,761,829,18,10,8,397,134,263,0,0,0,79.30174563591022,84.08839779005525,75.36363636363636
CHOK CHISAPANI,3541,1525,2016,2711,1321,1390,25,5,20,805,199,606,0,0,0,76.56029370234397,86.62295081967213,68.9484126984127
DEURALI,2215,952,1263,1193,596,597,70,29,41,951,327,624,1,0,1,53.86004514672686,62.60504201680672,47.26840855106889
DEVGHAT,7085,3274,3811,4373,2360,2013,192,97,95,2518,816,1702,2,1,1,61.721947776993645,72.08307880268784,52.820781946995545
DHARAMPANI,2871,1224,1647,1799,919,880,17,6,11,1054,298,756,1,1,0,62.661093695576454,75.08169934640523,53.43047965998786
DHORFIRDI,10992,4670,6322,8254,3915,4339,245,108,137,2483,644,1839,10,3,7,75.09097525473072,83.83297644539614,68.63334387851945
DULEGAUNDA,14388,6438,7950,11786,5715,6071,239,107,132,2361,616,1745,2,0,2,81.9154851264943,88.76980428704566,76.36477987421384
FIRFIRE,2984,1280,1704,2230,1086,1144,39,12,27,713,182,531,2,0,2,74.73190348525469,84.84375,67.13615023474179
GAJARKOT,5032,2130,2902,3577,1726,1851,84,34,50,1363,368,995,8,2,6,71.08505564387917,81.03286384976526,63.78359751895245
GHANSIKUWA,7200,3142,4058,5590,2691,2899,74,34,40,1528,415,1113,8,2,6,77.63888888888889,85.64608529598982,71.43913257762445
JAMUNE BHANJYANG,9036,3993,5043,7096,3493,3603,152,67,85,1782,431,1351,6,2,4,78.5303231518371,87.47808665164037,71.44556811421772
KAHU SHIVAPUR,6332,2711,3621,4064,2031,2033,153,54,99,2112,625,1487,3,1,2,64.18193303853444,74.9170047952785,56.14471140568904
KESHAVTAR,4401,1947,2454,2930,1504,1426,167,63,104,1301,380,921,3,0,3,66.57577823221995,77.24704673857217,58.10920945395273
KHAIRENITAR,9626,4114,5512,7842,3679,4163,85,28,57,1698,407,1291,1,0,1,81.46686058591315,89.4263490520175,75.52612481857764
KIHUN,3462,1408,2054,2502,1185,1317,55,20,35,901,202,699,4,1,3,72.27036395147314,84.16193181818183,64.11879259980526
KOTA,3219,1489,1730,2172,1129,1043,44,23,21,998,333,665,5,4,1,67.47437092264678,75.82269979852249,60.28901734104046
KOTDARBAR,4998,2029,2969,3229,1516,1713,151,50,101,1616,462,1154,2,1,1,64.60584233693477,74.71660916707738,57.696194004715394
KYAMIN,4841,2002,2839,3840,1772,2068,85,31,54,910,198,712,6,1,5,79.32245403842182,88.51148851148851,72.84255019373018
MAJHAKOT,6225,2596,3629,4107,1907,2200,266,133,133,1842,553,1289,10,3,7,65.97590361445783,73.45916795069337,60.622761091209696
MANPANG,6135,2576,3559,4419,2095,2324,139,52,87,1571,428,1143,6,1,5,72.02933985330074,81.3276397515528,65.29924135993257
POKHARI BHANJYANG,3646,1628,2018,2429,1252,1177,123,49,74,1094,327,767,0,0,0,66.62095447065278,76.90417690417691,58.32507433102081
PURKOT,6608,2732,3876,4817,2271,2546,86,40,46,1700,420,1280,5,1,4,72.89648910411623,83.1259150805271,65.68627450980392
RAIPUR,3628,1525,2103,2684,1284,1400,33,10,23,907,229,678,4,2,2,73.98015435501654,84.19672131147541,66.57156443176416
