VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AMBEGUDIN,583,10,3,23,0,0,6
ANGKHOP,405,0,3,40,1,0,2
CHAKSIBOTE,150,1,0,40,0,0,0
CHANGE,763,0,9,87,0,1,1
DHUNGESANGHU,653,6,11,68,0,0,8
DOKHU,668,56,44,139,0,1,1
DUMMRISE,304,0,5,14,0,0,1
EKHABU,365,1,4,18,1,6,1
HANGDEWA,653,9,48,41,0,0,2
HANGPANG,726,7,5,44,0,0,0
KALIKHOLA,39,1,38,38,0,0,2
KHAMLUNG,198,0,34,87,0,0,0
KHEJENIM,407,1,36,28,0,0,8
KHEWANG,498,0,8,16,0,1,3
KHOKLING,590,2,7,92,0,0,2
LELEP,345,2,94,62,2,0,6
LIMBUDIN,334,0,1,11,0,0,10
LINGTEP,280,0,18,33,0,0,1
LINKHIM,438,2,3,7,1,1,5
LIWANG,314,2,4,38,0,0,1
MAMANGKHE,228,0,2,10,0,0,0
MEHELE,449,1,0,13,0,0,0
NALBU,342,1,10,17,0,1,5
NANGKHOLYANG,672,2,14,115,0,1,5
NIDHURADIN,425,1,16,61,0,0,8
OLANGCHUNG GOLA,40,1,20,0,0,0,1
PAPUNG,114,4,144,5,0,0,49
PEDANG,328,3,1,8,0,0,4
PHAKUMBA,568,1,18,99,0,1,6
PHAWAKHOLA,244,0,2,13,0,0,1
PHULBARI,651,0,3,79,1,0,0
PHUNGLING,2314,663,372,179,0,29,14
PHURUMBU,368,5,100,17,0,0,3
SADEWA,175,0,10,25,0,0,1
SANGHU,660,0,9,77,0,4,5
SANTHAKRA,408,1,13,108,0,0,3
SANWA,469,0,6,23,0,0,3
SAWANDIN,256,0,8,29,1,2,1
SABLAKHU,416,1,7,7,0,0,1
SIKAICHA,387,8,2,20,0,0,0
SINAM,413,6,3,36,0,0,3
SURUMKHIM,294,4,3,36,0,0,2
TAPETHOK,262,10,23,13,0,7,7
TELLOK,429,0,1,19,0,0,0
THECHAMBU,605,2,14,80,0,0,1
THINGLABU,438,1,8,33,1,0,10
THUKIMMA,483,1,14,28,0,0,1
THUMBEDIN,415,3,1,31,0,3,1
TIRINGE,320,1,21,12,0,0,0
YAMFUDIN,66,0,6,5,0,86,2
TOTAL,21952,820,1226,2124,8,144,197
