VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AMBUNG,739,2,3,2,36,6,0,2
ANGDEEM,259,0,0,13,168,0,1,2
BASANTAPUR,937,0,2,12,159,0,0,1
CHHATE DHUNGA,367,0,26,45,217,0,0,6
CHUHANDANDA,448,0,3,182,135,0,2,1
DANGAPA,441,0,1,10,36,2,5,0
ESEEBU,569,1,15,10,17,2,1,1
EWA,371,0,2,12,260,5,47,4
HAMARJUNG,627,1,1,61,41,0,0,0
HWAKU,561,1,8,50,16,7,1,0
JALJALE,571,1,0,38,144,0,3,1
JIRIKHIMTI,613,1,1,20,107,0,0,2
KHAMLALUNG,571,0,0,14,18,2,10,0
MORAHANG,648,0,4,8,113,2,7,2
MYANGLUNG,1523,0,4,44,115,0,1,3
OKHRE,642,0,1,71,84,0,3,6
OYAKJUNG,715,1,3,56,202,3,26,1
PANCHAKANYA POKHARI,256,0,26,25,138,6,0,4
PHAKCHAMARA,391,1,0,91,43,3,0,0
PHULEK,326,0,1,1,6,1,0,6
PIPLE,276,0,0,4,51,0,0,0
POUTHAK,342,2,0,37,79,2,12,1
SABLA,395,1,3,0,167,1,1,0
SAMDU,471,2,0,12,13,3,0,3
SANKRANTI BAZAR,559,1,9,13,70,24,5,1
SHREE JUNG,439,0,0,25,60,2,7,2
SIMLE,711,1,45,42,109,5,0,6
SOLMA,579,1,14,51,252,0,1,2
SUDAP,417,0,6,92,154,1,0,1
SUNGNAM,714,1,14,16,80,0,4,1
TAMFULA,316,3,0,20,128,5,0,0
THOKLUNG,346,0,8,66,69,0,8,7
TOTAL,17140,21,200,1143,3287,82,145,66
