VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AANPTAR,689,17,4,147,0,1,4
BALAMTA,449,2,0,21,0,0,0
BARAHA,533,2,0,2,0,0,1
BARRE,732,2,11,98,0,0,8
BANSBOTE,407,0,1,20,0,0,3
BASHAHA,15,108,1216,891,0,3,7
BELTAR,32,579,1267,1224,0,21,5
BHUTTAR,456,3,3,79,2,79,13
CHAUDANDI,71,1,182,494,0,2,6
DUMRE,277,2,0,191,0,0,1
HADIYA,14,160,153,1985,2,40,1
HARDENI,568,36,10,88,0,0,4
INAME,570,0,0,12,0,0,5
JALPACHILAUNE,214,70,91,431,0,1,0
JANTE,389,2,1,20,0,0,0
JOGIDAHA,15,95,41,1295,2,3,0
KATARI,401,1318,381,1881,8,151,38
KATUNJE BABALA,12,1,337,703,0,10,2
KHANBU,429,6,13,331,3,0,0
LAPHAGAUN,503,0,2,56,0,0,1
LEKHANI,362,29,10,279,0,0,6
LEKHGAUN,457,4,0,17,0,0,2
LIMPATAR,473,1,4,26,0,0,0
MAINAMAINI,219,6,318,426,0,0,2
NAMETAR,393,0,8,10,0,0,5
OKHALE,408,2,0,87,1,2,7
PACHCHAWATI,618,81,341,930,2,1,0
POKHARI,452,8,7,182,1,0,6
RAUTA,909,285,63,244,0,31,3
RISKU,130,55,187,1399,2,9,6
RUPATAR,624,2,12,39,0,1,5
SAUNE,93,29,88,307,0,0,1
SHORUNG CHHABISE,553,7,0,149,1,0,8
SIDDHIPUR,17,83,388,288,0,3,0
SIRISE,587,7,41,152,0,0,8
SUNDARPUR,7,74,182,943,2,53,0
TAMLICHHA,459,0,0,2,0,0,2
TAPESWORI,21,96,180,1790,1,112,6
TAWASHREE,576,31,78,462,1,3,3
THANAGAU,358,1,0,85,0,0,2
THOKSILA,14,48,2281,2291,0,43,11
TRIBENI,23,319,350,1119,1,36,16
TRIYUGA MUNICIPALITY,592,6926,749,7501,22,36,100
VALAYADANDA,428,28,416,848,0,4,6
MAYANKHU,357,2,1,117,0,0,1
TOTAL,15906,10528,9417,29662,51,645,305
