VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
BABALA,531,1,0,0,0,0,0,7
BAIJINATH,267,0,15,0,0,0,0,4
BANNATOLI,596,0,0,0,0,0,0,4
BARADADIVI,824,0,1,6,2,0,0,0
BASTI,661,0,0,0,3,0,0,4
BATULASEN,697,0,0,2,1,0,0,5
BAYALA,744,0,0,2,2,0,0,11
BHAGYASWORI,241,0,1,0,1,0,0,0
BHAIRABSTHAN,810,2,0,0,0,0,0,8
BHATAKATIYA,819,0,0,0,1,0,0,8
BHULI,521,0,1,1,0,0,0,3
BINAYAK,1016,1,3,1,0,0,0,12
BINDHYAWASINI,541,4,0,1,0,0,0,13
BIRPATH,530,0,1,1,0,0,0,0
BUDHAKOT,510,0,0,0,1,0,1,5
CHALSA,449,4,0,3,2,0,0,3
CHANDIKA(BAYALPATA),426,4,5,2,1,0,0,1
CHAPHAMANDAU,241,0,0,0,0,0,0,0
DARNA,792,1,0,0,5,0,1,2
DEVISTHAN,392,1,0,0,0,0,0,0
DHAKARI,717,0,0,0,0,0,0,8
DHAKU,342,0,0,3,8,0,0,3
DHAMALI,707,0,0,0,0,0,0,3
DHODASAIN,829,0,1,3,1,0,0,14
DHUDHARUKOT,619,0,0,2,0,0,0,0
DHUNGACHALNA,976,0,0,0,1,0,0,5
DUNI,490,0,6,1,1,0,6,5
GAJARA,353,0,0,0,0,0,0,1
HATIKOT,341,0,0,1,0,0,0,4
HICHMA,972,1,0,6,7,0,0,8
JALAPADEVI,534,0,3,0,0,0,0,5
JANALIBANDALI,646,0,1,0,0,0,0,1
JANALIKOT,367,0,0,0,0,0,0,1
JUPU,590,0,0,15,1,0,0,1
KALAGAU,587,0,0,0,0,0,0,2
KALEKANDA,558,0,0,2,1,0,1,0
KALIKA,599,0,2,0,1,0,1,2
KALIKASTHAN,648,0,0,2,0,0,0,1
KHAPTAD,285,0,0,0,0,0,0,4
KHODASADEVI,706,0,0,0,0,0,0,8
KUIKA,772,0,0,0,0,0,0,5
KUNTIBANDALI,590,1,0,2,0,0,0,1
KUSHKOT,786,0,0,0,0,0,0,6
LAYATI,482,1,0,1,1,0,0,5
LUNGRA,763,0,0,1,1,0,0,2
MALATIKOT,443,0,0,0,0,0,0,2
MANGALSEN,2002,29,90,1,4,1,88,7
MARKU,466,0,1,0,0,0,0,4
MASHTANAMDALI,365,0,0,0,0,0,0,2
MASTAMANDAU,651,3,32,0,0,0,8,8
NADA,499,0,0,1,1,0,0,0
NANDEGADA,643,2,0,0,0,0,0,3
NAWATHANA,370,0,1,0,0,0,0,1
OLIGAU,675,1,0,0,0,0,0,0
PATALKOT,495,0,0,2,2,0,0,6
PAYAL,1039,0,0,4,10,0,0,1
PULLETALA,585,0,0,2,0,0,0,2
RAHAPH,834,0,0,3,0,0,0,7
RAMAROSAN,1029,0,0,0,1,0,0,1
RANIBAN,512,1,0,0,0,0,0,1
RIDIKOT,322,1,0,0,0,0,0,5
RISIDAHA,822,0,0,3,5,0,0,0
SANTADA,506,0,0,0,0,0,0,3
SERA,511,0,0,0,3,0,0,7
SIDDHESWOR,864,13,28,2,2,1,5,2
SIUDI,955,0,1,0,0,0,1,7
SOUKAT,1342,2,0,2,1,0,0,1
SUTAR,594,0,0,0,3,0,0,1
THANTI,463,0,0,0,0,0,0,8
TIMILSAIN,408,0,1,0,2,0,1,0
TOLI,684,0,0,1,5,0,0,10
TOSI,418,0,0,1,1,0,3,1
TURMAKHAD,759,0,0,1,1,0,0,1
WALANT,700,0,0,1,0,0,0,5
WARLA,662,1,0,0,0,0,0,1
TOTAL,47485,74,194,82,83,2,116,282
