VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
BABALA,0,1,1,117,414,6
BAIJINATH,183,2,0,3,94,4
BANNATOLI,3,0,0,173,423,1
BARADADIVI,243,14,113,37,426,0
BASTI,6,1,4,108,545,4
BATULASEN,24,13,0,180,483,5
BAYALA,1,7,1,284,455,11
BHAGYASWORI,154,4,0,1,84,0
BHAIRABSTHAN,1,6,0,393,412,8
BHATAKATIYA,308,8,0,38,466,8
BHULI,2,1,1,184,336,2
BINAYAK,0,72,1,531,420,9
BINDHYAWASINI,11,181,0,137,217,13
BIRPATH,0,23,1,124,384,0
BUDHAKOT,6,3,19,51,433,5
CHALSA,25,24,3,237,169,3
CHANDIKA(BAYALPATA),323,68,1,10,36,1
CHAPHAMANDAU,206,0,0,26,9,0
DARNA,0,2,1,134,662,2
DEVISTHAN,8,0,15,142,228,0
DHAKARI,0,0,0,280,437,8
DHAKU,7,2,0,142,202,3
DHAMALI,0,4,1,273,429,3
DHODASAIN,1,0,1,225,607,14
DHUDHARUKOT,0,1,3,263,354,0
DHUNGACHALNA,5,13,1,203,754,6
DUNI,0,3,144,51,307,4
GAJARA,184,1,0,15,153,1
HATIKOT,0,1,0,116,227,2
HICHMA,53,8,4,292,629,8
JALAPADEVI,115,0,13,34,375,5
JANALIBANDALI,15,3,2,117,510,1
JANALIKOT,135,0,0,7,225,1
JUPU,118,34,0,96,358,1
KALAGAU,0,0,4,158,425,2
KALEKANDA,0,0,0,200,362,0
KALIKA,239,187,1,22,155,1
KALIKASTHAN,1,6,0,393,250,1
KHAPTAD,51,3,3,122,106,4
KHODASADEVI,661,5,3,7,30,8
KUIKA,0,1,0,389,382,5
KUNTIBANDALI,1,106,5,56,425,1
KUSHKOT,552,1,27,40,166,6
LAYATI,258,10,0,82,135,5
LUNGRA,1,5,1,699,59,2
MALATIKOT,290,0,0,141,12,2
MANGALSEN,1493,329,39,55,298,8
MARKU,1,1,0,290,175,4
MASHTANAMDALI,1,0,0,86,280,0
MASTAMANDAU,327,65,5,91,207,7
NADA,0,0,0,149,352,0
NANDEGADA,3,211,0,251,180,3
NAWATHANA,61,110,8,127,65,1
OLIGAU,293,25,1,10,347,0
PATALKOT,0,6,135,98,260,6
PAYAL,9,6,26,495,517,1
PULLETALA,305,8,1,131,142,2
RAHAPH,1,0,0,177,659,7
RAMAROSAN,211,1,0,361,458,0
RANIBAN,3,114,0,256,140,1
RIDIKOT,203,43,1,3,73,5
RISIDAHA,28,7,7,102,686,0
SANTADA,452,0,0,5,49,3
SERA,0,0,0,93,422,6
SIDDHESWOR,482,202,143,75,13,2
SIUDI,0,1,16,215,725,7
SOUKAT,3,4,0,167,1173,1
SUTAR,5,1,1,87,503,1
THANTI,457,0,0,2,4,8
TIMILSAIN,147,37,2,30,196,0
TOLI,196,0,2,117,375,10
TOSI,1,0,1,132,289,1
TURMAKHAD,5,1,2,444,309,1
WALANT,0,15,0,121,565,5
WARLA,38,48,0,226,351,1
TOTAL,8916,2059,764,11729,24583,267
