VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BABALA,56,362,114,7
BAIJINATH,126,154,2,4
BANNATOLI,548,36,12,4
BARADADIVI,741,65,27,0
BASTI,645,11,8,4
BATULASEN,28,604,68,5
BAYALA,394,106,248,11
BHAGYASWORI,4,238,1,0
BHAIRABSTHAN,679,98,35,8
BHATAKATIYA,5,814,1,8
BHULI,349,88,86,3
BINAYAK,759,143,120,11
BINDHYAWASINI,71,128,347,13
BIRPATH,274,159,99,0
BUDHAKOT,262,201,49,5
CHALSA,15,408,35,3
CHANDIKA(BAYALPATA),150,285,3,1
CHAPHAMANDAU,142,61,38,0
DARNA,547,233,19,2
DEVISTHAN,48,340,5,0
DHAKARI,168,87,462,8
DHAKU,325,15,13,3
DHAMALI,190,197,320,3
DHODASAIN,778,18,38,14
DHUDHARUKOT,124,444,53,0
DHUNGACHALNA,84,666,226,6
DUNI,23,332,149,5
GAJARA,133,184,36,1
HATIKOT,16,324,2,4
HICHMA,379,334,273,8
JALAPADEVI,187,304,46,5
JANALIBANDALI,356,201,90,1
JANALIKOT,243,123,1,1
JUPU,429,162,15,1
KALAGAU,457,78,52,2
KALEKANDA,532,17,13,0
KALIKA,289,281,33,2
KALIKASTHAN,605,10,35,1
KHAPTAD,6,260,19,4
KHODASADEVI,119,443,144,8
KUIKA,462,97,213,5
KUNTIBANDALI,530,30,33,1
KUSHKOT,68,689,29,6
LAYATI,427,3,55,5
LUNGRA,116,455,194,2
MALATIKOT,354,7,82,2
MANGALSEN,910,1140,164,8
MARKU,195,211,61,4
MASHTANAMDALI,347,0,18,2
MASTAMANDAU,256,423,15,8
NADA,441,10,50,0
NANDEGADA,50,377,218,3
NAWATHANA,89,263,19,1
OLIGAU,359,255,62,0
PATALKOT,126,318,55,6
PAYAL,483,399,171,1
PULLETALA,271,258,58,2
RAHAPH,765,6,66,7
RAMAROSAN,915,76,39,1
RANIBAN,490,3,20,1
RIDIKOT,222,82,19,5
RISIDAHA,254,263,313,0
SANTADA,457,6,43,3
SERA,338,91,85,7
SIDDHESWOR,558,311,46,2
SIUDI,713,106,138,7
SOUKAT,1158,90,99,1
SUTAR,512,38,47,1
THANTI,46,318,104,3
TIMILSAIN,277,121,14,0
TOLI,605,19,66,10
TOSI,66,141,216,1
TURMAKHAD,493,49,219,1
WALANT,80,287,334,5
WARLA,616,17,30,1
TOTAL,25335,15973,6732,278
