VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ADGURI,895,27,0,13
ARGHA,1283,28,0,7
ARGHATOS,1022,27,0,6
ASURKOT,497,4,0,0
BALKOT,1002,18,1,5
BANGI,1067,6,0,3
WANGLA,1144,23,2,12
BHAGAWATI,925,25,0,12
CHHATRAGANJ,657,19,0,0
CHIDIKA,762,43,1,3
DHAKAWANG,1546,13,1,8
DHANCHAUR,836,17,1,2
DHARAPANI,1370,18,0,3
DHATIWANG,413,11,0,2
DHIKURA,1003,3,0,3
DIBHARNA,1533,31,1,8
GOKHUNGA,752,10,0,1
HANSAPUR,1821,42,2,1
JUKENA,1390,32,1,12
JALUKE,1224,14,1,3
KEEMDADA,801,36,1,0
KERUNGA,1091,23,1,3
KHANA,1081,9,2,2
KHANCHIKOT,764,22,0,11
KHANDAHA,867,26,0,7
KHIDIM,834,29,0,6
KHILJI,784,11,1,4
MAIDAN,925,18,0,12
MARENG,946,14,1,5
NARPANI,866,26,1,3
NUWAKOT,1596,5,1,0
PALI,933,23,2,8
PATAUTI,740,4,1,1
PANENA,541,13,2,1
POKHARATHOK,775,15,0,10
SANDHIKHARKA,2100,1585,114,22
SIDDHARA,1614,36,12,3
SIMALPANI,1244,28,1,11
SITAPUR,839,26,1,11
SUBARNAKHAL,605,7,0,5
THADA,1930,129,6,16
THULAPOKHARA,877,16,2,14
TOTAL,43895,2512,160,259
