VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
ADGURI,129,744,50,4,2,0,0,6
ARGHA,58,478,746,31,0,0,0,5
ARGHATOS,38,851,155,10,0,1,0,0
ASURKOT,190,234,73,0,4,0,0,0
BALKOT,149,679,191,4,0,0,0,3
BANGI,60,288,721,2,1,1,0,3
WANGLA,110,338,723,8,0,0,0,2
BHAGAWATI,48,830,77,6,0,0,0,1
CHHATRAGANJ,67,475,130,3,0,0,0,1
CHIDIKA,192,543,69,1,0,0,0,4
DHAKAWANG,512,301,747,0,0,0,0,8
DHANCHAUR,356,452,43,1,0,0,0,4
DHARAPANI,238,251,889,7,1,0,2,3
DHATIWANG,115,308,2,0,0,0,0,1
DHIKURA,138,597,271,2,0,0,0,1
DIBHARNA,68,519,968,13,0,0,2,3
GOKHUNGA,293,158,305,4,0,0,1,2
HANSAPUR,702,532,616,11,2,0,0,3
JUKENA,936,492,2,2,2,0,0,1
JALUKE,991,147,55,30,3,0,0,16
KEEMDADA,67,245,516,2,0,0,1,7
KERUNGA,126,574,395,5,1,0,15,2
KHANA,55,525,501,9,0,0,0,4
KHANCHIKOT,78,332,312,69,1,0,0,5
KHANDAHA,32,244,601,20,0,0,1,2
KHIDIM,205,626,26,6,0,0,1,5
KHILJI,338,362,94,5,0,0,0,1
MAIDAN,241,693,6,4,1,0,3,7
MARENG,26,632,301,5,0,0,0,2
NARPANI,146,522,213,11,0,0,0,4
NUWAKOT,357,650,583,9,0,0,0,3
PALI,221,694,45,2,0,0,0,4
PATAUTI,188,548,4,4,0,0,0,2
PANENA,147,406,2,0,0,0,0,2
POKHARATHOK,343,440,0,14,0,0,0,3
SANDHIKHARKA,87,795,914,1918,53,0,1,53
SIDDHARA,1336,283,5,0,32,0,0,9
SIMALPANI,748,490,34,5,0,0,0,7
SITAPUR,267,569,6,29,0,0,4,2
SUBARNAKHAL,358,256,1,0,0,0,0,2
THADA,722,1199,26,115,4,0,0,15
THULAPOKHARA,107,714,77,4,0,0,0,7
TOTAL,11585,21016,11495,2375,107,2,31,215
