VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
AKHIKARICHAUR,1404,4,4,0,8,0,0,4
AMALACHAUR,1191,1,11,0,1,0,0,2
AMARBHUMI,559,0,3,0,0,0,0,1
ARGAL,473,0,0,1,1,0,0,0
ARJEWA,474,2,6,0,1,0,0,1
BATAKACHAUR,855,3,7,1,0,0,0,3
BHAKUNDE,862,0,2,2,0,0,0,1
BHIMPOKHARA,800,1,17,0,1,0,0,6
BHINGGITHE,1136,6,41,0,1,0,0,2
BIHUNKOT,1395,3,31,0,0,0,0,12
BINAMARE,557,1,2,0,0,0,0,2
BOHARAGAUN,1269,3,1,5,0,0,0,16
BONGADOVAN,1202,2,0,1,1,0,0,11
BOWANG,1405,16,1,0,1,0,0,18
BURTIWANG,1566,8,412,0,2,0,0,10
CHHISTI,1097,3,1,0,0,0,0,5
DAGATUNDADA,1093,3,47,1,1,0,0,23
DAMEK,1195,2,6,0,0,0,0,3
DARLING,1126,0,0,0,0,0,0,30
DEVISTHAN,1597,7,9,0,0,0,0,3
DHAMJA,599,0,1,0,0,0,0,0
DHUDHILABHATI,943,0,7,0,1,0,1,17
DHULLU GAIDI,987,1,6,0,1,0,0,11
DHULLUBASKOT,764,3,8,0,0,0,0,4
GWALICHAUR,889,0,15,0,14,0,0,8
HARICHAUR,1200,2,63,0,5,0,0,0
HATIYA,1523,9,185,0,0,1,1,4
HEEL,605,1,5,0,0,0,0,1
HUGDISHEER,919,1,8,0,1,0,0,4
JALJALA,801,0,3,0,0,0,0,0
BAGLUNG MUNICIPALITY,2586,65,5145,0,22,1,7,22
KANDEBAS,523,1,14,0,0,0,0,1
KHUNGA,836,0,0,2,0,0,0,5
KUSMISHERA,666,5,143,0,2,0,0,2
LEKHANI,622,0,2,0,0,0,0,2
MALIKA,580,0,2,0,1,0,0,4
MALMA,1052,6,8,0,1,0,0,0
NARAYANSTHAN,673,0,74,0,34,0,0,0
NARETHANTI,730,1,31,0,0,0,0,6
NISI,1395,11,2,0,0,0,0,17
PAIYUNPATA,1292,0,45,2,4,0,0,4
PAIYUNTHANTHAP,833,0,3,0,0,0,0,2
PALAKOT,855,0,17,0,0,0,0,1
PANDAVKHANI,548,0,0,0,0,0,1,3
RAJKUT,557,1,0,0,0,0,0,0
RANASINKITENI,565,0,1,2,0,0,0,2
RANGKHANI,896,0,3,0,0,0,0,8
RAYADANDA,545,1,3,0,0,0,0,0
RESH,1153,0,2,0,0,0,0,1
RIGHA,820,2,0,0,0,0,0,1
SALYAN,391,1,1,0,0,0,0,0
SARKUWA,544,0,2,0,4,0,0,0
SINGANA,771,0,2,0,1,0,0,3
SISAKHANI,415,1,1,1,0,0,0,0
SUKHAURA,266,0,0,0,0,0,0,0
KHUNGKHANI,521,0,0,0,0,0,0,4
TAMAN,676,1,2,0,0,0,0,1
TANGRAM,834,2,7,0,0,0,1,2
TARA,833,1,6,1,0,0,0,4
TITYANG,970,2,7,0,0,0,0,2
TOTAL,54434,183,6425,19,109,2,11,299
