VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AKHIKARICHAUR,1397,0,1,15,2,9
AMALACHAUR,1192,1,0,7,3,3
AMARBHUMI,555,1,1,5,0,1
ARGAL,474,0,0,0,0,1
ARJEWA,480,0,1,2,0,1
BATAKACHAUR,836,3,8,19,0,3
BHAKUNDE,862,0,0,4,0,1
BHIMPOKHARA,803,9,3,0,1,9
BHINGGITHE,1107,38,6,32,0,3
BIHUNKOT,1390,10,3,25,0,13
BINAMARE,542,0,0,16,0,4
BOHARAGAUN,1242,1,1,21,1,28
BONGADOVAN,1189,12,0,4,0,12
BOWANG,1411,6,3,1,0,20
BURTIWANG,1779,23,166,17,1,12
CHHISTI,1091,0,0,7,2,6
DAGATUNDADA,1035,8,66,35,0,24
DAMEK,1191,5,1,7,0,2
DARLING,1073,2,0,51,0,30
DEVISTHAN,1597,3,3,10,0,3
DHAMJA,596,2,0,1,0,1
DHUDHILABHATI,922,1,7,17,0,22
DHULLU GAIDI,986,0,1,8,3,8
DHULLUBASKOT,765,3,0,1,1,9
GWALICHAUR,876,11,16,13,1,9
HARICHAUR,1221,28,16,4,0,1
HATIYA,1604,36,71,3,0,9
HEEL,611,0,0,0,0,1
HUGDISHEER,909,4,0,10,0,10
JALJALA,803,0,0,1,0,0
BAGLUNG MUNICIPALITY,3960,1433,2373,34,3,45
KANDEBAS,519,12,1,5,0,2
KHUNGA,812,1,0,16,0,14
KUSMISHERA,693,48,16,54,4,3
LEKHANI,621,3,0,0,0,2
MALIKA,582,0,0,1,0,4
MALMA,1044,5,8,6,0,4
NARAYANSTHAN,753,18,5,4,0,1
NARETHANTI,742,13,1,6,0,6
NISI,1386,0,0,17,0,22
PAIYUNPATA,1328,2,4,7,0,6
PAIYUNTHANTHAP,831,1,1,2,0,3
PALAKOT,855,12,5,1,0,0
PANDAVKHANI,546,0,0,2,1,3
RAJKUT,552,2,0,4,0,0
RANASINKITENI,567,0,0,0,0,3
RANGKHANI,892,1,0,3,0,11
RAYADANDA,548,0,0,1,0,0
RESH,1153,2,0,0,0,1
RIGHA,780,4,2,34,0,3
SALYAN,389,0,0,4,0,0
SARKUWA,532,0,0,17,0,1
SINGANA,772,0,1,2,0,2
SISAKHANI,417,1,0,0,0,0
SUKHAURA,265,0,0,1,0,0
KHUNGKHANI,517,0,0,5,0,3
TAMAN,657,2,0,20,0,1
TANGRAM,843,1,0,0,0,2
TARA,830,3,0,3,0,9
TITYANG,965,6,0,8,1,1
TOTAL,55890,1777,2791,593,24,407
