VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AKHIKARICHAUR,1376,16,11,9,0,1,11
AMALACHAUR,1169,14,8,9,0,3,3
AMARBHUMI,548,9,3,0,0,0,3
ARGAL,470,0,4,0,0,0,1
ARJEWA,473,7,0,3,0,0,1
BATAKACHAUR,822,10,9,25,0,0,3
BHAKUNDE,855,6,0,5,0,0,1
BHIMPOKHARA,797,13,5,1,0,0,9
BHINGGITHE,1098,48,26,11,0,0,3
BIHUNKOT,1353,49,20,6,0,0,13
BINAMARE,545,0,1,12,0,0,4
BOHARAGAUN,1242,5,10,9,0,0,28
BONGADOVAN,1181,15,6,3,0,0,12
BOWANG,1398,18,2,1,0,0,22
BURTIWANG,1710,200,72,3,0,1,12
CHHISTI,1091,5,2,2,0,0,6
DAGATUNDADA,1044,76,10,13,0,0,25
DAMEK,1175,12,7,10,0,0,2
DARLING,1056,3,49,18,0,0,30
DEVISTHAN,1591,11,6,4,0,1,3
DHAMJA,595,2,2,0,0,0,1
DHUDHILABHATI,903,28,14,1,0,0,23
DHULLU GAIDI,964,22,2,9,0,0,9
DHULLUBASKOT,760,5,3,2,0,0,9
GWALICHAUR,862,34,12,9,0,0,9
HARICHAUR,1193,65,6,4,0,0,2
HATIYA,1559,137,13,4,0,1,9
HEEL,552,0,59,0,0,0,1
HUGDISHEER,904,7,5,7,0,0,10
JALJALA,801,2,0,0,0,0,1
BAGLUNG MUNICIPALITY,3732,3908,53,26,24,56,49
KANDEBAS,522,10,5,0,0,0,2
KHUNGA,805,6,6,11,0,0,15
KUSMISHERA,679,84,4,47,0,1,3
LEKHANI,618,2,0,4,0,0,2
MALIKA,573,9,0,1,0,0,4
MALMA,1026,31,1,1,0,0,8
NARAYANSTHAN,751,25,0,3,1,0,1
NARETHANTI,711,35,13,3,0,0,6
NISI,1333,47,23,0,0,0,22
PAIYUNPATA,1325,7,4,4,0,0,7
PAIYUNTHANTHAP,817,13,1,3,0,1,3
PALAKOT,858,14,0,1,0,0,0
PANDAVKHANI,522,9,15,2,0,1,3
RAJKUT,550,1,5,2,0,0,0
RANASINKITENI,566,1,0,0,0,0,3
RANGKHANI,890,3,1,0,0,0,13
RAYADANDA,546,1,0,2,0,0,0
RESH,1141,12,2,0,0,0,1
RIGHA,785,9,21,5,0,0,3
SALYAN,380,9,1,2,0,0,1
SARKUWA,525,0,0,24,0,0,1
SINGANA,759,12,2,2,0,0,2
SISAKHANI,411,3,4,0,0,0,0
SUKHAURA,263,1,1,1,0,0,0
KHUNGKHANI,515,2,3,1,0,0,4
TAMAN,643,15,17,0,0,0,5
TANGRAM,837,4,3,0,0,0,2
TARA,823,7,4,0,0,0,11
TITYANG,928,37,0,8,0,3,5
TOTAL,54921,5136,556,333,25,69,442
