VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AKHIKARICHAUR,1389,33,0,2
AMALACHAUR,1173,13,0,20
AMARBHUMI,523,20,0,20
ARGAL,461,11,0,3
ARJEWA,466,13,0,5
BATAKACHAUR,823,34,1,11
BHAKUNDE,861,4,0,2
BHIMPOKHARA,794,30,1,0
BHINGGITHE,1056,96,1,33
BIHUNKOT,1301,106,4,30
BINAMARE,552,4,0,6
BOHARAGAUN,1237,46,0,11
BONGADOVAN,1175,30,1,11
BOWANG,1427,6,0,8
BURTIWANG,1493,490,1,14
CHHISTI,1061,15,0,30
DAGATUNDADA,1046,112,1,9
DAMEK,1148,44,0,14
DARLING,1128,18,1,9
DEVISTHAN,1561,42,1,12
DHAMJA,587,11,0,2
DHUDHILABHATI,936,26,0,7
DHULLU GAIDI,968,15,0,23
DHULLUBASKOT,741,32,0,6
GWALICHAUR,849,59,2,16
HARICHAUR,1069,155,5,41
HATIYA,1452,233,0,38
HEEL,579,23,1,9
HUGDISHEER,883,39,0,11
JALJALA,769,13,3,19
BAGLUNG MUNICIPALITY,4095,3577,107,69
KANDEBAS,480,34,0,25
KHUNGA,795,24,1,23
KUSMISHERA,690,122,4,2
LEKHANI,596,20,2,8
MALIKA,580,5,0,2
MALMA,934,46,1,86
NARAYANSTHAN,736,38,0,7
NARETHANTI,696,44,3,25
NISI,1394,24,0,7
PAIYUNPATA,1307,30,1,9
PAIYUNTHANTHAP,828,4,1,5
PALAKOT,847,24,0,2
PANDAVKHANI,518,17,0,17
RAJKUT,552,2,1,3
RANASINKITENI,561,7,1,1
RANGKHANI,871,16,1,19
RAYADANDA,536,7,0,6
RESH,1139,11,0,6
RIGHA,789,23,1,10
SALYAN,364,26,0,3
SARKUWA,542,3,0,5
SINGANA,764,4,0,9
SISAKHANI,409,5,0,4
SUKHAURA,259,4,1,2
KHUNGKHANI,514,5,2,4
TAMAN,638,3,0,39
TANGRAM,836,9,1,0
TARA,799,33,0,13
TITYANG,972,7,0,2
TOTAL,54549,5947,151,835
