VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
AKHIKARICHAUR,202,104,98,1901,908,993,709,361,348,240,131,109,175,88,87,84,40,44,17,12,5,3,3,0,0,0,0,459,156,303,16,5,11
AMALACHAUR,111,62,49,924,401,523,632,282,350,320,130,190,481,254,227,157,69,88,53,34,19,12,9,3,1,0,1,290,148,142,4,1,3
AMARBHUMI,39,19,20,661,321,340,372,160,212,161,79,82,175,91,84,54,29,25,11,10,1,5,5,0,0,0,0,138,48,90,10,4,6
ARGAL,40,16,24,707,369,338,383,177,206,159,106,53,90,49,41,14,8,6,2,1,1,2,1,1,0,0,0,137,26,111,30,15,15
ARJEWA,33,21,12,518,259,259,297,126,171,174,91,83,181,81,100,39,15,24,13,10,3,1,1,0,0,0,0,209,63,146,2,1,1
BATAKACHAUR,103,57,46,1103,535,568,579,266,313,214,97,117,184,84,100,58,34,24,13,8,5,5,5,0,0,0,0,210,72,138,21,8,13
BHAKUNDE,66,35,31,748,389,359,538,220,318,290,156,134,388,204,184,75,37,38,14,11,3,7,7,0,0,0,0,237,97,140,0,0,0
BHIMPOKHARA,26,14,12,984,455,529,532,251,281,341,173,168,157,85,72,71,40,31,16,9,7,4,4,0,0,0,0,103,35,68,11,8,3
BHINGGITHE,186,103,83,1909,916,993,757,360,397,271,135,136,204,109,95,64,32,32,11,11,0,3,3,0,1,1,0,140,69,71,13,6,7
BIHUNKOT,190,100,90,1772,894,878,1039,409,630,489,212,277,536,247,289,226,123,103,54,33,21,11,11,0,2,2,0,178,77,101,11,4,7
BINAMARE,17,9,8,577,249,328,365,158,207,243,123,120,171,78,93,85,50,35,26,19,7,3,3,0,1,0,1,151,58,93,12,4,8
BOHARAGAUN,136,69,67,1947,1010,937,618,329,289,234,124,110,205,129,76,50,30,20,19,14,5,4,4,0,0,0,0,185,41,144,7,3,4
BONGADOVAN,157,86,71,2010,937,1073,549,285,264,173,97,76,118,81,37,43,24,19,5,4,1,1,1,0,5,3,2,67,22,45,4,1,3
BOWANG,61,41,20,1718,1007,711,452,256,196,169,98,71,111,78,33,51,34,17,15,11,4,1,1,0,4,3,1,282,119,163,40,11,29
BURTIWANG,375,224,151,2601,1299,1302,1112,509,603,442,222,220,485,267,218,183,93,90,33,25,8,18,17,1,6,3,3,436,141,295,57,22,35
CHHISTI,99,51,48,1254,561,693,632,278,354,430,198,232,292,137,155,115,65,50,40,25,15,10,10,0,0,0,0,208,108,100,21,11,10
DAGATUNDADA,47,22,25,1585,780,805,777,340,437,355,150,205,373,158,215,135,63,72,25,18,7,4,3,1,0,0,0,493,183,310,10,2,8
DAMEK,120,67,53,1556,739,817,921,403,518,436,180,256,469,229,240,132,72,60,40,29,11,4,4,0,0,0,0,181,89,92,4,3,1
DARLING,215,129,86,1763,902,861,577,298,279,238,123,115,130,77,53,65,34,31,13,8,5,3,3,0,0,0,0,344,171,173,41,17,24
DEVISTHAN,193,98,95,2563,1301,1262,799,385,414,329,178,151,234,125,109,54,30,24,12,8,4,4,4,0,0,0,0,377,113,264,7,4,3
