VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AMCHAUR,682,0,13,18,95,77,0,6
BASANTAPUR,314,3,95,30,53,14,3,0
BASULING,382,2,32,28,68,30,8,5
BHATANA,351,2,4,119,156,21,5,6
BHUMESWOR,449,0,8,89,68,15,13,2
BIJAYAPUR,251,0,44,186,131,27,1,3
BISALPUR,491,0,62,25,36,46,38,1
BUMIRAJ,448,0,118,86,87,21,0,5
CHAUKHAM,308,1,5,31,75,77,4,2
DASHARATHCHANDA MUNICIPALITY,2615,15,611,138,362,23,2,22
DEHIMANDAU,688,0,19,23,88,40,0,3
DEULEK,303,0,67,39,67,0,0,0
DHIKARIM/RIM,444,1,18,120,119,7,1,1
DHIKASINTAD/SITAD,433,0,131,80,77,11,11,6
DHUNGAD,121,0,0,11,112,165,32,5
DILASAINI,563,4,0,363,94,9,17,4
DURGA BHABANI,413,0,2,0,24,2,28,1
DURGASTHAN,591,0,45,25,53,5,6,1
GAJARI,552,0,15,28,42,52,4,1
GIREGADA,457,1,21,33,59,0,0,3
GOKULESWOR,429,0,41,66,127,15,92,1
GUJAR,490,1,0,42,26,0,1,5
GURUKHOLA,691,1,43,24,56,9,7,3
GWALLEK,654,0,11,58,39,0,2,0
HAT,212,0,0,107,9,0,0,2
HATAIRAJ,188,0,0,6,2,1,0,0
KAILPAL,389,1,4,12,113,17,3,2
KATAUJPANI,497,1,66,124,111,16,1,5
KOTILA,369,0,72,31,127,7,1,2
KOTPETARA,712,0,0,32,54,224,28,2
KULAU,370,0,0,46,51,20,0,0
KUWAKOT,727,5,3,84,8,1,0,3
MAHADEVSTHAN,371,0,12,148,29,34,1,1
MAHAKALI,352,0,0,93,61,51,0,0
MAHARUDRA,578,3,5,22,37,56,0,11
MALLADEHI,549,0,2,67,57,15,1,2
MATHAIRAJ,251,0,40,109,66,69,0,2
MAUNALI,385,0,0,55,75,29,0,0
MELAULI,257,7,238,41,234,19,33,2
NAGARJUN,274,1,26,6,105,0,0,0
NWADEU,449,0,4,60,129,10,48,1
NWALI,352,1,3,70,117,4,0,3
PANCHESWOR,536,0,10,8,74,6,0,0
PATAN,881,2,3,92,37,108,6,5
RAUDIDEWAL,700,0,1,0,28,0,0,5
RAULESWOR,660,2,25,23,67,15,0,1
RUDRESWOR,529,1,0,0,41,125,0,0
SAKAR,462,1,14,13,86,4,8,1
SALENA,391,2,41,89,82,3,0,2
SARMALI,645,1,3,342,36,205,2,8
SHANKARPUR,327,0,10,30,69,8,2,8
SHIBANATH,608,0,0,167,84,25,13,3
SHIKHARPUR,642,0,2,103,158,42,1,13
SHIVALING,220,0,3,53,13,227,150,9
SIDDHAPUR,371,12,0,17,0,8,0,3
SIDDHESWOR,705,0,0,98,7,57,27,3
SIGASH,345,2,13,92,61,58,151,2
SILANGA,411,1,18,7,7,12,17,1
SREE KEDAR,273,1,92,14,21,3,0,1
SREEKOT,408,2,156,13,52,9,0,1
TALLADEHI,441,1,4,39,54,17,1,1
THALAKANDA,333,0,1,13,132,5,19,5
UDAYADEB,542,0,10,70,61,83,0,1
TOTAL,30832,78,2286,4058,4669,2259,788,197
