VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
AMCHAUR,542,333,285,20,2,0,1,3,139,0,0,1,5,0,16
BASANTAPUR,155,354,271,36,8,0,0,0,242,0,0,0,0,0,3
BASULING,108,443,374,53,31,0,0,0,265,0,2,0,0,0,4
BHATANA,109,469,417,4,0,2,1,6,268,0,0,1,0,0,86
BHUMESWOR,140,500,410,89,1,3,0,4,395,0,1,0,0,0,4
BIJAYAPUR,248,393,370,1,0,0,0,3,141,0,0,0,0,0,2
BISALPUR,397,288,262,0,0,0,0,1,111,0,0,0,2,0,14
BUMIRAJ,313,435,349,10,1,0,0,2,249,0,0,1,0,0,17
CHAUKHAM,187,298,261,8,0,2,0,14,130,0,0,1,0,0,18
DASHARATHCHANDA MUNICIPALITY,569,3118,1940,1073,1189,119,46,313,2646,11,66,7,3,35,101
DEHIMANDAU,249,589,398,189,27,10,3,5,447,5,6,6,1,0,23
DEULEK,179,296,250,2,0,1,0,0,160,2,1,0,0,0,1
DHIKARIM/RIM,270,437,412,0,0,0,0,1,178,0,0,1,0,0,4
DHIKASINTAD/SITAD,240,498,476,0,0,0,0,0,255,1,2,3,0,0,11
DHUNGAD,147,262,238,4,0,0,0,12,115,0,0,0,0,0,37
DILASAINI,364,675,589,8,0,2,0,4,372,1,0,0,0,0,15
DURGA BHABANI,151,316,213,91,0,3,0,0,254,1,0,0,0,0,3
DURGASTHAN,176,533,475,42,5,0,0,3,237,1,0,1,1,0,17
GAJARI,258,434,394,8,1,0,0,5,269,0,0,0,0,0,2
GIREGADA,101,407,372,23,0,0,0,6,140,0,0,1,0,0,66
GOKULESWOR,233,530,469,11,1,3,0,1,330,0,1,3,1,1,8
GUJAR,144,387,347,39,1,1,0,28,175,0,0,0,0,2,34
GURUKHOLA,224,603,470,71,77,6,0,4,482,3,6,0,0,0,7
GWALLEK,163,599,501,112,14,1,0,0,413,0,0,2,0,0,2
HAT,63,259,213,32,8,3,0,24,153,0,0,0,0,0,8
HATAIRAJ,53,143,118,15,0,0,0,0,80,0,2,0,0,0,1
KAILPAL,155,384,355,12,0,3,0,2,247,0,0,0,0,0,2
KATAUJPANI,305,507,477,3,0,1,0,4,189,0,0,0,0,0,9
KOTILA,222,380,337,4,0,1,0,4,209,0,0,0,0,0,7
KOTPETARA,329,709,633,5,0,0,0,21,258,0,0,0,0,0,14
KULAU,150,314,305,14,3,1,0,0,59,0,0,1,0,0,23
KUWAKOT,218,600,530,7,3,2,0,6,240,0,2,0,0,0,13
MAHADEVSTHAN,179,411,330,10,3,1,1,26,250,0,0,0,0,0,6
MAHAKALI,288,266,260,2,0,0,0,0,53,0,0,0,0,0,3
MAHARUDRA,150,528,501,3,1,1,0,5,227,0,0,0,0,0,34
MALLADEHI,195,497,450,9,4,0,0,32,286,0,0,1,0,0,1
MATHAIRAJ,157,324,272,4,0,0,0,0,208,0,0,0,0,1,56
MAUNALI,139,345,284,7,2,0,0,2,234,0,0,0,0,0,60
MELAULI,184,623,600,30,0,0,0,5,174,0,0,1,0,0,24
NAGARJUN,129,283,196,79,98,2,0,1,103,0,0,0,0,2,0
NWADEU,324,376,330,2,0,1,0,4,149,0,0,0,0,0,1
NWALI,185,363,304,40,1,0,0,2,214,0,0,1,0,0,2
PANCHESWOR,342,290,280,8,1,0,0,0,58,0,0,0,0,0,2
PATAN,150,972,648,451,5,31,8,55,888,0,15,2,1,11,12
RAUDIDEWAL,271,443,353,23,0,0,0,3,271,0,0,0,0,0,20
RAULESWOR,302,489,401,5,0,0,0,36,333,0,0,0,0,0,2
RUDRESWOR,237,456,395,14,0,0,0,2,218,0,1,12,0,0,3
SAKAR,109,437,369,19,0,1,1,2,293,0,0,0,0,0,43
SALENA,62,533,516,8,0,0,0,0,198,0,0,0,0,1,15
SARMALI,651,573,477,15,0,0,0,2,268,0,0,0,0,0,18
SHANKARPUR,98,342,318,8,0,0,0,24,254,0,0,0,0,0,14
SHIBANATH,314,566,511,13,0,0,0,9,270,0,0,0,0,0,20
SHIKHARPUR,206,654,583,11,6,0,0,25,305,2,0,0,1,0,101
SHIVALING,183,475,464,8,0,1,0,0,104,0,0,1,0,0,17
SIDDHAPUR,24,354,316,10,0,0,0,6,262,0,2,0,0,0,33
SIDDHESWOR,206,649,528,50,17,4,3,16,438,4,14,13,5,0,42
SIGASH,348,342,317,5,1,0,0,3,130,0,0,1,0,0,34
SILANGA,74,398,320,54,4,3,0,0,355,0,2,1,0,0,2
SREE KEDAR,82,305,268,67,22,2,0,0,196,0,1,1,0,2,18
SREEKOT,207,422,396,1,0,1,0,0,218,0,0,0,0,0,12
TALLADEHI,272,281,267,1,0,0,0,2,80,0,1,0,0,0,5
THALAKANDA,188,312,288,8,1,0,0,4,142,0,0,0,0,1,8
UDAYADEB,191,545,533,8,0,0,0,1,102,0,0,0,0,0,31
