VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,45191,250898,117407,133491,5.551946183974685,87.95124764965429
AMCHAUR,891,4802,2117,2685,5.389450056116723,78.84543761638734
BASANTAPUR,512,2557,1114,1443,4.994140625,77.2002772002772
BASULING,555,3325,1536,1789,5.990990990990991,85.85802124091671
BHATANA,664,4017,1984,2033,6.049698795180723,97.58976881455976
BHUMESWOR,644,3462,1607,1855,5.375776397515528,86.63072776280323
BIJAYAPUR,643,4035,1896,2139,6.275272161741835,88.63955119214586
BISALPUR,699,4174,2007,2167,5.971387696709585,92.61652053530226
BUMIRAJ,765,4614,2201,2413,6.031372549019608,91.21425611272275
CHAUKHAM,503,2764,1330,1434,5.495029821073559,92.74755927475593
DASHARATHCHANDA MUNICIPALITY,3788,16791,7682,9109,4.432682154171067,84.33417499176639
DEHIMANDAU,861,4362,2040,2322,5.066202090592334,87.85529715762273
DEULEK,476,2437,1055,1382,5.119747899159663,76.33863965267727
DHIKARIM/RIM,711,4132,1975,2157,5.8115330520393815,91.56235512285582
DHIKASINTAD/SITAD,749,4655,2154,2501,6.214953271028038,86.12554978008797
DHUNGAD,446,2325,1063,1262,5.213004484304933,84.23137876386689
DILASAINI,1054,5695,2785,2910,5.403225806451613,95.7044673539519
DURGA BHABANI,470,2350,1013,1337,5,75.76664173522812
DURGASTHAN,726,3995,1784,2211,5.502754820936639,80.68747173224786
GAJARI,694,4403,2172,2231,6.344380403458214,97.35544598834603
GIREGADA,574,3089,1374,1715,5.381533101045296,80.11661807580175
GOKULESWOR,771,4073,1786,2287,5.282749675745785,78.09357236554439
GUJAR,565,2795,1232,1563,4.946902654867257,78.82277671145233
GURUKHOLA,834,4462,2064,2398,5.350119904076738,86.07172643869892
GWALLEK,764,3822,1684,2138,5.00261780104712,78.76520112254444
HAT,330,2292,1136,1156,6.945454545454545,98.26989619377161
HATAIRAJ,197,1065,471,594,5.406091370558376,79.29292929292929
KAILPAL,541,3074,1410,1664,5.682070240295749,84.73557692307693
KATAUJPANI,821,4296,2021,2275,5.232643118148599,88.83516483516483
KOTILA,609,3639,1732,1907,5.975369458128079,90.8232826428946
KOTPETARA,1052,6440,3218,3222,6.1216730038022815,99.87585350713843
KULAU,487,2970,1419,1551,6.098562628336755,91.48936170212765
KUWAKOT,831,5441,2696,2745,6.547533092659447,98.21493624772313
MAHADEVSTHAN,596,3697,1851,1846,6.203020134228188,100.27085590465872
MAHAKALI,557,3513,1635,1878,6.307001795332137,87.06070287539937
MAHARUDRA,712,4080,1871,2209,5.730337078651686,84.69895880488909
MALLADEHI,693,4059,1952,2107,5.857142857142857,92.64356905552918
MATHAIRAJ,537,3004,1461,1543,5.594040968342644,94.68567725210629
MAUNALI,544,3208,1496,1712,5.897058823529412,87.38317757009347
MELAULI,831,4654,2177,2477,5.6004813477737665,87.8885748889786
NAGARJUN,412,1961,857,1104,4.759708737864078,77.62681159420289
NWADEU,701,4451,2200,2251,6.349500713266762,97.73434029320302
NWALI,550,2742,1180,1562,4.985454545454545,75.54417413572342
PANCHESWOR,634,3972,1853,2119,6.264984227129338,87.44690891930156
PATAN,1134,5217,2400,2817,4.6005291005291005,85.19701810436635
RAUDIDEWAL,734,3554,1533,2021,4.8419618528610355,75.85353785254824
RAULESWOR,793,4040,1800,2240,5.094577553593947,80.35714285714286
RUDRESWOR,696,3712,1740,1972,5.333333333333333,88.23529411764706
SAKAR,589,3277,1478,1799,5.5636672325976235,82.15675375208448
SALENA,610,3562,1651,1911,5.839344262295082,86.39455782312925
SARMALI,1242,7642,3641,4001,6.152979066022544,91.00224943764059
SHANKARPUR,454,2310,1072,1238,5.0881057268722465,86.59127625201938
SHIBANATH,900,5471,2543,2928,6.078888888888889,86.85109289617486
SHIKHARPUR,961,5706,2618,3088,5.937565036420396,84.779792746114
SHIVALING,675,4072,2013,2059,6.032592592592593,97.7659057795046
SIDDHAPUR,411,2503,1182,1321,6.090024330900243,89.47766843300529
SIDDHESWOR,897,4947,2403,2544,5.51505016722408,94.45754716981132
SIGASH,724,4036,1944,2092,5.574585635359116,92.92543021032505
SILANGA,474,2603,1165,1438,5.491561181434599,81.0152990264256
SREE KEDAR,405,1979,879,1100,4.88641975308642,79.9090909090909
SREEKOT,641,3479,1567,1912,5.427457098283932,81.9560669456067
TALLADEHI,558,2929,1375,1554,5.249103942652329,88.48133848133848
THALAKANDA,508,2805,1327,1478,5.521653543307087,89.78349120433018
UDAYADEB,767,4687,2141,2546,6.110821382007822,84.09269442262372
