VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
AMCHAUR,0,587,0,281,18,5
BASANTAPUR,183,300,1,15,13,0
BASULING,312,220,0,2,16,5
BHATANA,5,503,1,149,0,6
BHUMESWOR,465,113,0,5,59,2
BIJAYAPUR,11,231,1,141,256,3
BISALPUR,3,55,0,167,473,1
BUMIRAJ,15,473,2,239,31,5
CHAUKHAM,337,39,7,26,92,2
DASHARATHCHANDA MUNICIPALITY,3420,334,3,7,1,23
DEHIMANDAU,434,420,3,1,0,3
DEULEK,8,403,0,64,1,0
DHIKARIM/RIM,5,332,0,155,218,1
DHIKASINTAD/SITAD,0,330,0,210,203,6
DHUNGAD,1,4,0,115,321,5
DILASAINI,7,459,1,363,220,4
DURGA BHABANI,335,133,0,0,1,1
DURGASTHAN,214,416,0,92,3,1
GAJARI,88,28,0,152,425,1
GIREGADA,25,385,1,149,11,3
GOKULESWOR,0,360,0,378,32,1
GUJAR,177,253,0,13,117,5
GURUKHOLA,503,326,2,0,0,3
GWALLEK,463,295,1,5,0,0
HAT,209,71,0,48,0,2
HATAIRAJ,80,116,0,1,0,0
KAILPAL,4,95,0,146,294,2
KATAUJPANI,33,489,1,171,123,4
KOTILA,95,352,0,134,26,2
KOTPETARA,7,509,0,326,208,2
KULAU,7,242,2,225,11,0
KUWAKOT,29,595,6,192,6,3
MAHADEVSTHAN,0,306,0,273,16,1
MAHAKALI,0,362,0,165,30,0
MAHARUDRA,4,458,2,179,57,12
MALLADEHI,35,348,0,171,137,2
MATHAIRAJ,125,111,0,78,221,2
MAUNALI,88,379,0,77,0,0
MELAULI,5,344,4,256,220,2
NAGARJUN,367,45,0,0,0,0
NWADEU,1,434,0,121,144,1
NWALI,177,328,2,18,22,3
PANCHESWOR,1,353,9,130,141,0
PATAN,996,18,0,3,111,6
RAUDIDEWAL,49,488,0,190,2,5
RAULESWOR,22,309,1,184,276,1
RUDRESWOR,3,219,1,269,204,0
SAKAR,126,246,0,37,179,1
SALENA,4,381,1,212,10,2
SARMALI,5,771,1,352,105,8
SHANKARPUR,161,40,1,151,94,7
SHIBANATH,1,515,0,241,140,3
SHIKHARPUR,384,109,1,186,268,13
SHIVALING,205,79,0,89,292,10
SIDDHAPUR,26,78,0,99,206,2
SIDDHESWOR,225,272,1,110,286,3
SIGASH,28,48,4,116,527,1
SILANGA,232,163,0,9,69,1
SREE KEDAR,307,92,1,4,0,1
SREEKOT,38,352,0,70,180,1
TALLADEHI,20,270,1,87,180,0
THALAKANDA,121,45,1,62,274,5
UDAYADEB,1,550,1,169,45,1
TOTAL,11232,17981,64,8080,7615,195
