VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AMCHAUR,802,72,11,6
BASANTAPUR,268,188,56,0
BASULING,225,206,119,5
BHATANA,502,130,26,6
BHUMESWOR,283,301,58,2
BIJAYAPUR,609,7,24,3
BISALPUR,185,503,10,1
BUMIRAJ,577,150,33,5
CHAUKHAM,347,146,8,2
DASHARATHCHANDA MUNICIPALITY,1295,2196,274,23
DEHIMANDAU,383,359,116,3
DEULEK,259,200,17,0
DHIKARIM/RIM,641,60,9,1
DHIKASINTAD/SITAD,654,80,9,6
DHUNGAD,420,10,11,5
DILASAINI,835,180,35,4
DURGA BHABANI,265,165,39,1
DURGASTHAN,254,317,154,1
GAJARI,406,250,37,1
GIREGADA,468,87,16,3
GOKULESWOR,483,241,46,1
GUJAR,274,276,10,5
GURUKHOLA,232,380,219,3
GWALLEK,390,197,177,0
HAT,93,218,17,2
HATAIRAJ,73,25,99,0
KAILPAL,307,186,46,2
KATAUJPANI,754,25,37,5
KOTILA,181,301,125,2
KOTPETARA,891,47,112,2
KULAU,316,127,44,0
KUWAKOT,124,521,183,3
MAHADEVSTHAN,88,335,172,1
MAHAKALI,194,352,11,0
MAHARUDRA,290,248,162,12
MALLADEHI,204,410,77,2
MATHAIRAJ,427,54,54,2
MAUNALI,339,175,30,0
MELAULI,551,193,85,2
NAGARJUN,240,151,21,0
NWADEU,659,38,3,1
NWALI,323,152,72,3
PANCHESWOR,589,18,27,0
PATAN,350,697,81,6
RAUDIDEWAL,344,323,62,5
RAULESWOR,541,216,35,1
RUDRESWOR,564,119,13,0
SAKAR,298,234,56,1
SALENA,213,281,114,2
SARMALI,691,344,199,8
SHANKARPUR,300,74,72,8
SHIBANATH,648,206,43,3
SHIKHARPUR,731,185,32,13
SHIVALING,584,58,23,10
SIDDHAPUR,52,345,11,3
SIDDHESWOR,204,611,79,3
SIGASH,565,62,95,2
SILANGA,151,233,89,1
SREE KEDAR,177,213,15,0
SREEKOT,376,154,110,1
TALLADEHI,491,0,66,1
THALAKANDA,198,289,16,5
UDAYADEB,630,58,78,1
TOTAL,25808,14979,4180,200
