VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,33786,195159,92794,102365,5.776327472917776,90.65012455429103
BANJH,818,4944,2324,2620,6.0440097799511,88.70229007633587
BHAIRABANATH,868,5037,2369,2668,5.802995391705069,88.79310344827587
BHAMCHAUR,748,4931,2412,2519,6.592245989304812,95.75228265184596
BHATEKHOLA,579,3577,1657,1920,6.177892918825561,86.30208333333333
BYASI,718,4236,2011,2225,5.899721448467966,90.38202247191012
CHAINPUR,1204,6642,3369,3273,5.516611295681063,102.93308890925756
CHAUDHARI,707,3406,1524,1882,4.817538896746817,80.97768331562168
DAHABAGAR,1035,6117,3018,3099,5.910144927536232,97.38625363020329
DANGAJI,732,4290,2044,2246,5.860655737704918,91.00623330365093
DATOLA,547,3156,1532,1624,5.769652650822669,94.33497536945814
DAULICHAUR,839,5317,2694,2623,6.3373063170441,102.70682424704536
DEULEKH,703,4387,2136,2251,6.240398293029872,94.89115948467348
DEULIKOT,1195,7499,3694,3805,6.275313807531381,97.08278580814718
DHAMENA,463,2835,1397,1438,6.123110151187905,97.14881780250347
GADARAYA,560,3022,1401,1621,5.396428571428571,86.428130783467
HEMANTABADA,549,3339,1532,1807,6.081967213114754,84.78140564471501
KADEL,829,4762,2254,2508,5.744270205066345,89.87240829346092
KAILASH,339,1911,917,994,5.6371681415929205,92.25352112676056
KALUKHETI,507,2557,1175,1382,5.043392504930966,85.02170767004341
KANDA,363,2182,1106,1076,6.011019283746556,102.78810408921932
KAPHALASERI,1051,6692,3320,3372,6.3672692673644145,98.45788849347569
KHIRATADI,1412,8057,3761,4296,5.706090651558074,87.54655493482309
KOIRALAKOT,615,3631,1651,1980,5.904065040650407,83.38383838383838
KOT BHAIRAB,668,3495,1571,1924,5.232035928143713,81.65280665280665
KOTDEWAL,558,3291,1494,1797,5.897849462365591,83.13856427378965
LAMATOLA,370,1854,809,1045,5.010810810810811,77.41626794258373
LEKGAU,955,4783,2279,2504,5.008376963350785,91.01437699680511
LUYANTA,525,2954,1332,1622,5.626666666666667,82.12083847102343
MAJHIGAU,788,4032,1787,2245,5.116751269035533,79.59910913140313
MALUMELA,410,2279,1060,1219,5.558536585365854,86.95652173913044
MASTA,500,2743,1327,1416,5.486,93.71468926553672
MATELA,451,2515,1135,1380,5.576496674057649,82.2463768115942
MAULALI,623,3413,1567,1846,5.478330658105939,84.88624052004333
MELBISAUNI,619,3492,1672,1820,5.641357027463651,91.86813186813187
PARAKATNE,786,4257,1935,2322,5.416030534351145,83.33333333333334
PATADEWAL,514,2466,1100,1366,4.797665369649805,80.52708638360176
PAUWAGADHI,366,1962,878,1084,5.360655737704918,80.99630996309963
PIPALKOT,787,4859,2423,2436,6.174078780177891,99.46633825944171
RAYAL,1152,6395,2941,3454,5.551215277777778,85.14765489287782
RILU,819,5340,2633,2707,6.52014652014652,97.2663465090506
RITHAPATA,586,2959,1471,1488,5.049488054607509,98.85752688172043
SAINPASELA,1117,6153,2824,3329,5.508504923903312,84.83027936317212
SUBEDA,812,4386,2034,2352,5.401477832512315,86.4795918367347
SUNIKOT,371,2074,940,1134,5.590296495956873,82.89241622574956
SUNKUDA,1259,7194,3275,3919,5.71405877680699,83.56723653993366
SURMA,579,3705,1853,1852,6.398963730569948,100.05399568034557
SYANDI,777,5573,2707,2866,7.172458172458173,94.45219818562455
