VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
BANJH,227,110,117,1338,727,611,432,270,162,244,166,78,118,81,37,128,97,31,31,25,6,4,3,1,1,1,0,32,19,13,9,7,2
BHAIRABANATH,282,135,147,1431,793,638,394,273,121,147,105,42,162,122,40,89,62,27,16,12,4,9,9,0,2,1,1,55,29,26,1,0,1
BHAMCHAUR,332,163,169,1221,703,518,380,287,93,163,133,30,65,56,9,70,61,9,28,26,2,3,3,0,0,0,0,50,43,7,2,2,0
BHATEKHOLA,195,116,79,934,503,431,316,227,89,193,133,60,64,52,12,81,54,27,21,20,1,2,2,0,1,0,1,48,23,25,11,5,6
BYASI,33,14,19,1024,597,427,421,272,149,254,174,80,155,113,42,156,98,58,54,43,11,10,10,0,3,2,1,31,16,15,4,1,3
CHAINPUR,261,129,132,1552,865,687,675,451,224,361,251,110,360,245,115,341,225,116,183,149,34,34,31,3,1,1,0,115,62,53,8,2,6
CHAUDHARI,145,82,63,826,431,395,331,197,134,188,106,82,207,132,75,117,85,32,31,27,4,7,7,0,0,0,0,23,9,14,10,6,4
DAHABAGAR,311,157,154,1530,917,613,453,336,117,189,157,32,103,87,16,92,78,14,21,21,0,0,0,0,4,3,1,41,28,13,4,1,3
DANGAJI,79,48,31,1238,702,536,308,211,97,116,89,27,75,55,20,50,43,7,18,15,3,4,4,0,2,1,1,25,11,14,9,2,7
DATOLA,102,53,49,1023,611,412,217,169,48,79,67,12,66,54,12,30,22,8,19,18,1,2,2,0,0,0,0,197,28,169,5,3,2
DAULICHAUR,359,189,170,1264,893,371,336,283,53,133,110,23,51,42,9,46,42,4,9,9,0,2,2,0,0,0,0,28,12,16,6,2,4
DEULEKH,198,99,99,1279,759,520,325,237,88,93,74,19,64,52,12,58,46,12,6,6,0,5,5,0,3,1,2,74,24,50,5,1,4
DEULIKOT,270,134,136,1953,1207,746,547,399,148,277,206,71,127,98,29,123,94,29,45,44,1,6,6,0,0,0,0,103,50,53,19,12,7
DHAMENA,135,74,61,783,524,259,198,164,34,107,85,22,54,42,12,30,22,8,5,5,0,0,0,0,4,1,3,134,32,102,0,0,0
GADARAYA,27,11,16,833,448,385,337,232,105,134,91,43,92,73,19,55,43,12,23,18,5,6,6,0,1,1,0,103,26,77,3,1,2
HEMANTABADA,170,85,85,825,428,397,361,218,143,206,131,75,174,123,51,163,103,60,39,37,2,8,7,1,0,0,0,0,0,0,6,3,3
KADEL,185,88,97,1135,633,502,484,297,187,271,185,86,178,123,55,122,87,35,42,37,5,10,9,1,3,3,0,33,14,19,6,5,1
KAILASH,139,69,70,460,247,213,185,110,75,118,75,43,70,49,21,46,29,17,11,10,1,0,0,0,0,0,0,2,0,2,2,2,0
KALUKHETI,15,6,9,632,324,308,321,209,112,194,143,51,57,40,17,89,57,32,19,15,4,5,5,0,2,2,0,43,31,12,4,3,1
KANDA,114,60,54,506,382,124,78,62,16,40,33,7,19,14,5,17,15,2,0,0,0,1,1,0,1,1,0,6,1,5,10,4,6
KAPHALASERI,277,138,139,1463,807,656,479,343,136,219,187,32,135,105,30,87,69,18,23,22,1,5,5,0,2,1,1,126,60,66,23,11,12
KHIRATADI,333,191,142,2248,1250,998,689,496,193,265,203,62,207,154,53,171,125,46,37,33,4,9,9,0,3,1,2,180,69,111,18,10,8
KOIRALAKOT,98,59,39,885,453,432,420,235,185,196,117,79,143,99,44,111,69,42,47,41,6,8,8,0,3,2,1,94,40,54,10,7,3
KOT BHAIRAB,104,43,61,892,475,417,384,207,177,212,133,79,135,98,37,122,82,40,54,43,11,12,11,1,1,0,1,64,32,32,9,8,1
KOTDEWAL,33,17,16,1021,526,495,339,230,109,223,170,53,47,33,14,55,42,13,14,11,3,3,3,0,0,0,0,3,1,2,6,4,2
LAMATOLA,53,37,16,394,198,196,217,128,89,110,70,40,91,62,29,84,54,30,20,18,2,3,3,0,3,2,1,63,25,38,2,1,1
LEKGAU,107,49,58,1199,669,530,400,296,104,153,107,46,138,105,33,74,61,13,13,12,1,5,5,0,0,0,0,43,22,21,10,5,5
LUYANTA,27,16,11,706,357,349,368,221,147,223,127,96,113,80,33,150,94,56,41,33,8,11,11,0,1,1,0,2,1,1,6,4,2
MAJHIGAU,133,79,54,1045,542,503,391,268,123,193,140,53,146,116,30,88,60,28,26,23,3,1,1,0,7,3,4,24,9,15,4,2,2
MALUMELA,32,13,19,586,346,240,244,133,111,131,90,41,54,41,13,68,47,21,21,16,5,3,3,0,0,0,0,96,52,44,1,0,1
MASTA,93,44,49,795,455,340,231,160,71,132,110,22,38,30,8,52,39,13,17,17,0,0,0,0,0,0,0,25,9,16,2,1,1
MATELA,57,25,32,644,331,313,268,175,93,126,72,54,106,72,34,133,83,50,35,25,10,7,7,0,0,0,0,136,43,93,1,1,0
MAULALI,129,75,54,798,420,378,370,214,156,125,79,46,122,90,32,86,67,19,25,23,2,1,1,0,0,0,0,103,79,24,2,1,1
MELBISAUNI,85,44,41,1121,592,529,283,189,94,159,121,38,89,66,23,92,70,22,22,15,7,4,4,0,0,0,0,203,78,125,3,2,1
PARAKATNE,189,108,81,1195,631,564,418,265,153,152,94,58,153,112,41,111,75,36,27,26,1,4,4,0,0,0,0,167,47,120,7,4,3
PATADEWAL,36,26,10,788,413,375,229,164,65,111,78,33,76,63,13,49,38,11,9,5,4,2,2,0,1,0,1,21,10,11,3,1,2
PAUWAGADHI,52,23,29,438,208,230,224,140,84,122,76,46,82,58,24,75,55,20,21,18,3,3,3,0,0,0,0,37,16,21,7,3,4
PIPALKOT,353,178,175,1158,711,447,410,305,105,160,111,49,129,106,23,110,73,37,21,17,4,4,4,0,1,1,0,136,64,72,4,1,3
RAYAL,293,150,143,1625,922,703,510,339,171,197,142,55,173,130,43,103,73,30,42,31,11,5,5,0,5,3,2,62,18,44,44,28,16
RILU,93,50,43,1443,806,637,317,238,79,171,138,33,113,92,21,69,59,10,18,14,4,0,0,0,0,0,0,70,25,45,0,0,0
RITHAPATA,59,37,22,702,387,315,340,219,121,194,127,67,227,164,63,174,124,50,63,48,15,13,12,1,0,0,0,9,1,8,8,5,3
SAINPASELA,141,70,71,1582,843,739,511,350,161,219,155,64,185,152,33,97,75,22,28,26,2,5,5,0,0,0,0,86,34,52,12,9,3
SUBEDA,70,36,34,1323,679,644,464,301,163,263,171,92,135,95,40,117,80,37,35,27,8,5,5,0,0,0,0,108,43,65,1,0,1
SUNIKOT,143,65,78,508,281,227,179,117,62,101,78,23,64,48,16,23,17,6,9,7,2,0,0,0,2,1,1,1,0,1,2,2,0
SUNKUDA,265,146,119,1865,977,888,620,400,220,262,186,76,216,155,61,189,140,49,31,26,5,12,12,0,0,0,0,105,43,62,7,2,5
SURMA,144,66,78,672,490,182,224,199,25,77,65,12,45,44,1,30,20,10,5,5,0,0,0,0,2,2,0,112,83,29,11,6,5
SYANDI,290,154,136,1469,857,612,569,438,131,144,112,32,79,54,25,94,70,24,18,17,1,5,5,0,11,9,2,69,16,53,4,2,2
INSTITUTIONAL,0,0,0,43,43,0,145,142,3,90,86,4,124,122,2,38,38,0,5,5,0,1,1,0,0,0,0,10,10,0,1,1,0
