VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
BANJH,85,7,695,12,0,0,9,10
BHAIRABANATH,384,82,382,11,0,0,1,8
BHAMCHAUR,9,4,730,0,0,0,0,5
BHATEKHOLA,45,5,519,0,0,1,0,9
BYASI,474,168,66,1,0,0,0,9
CHAINPUR,190,89,790,95,4,2,5,29
CHAUDHARI,232,109,328,26,0,0,3,9
DAHABAGAR,28,7,979,0,0,1,0,20
DANGAJI,22,4,665,22,0,0,0,19
DATOLA,23,1,506,0,0,0,0,17
DAULICHAUR,437,8,378,13,0,0,0,3
DEULEKH,85,12,586,9,0,0,6,5
DEULIKOT,3,4,1179,1,0,0,0,8
DHAMENA,25,3,426,1,0,0,0,8
GADARAYA,382,63,109,1,0,0,0,5
HEMANTABADA,9,6,525,3,0,1,1,4
KADEL,338,31,441,5,0,0,0,14
KAILASH,70,3,261,0,0,0,1,4
KALUKHETI,221,42,235,2,0,0,0,7
KANDA,124,7,227,0,0,1,0,4
KAPHALASERI,27,48,954,0,0,0,0,22
KHIRATADI,9,3,1383,1,0,0,0,16
KOIRALAKOT,35,6,542,2,0,1,4,25
KOT BHAIRAB,25,6,619,1,0,1,0,16
KOTDEWAL,25,2,523,3,0,0,0,5
LAMATOLA,34,3,323,10,0,0,0,0
LEKGAU,664,123,97,61,1,1,1,7
LUYANTA,19,7,488,6,0,0,0,5
MAJHIGAU,40,19,724,1,0,0,0,4
MALUMELA,84,39,282,1,0,0,0,4
MASTA,4,0,375,0,0,0,118,3
MATELA,59,129,248,8,0,0,0,7
MAULALI,256,46,310,6,0,0,0,5
MELBISAUNI,139,10,462,2,0,0,0,6
PARAKATNE,32,23,721,3,1,1,0,5
PATADEWAL,231,24,255,2,0,0,0,2
PAUWAGADHI,9,1,355,1,0,0,0,0
PIPALKOT,20,2,720,1,0,0,0,44
RAYAL,242,73,726,8,0,0,95,8
RILU,6,3,799,0,0,0,0,11
RITHAPATA,130,29,372,48,0,0,0,7
SAINPASELA,435,22,570,68,0,0,0,22
SUBEDA,312,65,405,4,6,2,0,18
SUNIKOT,56,2,303,2,1,0,0,7
SUNKUDA,154,29,1065,2,0,0,0,9
SURMA,74,6,488,9,0,0,0,2
SYANDI,22,8,727,8,1,1,0,10
TOTAL,6329,1383,24863,460,14,13,244,467
