VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ATICHAUR,146,0,0,66,531,8
BADDHU,146,28,0,112,679,15
BAI,2,1,0,277,334,14
BARHABIS,2,2,0,458,1173,15
BICHHAIYA,1,1,0,354,144,7
BRAMHATOLA,167,3,0,380,755,17
BUDHIGANGA,1,36,0,230,540,1
CHHATARA,690,0,0,1,2,7
DAHAKOT,110,0,0,528,163,5
DOGADI,2,0,0,61,523,2
GOTREE,6,0,0,274,738,1
GUDUKHATI,16,6,0,355,464,11
JAGANNATH,1,1,0,363,335,2
JAYABAGESWORI,0,0,0,87,341,9
JUGADA,423,1,0,76,474,8
JUKOT,3,1,0,247,345,1
KAILASHMANDAU,1,12,0,366,1434,5
KANDA,444,3,0,10,76,13
KOLTI,337,81,0,253,649,10
KOTILA,369,72,0,13,157,3
KULDEUMADAU,198,2,0,380,711,14
MANAKOT,409,0,0,37,43,1
MARTADI,1515,16,0,27,352,10
PANDUSAIN,502,5,0,64,612,1
RUGIN,0,0,0,169,344,9
SAPPATA,1,2,0,218,770,7
TOLIDEWAL,175,0,0,176,481,0
TOTAL,5667,273,0,5582,13170,196
