VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ATICHAUR,943,1043,809,699,132,340,2,4
BADDHU,1064,1273,851,849,190,395,23,29
BAI,748,846,609,605,138,239,1,2
BARHABIS,1827,2064,1416,1354,308,528,103,182
BICHHAIYA,621,610,434,386,181,218,6,6
BRAMHATOLA,1372,1665,1160,1188,202,452,10,25
BUDHIGANGA,906,959,741,701,160,253,5,5
CHHATARA,766,935,623,708,127,206,16,21
DAHAKOT,960,1024,734,681,206,329,20,14
DOGADI,768,887,576,499,191,386,1,2
GOTREE,1378,1502,1064,983,285,488,29,31
GUDUKHATI,1079,1307,760,701,266,489,53,117
JAGANNATH,806,868,620,609,182,255,4,4
JAYABAGESWORI,556,627,461,401,85,197,10,29
JUGADA,1204,1268,1007,966,188,288,9,14
JUKOT,718,766,551,481,89,100,78,185
KAILASHMANDAU,2065,2352,1664,1692,373,606,28,54
KANDA,718,784,474,332,244,452,0,0
KOLTI,1650,1658,1242,1076,389,570,19,12
KOTILA,712,722,597,520,112,199,3,3
KULDEUMADAU,1480,1672,1256,1283,212,373,12,16
MANAKOT,597,709,520,514,75,194,2,1
MARTADI,2037,1883,1724,1384,302,489,11,10
PANDUSAIN,1575,1622,1101,1048,444,521,30,53
RUGIN,645,678,520,410,110,219,15,49
SAPPATA,1404,1622,1094,1047,299,558,11,17
TOLIDEWAL,1100,1298,919,932,139,275,42,91
