VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
ATICHAUR,423,12,309,0,0,0,0,7
BADDHU,333,57,311,1,0,219,42,17
BAI,180,11,69,0,0,355,0,13
BARHABIS,416,97,1119,0,0,0,0,18
BICHHAIYA,44,1,374,4,20,52,6,6
BRAMHATOLA,225,73,945,0,57,2,0,20
BUDHIGANGA,193,51,558,0,0,0,4,2
CHHATARA,17,1,670,0,0,0,0,12
DAHAKOT,180,5,614,2,0,0,0,5
DOGADI,317,6,260,0,0,0,0,5
GOTREE,695,13,292,0,1,16,1,1
GUDUKHATI,278,57,506,1,0,0,0,10
JAGANNATH,500,9,176,0,0,5,9,3
JAYABAGESWORI,155,2,272,0,0,0,0,8
JUGADA,39,11,918,0,0,2,0,12
JUKOT,285,5,283,0,18,5,0,1
KAILASHMANDAU,28,12,1761,2,0,1,0,14
KANDA,170,4,359,1,0,1,0,11
KOLTI,617,132,453,2,1,1,111,13
KOTILA,253,35,321,0,0,0,0,5
KULDEUMADAU,127,88,1071,1,1,0,1,16
MANAKOT,10,2,477,0,0,0,0,1
MARTADI,264,155,1398,54,1,0,27,21
PANDUSAIN,303,6,867,1,3,0,0,4
RUGIN,12,0,140,0,2,358,0,10
SAPPATA,147,10,236,1,3,593,0,8
TOLIDEWAL,5,5,819,2,0,0,0,1
TOTAL,6216,860,15578,72,107,1610,201,244
