VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,94773,491313,244255,247058,5.1841030673293025,98.86544859911439
BAGESWARI,2840,12671,5641,7030,4.461619718309859,80.24182076813656
BANKATAWA,3883,18792,8772,10020,4.839557043523049,87.54491017964072
BANKATTI,977,6202,3187,3015,6.348004094165813,105.70480928689885
BASUDEVPUR,1349,6830,3359,3471,5.063009636767976,96.77326418899452
BAIJAPUR,1906,12230,5753,6477,6.416579223504722,88.82198548710822
BELAHARI,909,5289,2712,2577,5.818481848184819,105.23864959254948
BELBHAR,944,5318,2736,2582,5.633474576271187,105.96436870642914
BETAHANI,1456,8141,4310,3831,5.591346153846154,112.50326285565126
BHABANIYAPUR,738,4326,2277,2049,5.861788617886178,111.12737920937042
BINAUNA,1204,7332,3514,3818,6.089700996677741,92.03771608171817
CHISAPANI,1324,6789,3168,3621,5.127643504531722,87.48964374482188
GANAPUR,1030,5805,2999,2806,5.635922330097087,106.87811831789023
GANGAPUR,1175,6170,3130,3040,5.251063829787234,102.96052631578947
HIRMINIYA,1442,8463,4413,4050,5.868932038834951,108.96296296296298
HOLIYA,1115,6290,3315,2975,5.641255605381166,111.42857142857143
INDRAPUR,1677,8962,4651,4311,5.344066785927251,107.88680120621666
JAISPUR,964,6567,3359,3208,6.812240663900415,104.7069825436409
KALAPHANTA,709,4689,2410,2279,6.613540197461213,105.7481351469943
KAMDI,1841,9853,4788,5065,5.351982618142314,94.53109575518262
KACHANAPUR,1703,8858,4240,4618,5.201409277745156,91.81463837158942
KATKUIYA,934,5628,2832,2796,6.025695931477516,101.28755364806867
KHAJURAKHURDA,1145,6034,3007,3027,5.269868995633188,99.33927981499835
KHASKARKANDO,1956,8910,4540,4370,4.5552147239263805,103.89016018306636
KHASKUSMA,1187,5313,2531,2782,4.475989890480202,90.97771387491014
KOHALPUR,8173,36019,17449,18570,4.407072066560627,93.96338179859988
LAXMANPUR,831,5609,2859,2750,6.749699157641396,103.96363636363637
MAHADEVPURI,1903,9246,4291,4955,4.858644245927483,86.59939455095864
MANIKAPUR,2597,12233,6036,6197,4.710435117443204,97.4019686945296
MATEHIYA,1400,7740,4073,3667,5.5285714285714285,111.07172075265885
NARAINAPUR,859,5106,2674,2432,5.944121071012805,109.95065789473684
NAUBASTA,4033,19602,9131,10471,4.86040168608976,87.20275045363385
NEPALGUNJ MUNICIPALITY,15180,72503,37197,35306,4.776218708827405,105.3560301365207
PARASPUR,1162,5983,3068,2915,5.148881239242685,105.24871355060034
PHATTEPUR,2839,16967,8288,8679,5.976400140894682,95.49487268118448
PIPRAHAWA,1015,5455,2802,2653,5.374384236453202,105.61628345269507
PURAINA,1122,6264,3174,3090,5.5828877005347595,102.71844660194174
PURAINI,889,4724,2416,2308,5.313835770528684,104.67937608318891
RADHAPUR,756,3555,1535,2020,4.7023809523809526,75.99009900990099
RAJHENA,5662,26158,12474,13684,4.619922288943836,91.15755627009646
RANIYAPUR,1128,6442,3053,3389,5.710992907801418,90.0855709648864
SAIGAUN,1019,6431,3328,3103,6.311089303238469,107.2510473735095
SAMSERGANJ,1648,8470,4189,4281,5.139563106796117,97.85096939967298
SITAPUR,2003,8626,3700,4926,4.3065401897154265,75.11165245635404
SONPUR,1412,8156,4004,4152,5.776203966005665,96.4354527938343
TITIHIRIYA,1826,9235,4301,4934,5.0575027382256295,87.17065261451155
UDHARAPUR,2149,11511,5571,5940,5.356444858073522,93.78787878787878
UDAYAPUR,679,3667,1913,1754,5.40058910162003,109.06499429874572
