VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BAGESWARI,2204,2596,1774,1841,368,648,62,107
BANKATAWA,3825,4310,2909,2884,894,1392,22,34
BANKATTI,1590,1561,900,710,605,679,85,172
BASUDEVPUR,1572,1626,994,896,486,626,92,104
BAIJAPUR,2800,3403,2156,2235,613,1130,31,38
BELAHARI,1376,1297,625,503,688,751,63,43
BELBHAR,1277,1176,687,550,561,600,29,26
BETAHANI,2092,1816,1102,803,950,988,40,25
BHABANIYAPUR,1147,1027,509,402,626,617,12,8
BINAUNA,1581,1863,1184,1259,362,557,35,47
CHISAPANI,1406,1593,1118,1152,282,432,6,9
GANAPUR,1408,1323,810,656,580,654,18,13
GANGAPUR,1464,1421,704,549,724,845,36,27
HIRMINIYA,2310,2048,843,624,1449,1406,18,18
HOLIYA,1590,1479,617,452,956,1011,17,16
INDRAPUR,2065,1872,1267,971,668,789,130,112
JAISPUR,1703,1548,777,707,827,746,99,95
KALAPHANTA,1233,1149,442,306,771,834,20,9
KAMDI,2353,2395,1503,1295,723,930,127,170
KACHANAPUR,1982,2205,1403,1377,523,759,56,69
KATKUIYA,1396,1433,247,204,1110,1194,39,35
KHAJURAKHURDA,1372,1412,803,721,486,568,83,123
KHASKARKANDO,1783,1688,1312,1073,449,587,22,28
KHASKUSMA,1128,1269,732,770,385,484,11,15
KOHALPUR,7176,7466,5760,5347,1282,1978,134,141
LAXMANPUR,1443,1343,321,179,1106,1157,16,7
MAHADEVPURI,1883,2194,1545,1590,300,548,38,56
MANIKAPUR,2711,2723,1893,1648,799,1042,19,33
MATEHIYA,2038,1817,805,556,1025,1030,208,231
NARAINAPUR,1349,1239,476,344,845,874,28,21
NAUBASTA,3994,4637,3158,3241,808,1349,28,47
NEPALGUNJ MUNICIPALITY,13675,13016,9093,8414,3882,3929,700,673
PARASPUR,1351,1275,859,737,484,528,8,10
PHATTEPUR,3944,4364,2479,2405,1412,1912,53,47
PIPRAHAWA,1349,1216,555,443,785,759,9,14
PURAINA,1535,1500,714,561,702,805,119,134
PURAINI,1103,1071,595,531,504,535,4,5
RADHAPUR,588,730,484,498,104,232,0,0
RAJHENA,5366,5626,4357,3977,969,1608,40,41
RANIYAPUR,1573,1681,915,656,625,981,33,44
SAIGAUN,1600,1444,712,561,732,730,156,153
SAMSERGANJ,1803,1878,1164,1072,590,759,49,47
SITAPUR,1422,1857,1186,1294,222,543,14,20
SONPUR,1952,2027,1186,932,757,1073,9,22
TITIHIRIYA,1793,2150,1368,1396,384,701,41,53
UDHARAPUR,2704,2951,1612,1342,1055,1572,37,37
UDAYAPUR,909,808,528,390,374,416,7,2
INSTITUTIONAL,1598,301,573,219,1013,73,12,9
