VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
AMARPATTI,23,10,13,749,431,318,281,196,85,145,110,35,118,96,22,42,28,14,17,14,3,5,4,1,4,4,0,1,1,0,17,10,7
AMLEKHGANJ,87,48,39,1764,939,825,862,501,361,431,260,171,383,226,157,209,110,99,84,51,33,20,12,8,2,1,1,123,73,50,14,7,7
AMRITGANG,156,83,73,2295,1337,958,826,512,314,365,250,115,387,265,122,155,113,42,55,49,6,13,11,2,9,5,4,12,4,8,7,5,2
AMAB,244,132,112,1145,652,493,608,387,221,276,181,95,322,202,120,64,43,21,14,12,2,1,1,0,0,0,0,52,33,19,1,0,1
BABUAIN,119,55,64,815,505,310,361,238,123,156,120,36,97,78,19,69,53,16,43,36,7,14,12,2,1,0,1,2,1,1,1,0,1
BACHHANPURWA,236,118,118,1036,574,462,462,275,187,241,149,92,223,125,98,95,63,32,27,24,3,7,7,0,2,0,2,35,20,15,11,7,4
BADAKI FULBARIYA,57,39,18,1396,837,559,520,360,160,169,122,47,183,146,37,75,64,11,20,17,3,6,5,1,2,0,2,3,3,0,33,17,16
BAGAHI,10,7,3,634,369,265,257,189,68,145,124,21,97,72,25,59,47,12,13,12,1,3,3,0,3,3,0,11,6,5,13,4,9
BAHUARI,29,11,18,1391,787,604,608,386,222,337,263,74,207,157,50,107,78,29,73,62,11,31,27,4,0,0,0,6,4,2,2,1,1
BALIRAMPUR,70,39,31,1574,941,633,536,373,163,279,214,65,206,150,56,119,100,19,39,34,5,2,2,0,0,0,0,15,15,0,12,8,4
