VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
BADALPUR,11,57,4,321,4,820,0
BAGANAHA,1159,169,9,252,144,737,12
BANIYABHAR,1400,100,56,1265,118,619,3
BELAWA,1320,263,226,180,1115,122,9
BHIMAPUR,21,88,7,691,3,920,7
DAULATPUR,37,169,59,614,7,529,1
DEUDAKALA,1387,564,303,537,839,135,32
DHADHAWAR,2293,200,112,925,587,240,12
DHODHARI,761,120,17,816,34,132,18
GOLA,3,88,0,450,0,624,1
GULARIYA MUNICIPALITY,3588,2586,200,3164,814,838,30
JAMUNI,898,276,52,38,282,1042,13
KALIKA,861,579,30,457,464,718,22
KHAIRI CHANDANPUR,4,56,9,273,2,839,4
MAGARAGADI,1935,317,42,1081,108,358,28
MAHAMADPUR,802,117,8,660,73,181,3
MANAU,6,65,6,700,0,390,1
MANPUR MAINAPOKHAR,897,201,12,71,414,163,9
MANPUR TAPARA,3,70,2,908,0,683,4
MOTIPUR,1382,864,136,195,1143,437,21
NAYA GAUN,10,46,5,265,4,701,1
NEULAPUR,1013,623,33,526,276,479,20
PADANAHA,667,44,7,301,14,430,6
PASUPATINAGAR,9,120,7,497,4,596,3
PATABHAR,35,226,19,1132,14,1139,0
RAJAPUR,100,430,12,315,1,1793,6
SANOSHREE,1006,1505,308,359,342,594,15
SIVAPUR,164,136,3,292,380,486,1
SORHAWA,811,191,20,109,732,966,5
SURYAPATAWA,449,44,16,239,57,949,7
TARATAL,696,265,335,80,198,205,2
THAKUDWARA,232,248,8,563,193,493,1
TOTAL,23960,10827,2063,18276,8366,19358,297
