VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,68636,304651,154884,149767,4.438647357072091,103.4166405149332
BAGESWORI,1137,5385,2609,2776,4.736147757255937,93.98414985590779
BALKOT,3999,15881,7977,7904,3.971242810702676,100.9235829959514
BHAKTAPUR MUNICIPALITY,17639,81748,41081,40667,4.6345030897443165,101.0180244424226
CHANGUNARAYAN,1374,6211,2985,3226,4.52037845705968,92.52944823310601
CHHALING,1817,8129,3851,4278,4.473858007705008,90.01870032725573
CHITAPOL,1274,5619,2758,2861,4.410518053375196,96.3998601887452
DADHIKOT,2688,11629,5859,5770,4.326264880952381,101.5424610051993
DUWAKOT,2412,10461,5321,5140,4.337064676616915,103.52140077821012
GUNDU,1257,5689,2735,2954,4.525855210819412,92.58632362897767
JHAUKHEL,1631,7721,3908,3813,4.733905579399142,102.4914765276685
KAUTUNJE,4692,19497,9698,9799,4.15537084398977,98.96928257985509
MADHYAPUR THIMI MUNICIPALITY,20302,83036,42723,40313,4.0900403901093485,105.97822042517302
NAGARKOT,973,4571,2198,2373,4.697841726618705,92.62536873156341
NANKHEL,1225,5509,2703,2806,4.497142857142857,96.32929436920884
SIPADOL,2278,9876,4862,5014,4.335381913959614,96.96848823294775
SIRUTAR,1033,4790,2307,2483,4.636979670861568,92.91180024164318
SUDAL,1562,7254,3397,3857,4.64404609475032,88.07363235675395
TATHALI,1264,5698,2723,2975,4.507911392405063,91.52941176470588
