VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BAGESWORI,761,853,583,595,142,217,36,41
BALKOT,2169,2102,1728,1568,415,502,26,32
BHAKTAPUR MUNICIPALITY,12513,11563,9176,8493,3095,2836,242,234
CHANGUNARAYAN,1020,1161,771,790,219,323,30,48
CHHALING,1162,1367,850,952,293,394,19,21
CHITAPOL,841,891,675,642,148,226,18,23
DADHIKOT,1702,1598,1294,1162,353,386,55,50
DUWAKOT,1564,1608,1180,1170,321,392,63,46
GUNDU,799,832,623,614,146,192,30,26
JHAUKHEL,1177,1121,915,849,226,244,36,28
KAUTUNJE,2979,2896,2248,2010,649,817,82,69
MADHYAPUR THIMI MUNICIPALITY,12252,11169,9057,8059,2936,2808,259,302
NAGARKOT,865,854,609,557,243,264,13,33
NANKHEL,836,824,649,576,159,205,28,43
SIPADOL,1680,1663,1231,1132,418,481,31,50
SIRUTAR,550,636,439,478,76,119,35,39
SUDAL,1073,1248,911,906,144,291,18,51
TATHALI,908,994,712,720,164,240,32,34
INSTITUTIONAL,2318,531,1834,450,431,55,53,26
