VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AAMTEP,558,10,0,7
ANNAPURNA,303,12,2,10
BAIKUNTHE,558,10,1,12
BASIKHORA,839,5,0,4
WASHINGTHARPU,333,9,0,3
BASTEEM,516,22,1,4
BHAISIPANKHA,503,27,0,5
BHOJPUR,1114,822,95,39
YOON,352,8,0,3
BHULKE,509,7,0,0
BOKHIM,607,38,0,19
BOYA,722,27,0,42
CHAMPE,594,4,1,0
CHANGRE,591,16,4,19
CHARAMBI,573,27,0,20
CHAUKIDADA,454,0,1,11
CHHINAMAKHU,517,8,0,86
DALGAUN,565,3,0,17
DEURALI,1104,28,1,29
DEWANTAR,609,21,0,15
DHODLEKHANI,383,0,0,17
DOBHANE,951,13,2,9
DUMMANA,796,14,1,9
GOGANE,444,23,0,0
GUPTESHWOR,389,17,0,11
HASANPUR,518,3,5,11
HELAUCHHA,658,52,0,42
HOMTANG,1257,9,1,8
JARAYOTAR,720,56,0,6
KEEMALUNG,293,25,0,0
KEURENIPANI,738,84,3,48
KHAIRANG,554,2,0,11
KHARTAMCHHA,322,1,0,2
KHATAMMA,389,19,2,3
KHAWA,417,8,1,21
KOT,818,17,0,28
KUDAK KAULE,464,31,0,10
KULUNG,809,44,6,15
LEKHARKA,504,19,0,9
MANE BHANJYANG,510,6,0,6
MULPANI,666,79,13,86
NAGI,232,5,0,25
NEPALEDADA,701,21,4,43
OKHRE,543,7,0,14
PANGCHA,454,11,2,16
PATLE PANI,682,13,0,19
PAWALA,228,5,0,5
PYAULI,509,36,3,6
RANIBAS,1101,77,12,37
SANGPANG,691,40,4,21
SANO DUMMA,477,7,0,15
SHYAMSILA,542,23,2,7
SIDDHESWOR,571,24,0,6
SINDRANG,253,2,0,4
TAKSAR,678,118,7,21
THIDINGKHA,428,1,0,0
THULO DUMMA,476,1,0,4
TIMMA,493,4,0,55
TIWARI BHANJYANG,514,37,1,1
TUNGGECHHA,444,33,0,12
BALANKHA,330,19,4,1
YAKU,551,12,3,7
YANGPANG,638,6,1,9
TOTAL,36057,2128,183,1025
