VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
AAMTEP,2352,1037,1315,1452,736,716,222,103,119,678,198,480,0,0,0,61.73469387755102,70.97396335583413,54.448669201520914
ANNAPURNA,1422,661,761,1085,560,525,16,9,7,321,92,229,0,0,0,76.30098452883263,84.72012102874432,68.98817345597898
BAIKUNTHE,2492,1113,1379,1670,838,832,49,30,19,773,245,528,0,0,0,67.01444622792937,75.29200359389039,60.33357505438723
BASIKHORA,3695,1718,1977,2452,1274,1178,68,29,39,1169,412,757,6,3,3,66.35994587280109,74.15599534342259,59.5852301466869
WASHINGTHARPU,1431,659,772,1047,535,512,7,2,5,377,122,255,0,0,0,73.16561844863732,81.18361153262519,66.32124352331607
BASTEEM,2258,1034,1224,1421,726,695,92,43,49,745,265,480,0,0,0,62.9317980513729,70.2127659574468,56.78104575163398
BHAISIPANKHA,2235,1037,1198,1615,859,756,29,16,13,591,162,429,0,0,0,72.25950782997764,82.8351012536162,63.10517529215359
BHOJPUR,6856,3229,3627,5473,2886,2587,137,58,79,1244,285,959,2,0,2,79.82788798133022,89.37751625890368,71.32616487455196
YOON,1616,785,831,1074,598,476,94,43,51,448,144,304,0,0,0,66.46039603960396,76.17834394904459,57.28038507821901
BHULKE,2213,1016,1197,1498,779,719,10,5,5,705,232,473,0,0,0,67.69091730682332,76.6732283464567,60.06683375104428
BOKHIM,2633,1213,1420,2016,1042,974,53,22,31,563,149,414,1,0,1,76.56665400683632,85.90272052761748,68.59154929577464
BOYA,3331,1597,1734,2407,1345,1062,68,26,42,854,225,629,2,1,1,72.26058240768538,84.22041327489042,61.245674740484425
CHAMPE,2649,1211,1438,1983,1035,948,20,8,12,646,168,478,0,0,0,74.85843714609285,85.46655656482245,65.92489568845619
CHANGRE,2717,1228,1489,1933,989,944,48,23,25,735,215,520,1,1,0,71.14464482885535,80.53745928338762,63.39825386165212
CHARAMBI,2479,1145,1334,1687,911,776,18,10,8,772,224,548,2,0,2,68.05163372327551,79.56331877729258,58.17091454272864
CHAUKIDADA,1860,869,991,1298,692,606,3,0,3,559,177,382,0,0,0,69.78494623655914,79.63176064441888,61.15035317860746
CHHINAMAKHU,2376,1095,1281,1765,899,866,32,19,13,579,177,402,0,0,0,74.28451178451179,82.10045662100457,67.60343481654957
DALGAUN,2320,1073,1247,1610,846,764,57,21,36,653,206,447,0,0,0,69.39655172413794,78.84436160298229,61.26704089815558
DEURALI,4813,2197,2616,3433,1755,1678,175,86,89,1201,353,848,4,3,1,71.32765426968626,79.88165680473372,64.14373088685015
DEWANTAR,2875,1399,1476,1850,1015,835,129,65,64,896,319,577,0,0,0,64.34782608695652,72.55182273052179,56.57181571815718
DHODLEKHANI,1616,747,869,1137,603,534,51,21,30,427,122,305,1,1,0,70.35891089108911,80.72289156626506,61.449942462600696
DOBHANE,4277,2015,2262,2717,1419,1298,172,92,80,1387,504,883,1,0,1,63.525835866261396,70.42183622828784,57.38284703801945
DUMMANA,3973,1838,2135,2674,1362,1312,119,53,66,1179,422,757,1,1,0,67.30430405235339,74.10228509249184,61.4519906323185
