VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AJAYAMERU,627,1,0,2,22,7,115,12
ALITAL,1712,1,146,231,189,91,2,7
AMARGADHI MUNICIPALITY,3757,9,83,229,526,113,38,23
ASHIGRAM,492,3,0,9,31,111,2,2
BAGARKOT,785,2,0,3,5,24,29,11
BELAPUR,834,1,103,63,137,201,101,11
BHADRAPUR,298,0,0,1,75,1,63,4
BHAGESWOR,563,1,5,8,57,36,2,10
CHIPUR,337,0,0,5,49,10,152,2
DEWAL DIBYAPUR,722,0,0,30,105,17,143,6
GANESHPUR,528,1,63,2,108,10,3,0
GANKHET,683,6,5,18,39,138,11,1
JOGBUDA,1848,33,11,624,773,411,3,16
KAILAPALAMANDAU,707,2,34,61,83,7,1,1
KOTELI,797,1,8,167,35,6,1,1
MANILEK,277,0,273,89,328,2,0,1
MASHTAMANDAU,561,0,1,52,79,114,1,1
NAWADURGA,407,2,17,181,84,1,0,3
RUPAL,734,0,4,12,53,106,8,4
SAMEJEE,470,0,2,24,4,1,0,4
SIRSHA,1922,4,11,77,140,91,9,17
TOTAL,19061,67,766,1888,2922,1498,684,137
